"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00010748","BERRY 3 NW, AL US","33.69709","-87.64875","150.3","2020",,,"        0",,,,,,"0"," ,7,1231,+",,,"5.01"," ,7,0413, ",,,,,"76.71"," ,7",,,,,,,,
"USC00010505","BANKHEAD LOCK AND DAM, AL US","33.4527","-87.3572","85.3","2020","1752",,"        0",,,,"20","7,1227,+","0"," ,7,1231,+",,,"3.50"," ,7,0420, ","95","7,0813,+",,,"70.84"," ,7",,,"64.1","7","74.4","7","53.8","7"
"USC00012124","DADEVILLE 2, AL US","32.8622","-85.7358","223.4","2020",,,,,,,,,,,,,,,,,,,"76.37"," ,7",,,,,,,,
"USC00013575","GUNTERSVILLE NUMBER 2, AL US","34.3347","-86.3294","181.4","2020","1674",,,,,,"21","7,1226, ",,,,,"3.86"," ,7,0413, ","93","7,0718, ","2648","9","69.25"," ,7",,,"62.6","7","71.3","7","53.8","7"
"USC00017020","ROCKFORD 3 ESE, AL US","32.8711","-86.1758","182.9","2020",,,"        0",,,,,,"0"," ,7,1231,+",,,"7.50"," ,7,0419, ",,,,,"86.35"," ,7",,,,,,,,
"USC00010063","ADDISON, AL US","34.2553","-87.1814","249.3","2020",,,"        0",,,,,,"0"," ,7,1231,+",,,"3.75"," ,7,0211, ",,,,,"76.71"," ,7",,,,,,,,
"USC00010184","BEVILL LOCK AND DAM, AL US","33.21","-88.2878","50.3","2020",,,"        0",,,,,,"0"," ,7,1231,+",,,,,,,,,,,,,,,,,,
"USC00013573","GUNTERSVILLE, AL US","34.3344","-86.3297","176.2","2020","1819",,,,,,"21","7,1226, ",,,,,"3.75"," ,7,0413, ","95","7,0718, ","2632","0","73.10"," ,7",,,"63.0","7","72.2","7","53.9","7"
"USC00015751","MUSCLE SHOALS WATER PLANT, AL US","34.7586","-87.6411","164.6","2020","1724",,,,,,"18","7,1226, ",,,,,"3.42"," ,7,0112, ","97","7,0812,+","2976","6","75.51"," ,7",,,"61.6","7","72.5","7","50.7","7"
"USC00015635","MOULTON 2, AL US","34.4884","-87.299","189.6","2020","1468",,,,,,"18","7,1226,+",,,,,"4.52"," ,7,0413, ","94","7,0811,+","3124","8","83.04"," ,7",,,"60.6","7","71.6","7","49.7","7"
"USC00016847","REFORM, AL US","33.37389","-88.00528","70.1","2020",,,,,,,,,,,,,"4.00"," ,7,0413, ",,,,,"80.23"," ,7",,,,,,,,
"US1ALLS0023","ATHENS 1.5 SE, AL US","34.786944","-86.953611","210.3","2020",,,,,,,,,,,,,"3.01"," ,N,0413, ",,,,,"71.01"," ,N",,,,,,,,
"US1ALLD0025","FLORENCE 5.4 E, AL US","34.83505","-87.56975","186.2","2020",,,,,"         0","N",,,,,"0.0","T,N,1201,+","2.73"," ,N,0413,+",,,,,"78.67"," ,N","0.0","T,N",,,,,,
"USC00010178","ALICEVILLE, AL US","33.1272","-88.155","59.4","2020","1984",,,,,,"18","7,0221, ",,,,,"4.40"," ,7,0420, ","97","7,0721, ","2324","0","89.28"," ,7",,,"64.2","7","75.3","7","53.1","7"
"USC00012350","DORA, AL US","33.74778","-87.05861","143.3","2020",,,"        0",,,,,,"0"," ,7,1231,+",,,"4.00"," ,7,0206, ",,,,,"75.98"," ,7",,,,,,,,
"USC00017366","SELMA, AL US","32.411","-87.0144","44.8","2020","2482",,"        0",,,,"24","7,1227, ","0"," ,7,1231,+",,,"3.55"," ,7,0420, ","99","7,0811, ","1759","0","63.02"," ,7",,,"67.2","7","78.6","7","55.8","7"
"US1ALMB0004","MOBILE 2.6 WNW, AL US","30.69","-88.13","30.5","2020",,,,,,,,,,,,,"6.01"," ,N,0608, ",,,,,"69.48"," ,N",,,,,,,,
"USW00013896","MUSCLE SHOALS AIRPORT, AL US","34.7441","-87.5997","164.6","2020","2101",,,,,,"20","W,1226, ",,,,,"3.64"," ,W,0412, ","100","W,0810, ","2438","2","71.17"," ,W",,,"64.2","W","74.7","W","53.7","W"
"US1ALMB0001","TILLMANS CORNER 4.3 WNW, AL US","30.6079","-88.2585","53.9","2020",,,,,,,,,,,,,"5.10"," ,N,0608, ",,,,,"60.12"," ,N",,,,,,,,
"USW00013895","MONTGOMERY AIRPORT, AL US","32.2997","-86.4075","61.6","2020","2672",,,,,,"22","W,1226,+",,,,,"4.46"," ,W,0916, ","98","W,0810, ","1572","1","66.47"," ,W",,,"68.0","W","79.0","W","56.9","W"
"USW00013894","MOBILE REGIONAL AIRPORT, AL US","30.68833","-88.24556","65.5","2020","2572",,"        0",,"         0","W","26","W,1226,+","0"," ,W,1231,+","0.0"," ,W,1231,+","5.56"," ,W,0607, ","95","W,0905,+","1338","5","58.41"," ,W","0.0"," ,W","68.3","W","78.4","W","58.2","W"
"USW00003856","HUNTSVILLE INTNL AIRPORT, AL US","34.6441","-86.7869","190.2","2020","1830",,"        0",,"         0","W","18","W,1226, ","0"," ,W,1231,+","0.0","T,W,1224,+","3.42"," ,W,0102, ","98","W,0810, ","2697","5","70.54"," ,W","0.0","T,W","62.6","W","73.0","W","52.2","W"
"US1ALSH0016","MEADOWBROOK 3.6 E, AL US","33.396296","-86.635297","250.9","2020",,,,,,,,,,,,,"4.73"," ,N,0211, ",,,,,"74.46"," ,N",,,,,,,,
"US1ALBW0008","FOLEY 7.4 SW, AL US","30.343919","-87.784803","13.1","2020",,,,,,,,,,,,,,,,,,,"69.87"," ,N",,,,,,,,
"USC00018209","THORSBY EXPERIMENTAL STATION, AL US","32.9205","-86.6708","207.3","2020",,,"        0",,,,,,"0"," ,7,1231,+",,,,,,,"2250","3",,,,,,,,,,
"US1ALJF0070","CENTER POINT 2.1 SE, AL US","33.624","-86.6513","300.2","2020",,,,,,,,,,,,,"3.75"," ,N,0206, ",,,,,"70.54"," ,N",,,,,,,,
"US1ALBW0004","DAPHNE 0.4 SW, AL US","30.62204","-87.90138","43.9","2020",,,,,,,,,,,,,"7.81"," ,N,0916, ",,,,,"66.29"," ,N",,,,,,,,
"US1ALLS0002","CAPSHAW 3.0 NW, AL US","34.80442","-86.83035","224.0","2020",,,,,,,,,,,,,"3.21"," ,N,0413, ",,,,,"70.06"," ,N",,,,,,,,
"US1ALMD0090","HUNTSVILLE 3.7 ENE, AL US","34.7329833","-86.5712667","223.1","2020",,,,,,,,,,,,,"2.97"," ,N,0325, ",,,,,"65.08"," ,N",,,,,,,,
"USC00010957","BOAZ, AL US","34.2008","-86.1633","326.1","2020",,,,,,,,,,,,,"5.63"," ,7,0412, ",,,,,"71.56"," ,7",,,,,,,,
"US1ALRN0002","ROANOKE 4.2 NNE, AL US","33.203389","-85.348472","253.0","2020",,,,,,,,,,,,,"3.96"," ,N,0917, ",,,,,"76.75"," ,N",,,,,,,,
"USC00013781","HELENA, AL US","33.2725","-86.83361","146.3","2020",,,"        0",,,,,,"0"," ,7,1231,+",,,,,,,,,,,,,,,,,,
"USC00011490","CENTRE, AL US","34.15","-85.6846","182.9","2020",,,"        0",,,,,,"0"," ,7,1231,+",,,,,,,,,,,,,,,,,,
"USW00013871","ANNISTON METROPOLITAN AIRPORT, AL US","33.5872","-85.8556","181.1","2020","1972",,,,,,"19","W,1226, ",,,,,,,"97","W,0809, ","2300","0",,,,,"64.3","W","75.0","W","53.7","W"
