"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000ASLR","SALMON RIVER ALASKA, AK US","67.4597","-159.8405","366.1","2019",,,,,,,"-25","U,0112, ",,,,,,,"85","U,0709, ",,,,,,,"29.0","U","33.4","U","24.6","U"
"USW00025506","ILIAMNA AIRPORT, AK US","59.7494","-154.9089","43.6","2019","46",,,,,,"-19","W,1229, ",,,,,"2.17"," ,W,0912, ","86","W,0705,+","8640","8","34.64"," ,W",,,"42.1","W","48.9","W","35.4","W"
"USC00504812","KITOI BAY, AK US","58.1913","-152.3722","18.3","2019","31",,"       12",,"         8","7","12","7,1228,+","6"," ,7,1228, ","2.5"," ,7,1224,+","2.23"," ,7,1001, ","83","7,0815, ","7632","0","63.68"," ,7","13.4"," ,7","44.7","7","50.8","7","38.7","7"
"USR0000AKLP","KILLIK PASS ALASKA, AK US","67.9703","-154.9242","914.4","2019",,,,,,,"-36","U,1228, ",,,,,,,"73","U,0709, ",,,,,,,"20.9","U","25.5","U","16.3","U"
"USS0046P01S","MUNSON RIDGE, AK US","64.85","-146.21","944.9","2019",,,"      230",,,,,,"34"," ,T,0423, ",,,"2.80"," ,T,0813, ",,,"11286","3","32.54"," ,T",,,,,,,,
"USW00025503","KING SALMON AIRPORT, AK US","58.6829","-156.6563","20.4","2019",,,,,,,,,,,,,"1.20"," ,W,0912, ",,,,,"25.58"," ,W",,,,,,,,
"USW00025624","COLD BAY AIRPORT, AK US","55.2207","-162.7324","23.8","2019","0",,,,,,"11","W,1228, ",,,,,"1.39"," ,W,1026, ","72","W,0819,+","8228","1","50.61"," ,W",,,"43.5","W","48.6","W","38.4","W"
"USC00508615","SOLDOTNA 5 SSW, AK US","60.4194","-151.1336","54.9","2019",,,,,,,,,,,,,,,,,"10004","6",,,,,,,,,,
"USW00025501","KODIAK AIRPORT, AK US","57.7511","-152.4855","24.4","2019","51",,,,,,"10","W,1228, ",,,,,"2.82"," ,W,1027, ","86","W,0816, ","7528","1","73.86"," ,W",,,"45.4","W","51.4","W","39.3","W"
"USC00503605","HIDDEN FALLS HACHRY, AK US","57.2177","-134.8769","6.7","2019",,,"       56",,"        10","7",,,"11"," ,7,0111, ","7.0"," ,7,0111, ",,,,,,,"110.75"," ,7","34.9"," ,7",,,,,,
"USS0048L06S","ESTHER ISLAND, AK US","60.8","-148.09","15.2","2019","9",,,,,,"10","T,0216, ",,,,,"3.80"," ,T,1028, ","81","T,0628, ","8578","6","142.98"," ,T",,,"42.2","T","47.1","T","37.2","T"
"USC00503294","GLACIER BAY, AK US","58.4561","-135.8692","13.7","2019","3",,"       73",,"        13","7","8","7,0204, ","8"," ,7,0223,+","6.0"," ,7,0111, ","2.45"," ,7,0921, ","79","7,0629,+",,,"71.86"," ,7","32.6"," ,7","42.7","7","47.9","7","37.5","7"
