"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00027187","ROBSON RANCH, AZ US","32.8118","-111.6313","455.7","2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00028396","TACNA 3 NE, AZ US","32.7225","-113.9191","98.8","2009","4223",,"        0",,"         0","0","24","0,1227,+","0"," ,0,1231,+","0.0"," ,0,1231,+","0.32"," ,0,0208, ","118","0,0829, ","1167","4","1.53"," ,0","0.0"," ,0","72.9","0","90.1","0","55.6","0"
"USS0011P13S","FRY, AZ US","35.07","-111.84","2194.6","2009",,,,,,,,,,,,,"2.60"," ,T,1207, ",,,"5997","9","16.66"," ,T",,,,,,,,
"USC00024586","KEAMS CANYON, AZ US","35.8109","-110.1932","1891.3","2009","512",,,,"         4","0","-2","0,1231, ",,,"10.5"," ,0,0210, ","0.77"," ,0,0522, ","96","0,0720,+","5456","2","5.01"," ,0","20.0"," ,0","50.0","0","66.2","0","33.8","0"
"USC00027855","SHOW LOW AIRPORT, AZ US","34.2639","-110.0075","1954.1","2009","576",,"        0",,"         0","0","2","0,1226, ","0"," ,0,1231,+","0.0"," ,0,1231,+","1.00"," ,0,0913, ","95","0,0718,+","3992","0","8.89"," ,0","0.0"," ,0","53.5","0","67.1","0","40.0","0"
"USR0000AGUN","GUNSIGHT ARIZONA, AZ US","36.7044","-112.5833","1609.3","2009","1297",,,,,,"11","U,1210, ",,,,,,,"106","U,0717, ","4047","5",,,,,"56.6","U","69.9","U","43.3","U"
"USR0000AGUT","GUTHRIE ARIZONA, AZ US","32.8819","-109.3092","1097.3","2009","1303",,,,,,"22","U,1204, ",,,,,,,"97","U,0713, ","3073","4",,,,,"59.6","U","69.1","U","50.2","U"
"USC00029114","WAHWEAP, AZ US","36.9953","-111.4914","1136.9","2009",,,,,,,,,,,,,,,,,"3193","1",,,,,,,,,,
"USR0000ARIN","RINCON ARIZONA, AZ US","32.2056","-110.5481","2511.6","2009","244",,,,,,"14","U,0210, ",,,,,,,"86","U,0804,+","4651","7",,,,,"52.8","U","63.4","U","42.1","U"
"USW00003029","WINDOW ROCK AIRPORT, AZ US","35.6575","-109.06139","2054.0","2009",,,,,,,,,,,,,"0.95"," ,W,0720, ",,,,,"7.39"," ,W",,,,,,,,
"USR0000AMOS","MOSS BASIN ARIZONA, AZ US","35.0336","-113.8925","1804.4","2009","834",,,,,,"15","U,1208, ",,,,,,,"96","U,0718,+","3971","1",,,,,"55.8","U","68.5","U","43.0","U"
"USR0000AFAP","MOUNTAIN LION ARIZONA, AZ US","33.7011","-109.7058","1671.2","2009","201",,,,,,"4","U,1204, ",,,,,,,"94","U,0805, ","5298","4",,,,,"50.2","U","64.7","U","35.8","U"
"USR0000AFRA","FRAZIER WELLS ARIZONA, AZ US","35.8456","-113.055","2063.5","2009","678",,,,,,"13","U,1209,+",,,,,,,"96","U,0717, ","4703","9",,,,,"52.8","U","63.1","U","42.4","U"
"USS0009S02S","MAVERICK FORK, AZ US","33.92","-109.46","2804.2","2009","0",,"      172",,,,"-1","T,1226, ","49"," ,T,0105, ",,,"1.60"," ,T,1207, ","79","T,0717, ","7866","3","19.35"," ,T",,,"43.1","T","55.2","T","31.0","T"
"USW00003145","YUMA MCAS, AZ US","32.65","-114.61667","64.9","2009","4677",,,,,,"36","W,0105, ",,,,,"1.62"," ,W,0905, ","117","W,0828, ","599","8","2.54"," ,W",,,"75.8","W","88.7","W","63.0","W"
"USC00020775","BISBEE 1 WNW, AZ US","31.4475","-109.9288","1694.7","2009",,,,,,,,,,,,,,,,,"2625","4",,,,,,,,,,
"USC00028817","TUCSON U OF A NUMBER 1, AZ US","32.258","-111.0052","705.6","2009",,,,,,,,,,,,,,,,,"1149","2",,,,,,,,,,
"USC00023009","FLAGSTAFF 4 SW, AZ US","35.1611","-111.7311","2171.7","2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00025426","MEADVIEW 1 W, AZ US","36.0184","-114.0681","895.5","2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00027726","SELLS, AZ US","31.9123","-111.885","714.8","2009",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+",,,,,,,"7.22"," ,0","0.0"," ,0",,,,,,
"USC00024453","JEROME, AZ US","34.7522","-112.1114","1508.8","2009",,,"        1",,"         2","0",,,"1"," ,0,1208, ","3.5"," ,0,0210, ",,,,,,,,,"4.5"," ,0",,,,,,
"USC00028499","TEMPE ASU, AZ US","33.4258","-111.9216","355.7","2009",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","1.31"," ,0,0721, ",,,,,"5.33"," ,0","0.0"," ,0",,,,,,
"USC00025780","MUND S PARK, AZ US","34.9364","-111.6392","1972.1","2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00028012","SNOWFLAKE, AZ US","34.508","-110.0838","1719.7","2009","625",,"        8",,"         4","0","3","0,1204, ","2"," ,0,1223,+","3.0"," ,0,1028, ","0.63"," ,0,0728, ","100","0,0718,+","4418","6","7.48"," ,0","9.5"," ,0","53.3","0","70.1","0","36.5","0"
"USC00029464","WITTMANN 1 SE, AZ US","33.7776","-112.523","513.0","2009",,,,,,,,,,,,,,,,,"1481","7",,,,,,,,,,
"USC00026194","PAINTED ROCK DAM, AZ US","33.0772","-113.0316","173.1","2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00027281","ROOSEVELT 1 S, AZ US","33.649","-111.1088","794.0","2009","3059",,"        0",,"         0","0","28","0,1226, ","0"," ,0,1231,+","0.0"," ,0,1231,+","1.51"," ,0,0920, ","112","0,0727,+","1765","7","10.81"," ,0","0.0"," ,0","68.2","0","82.8","0","53.7","0"
"USR0000AUNI","UNION PASS ARIZONA, AZ US","35.2247","-114.3747","1072.9","2009","2904",,,,,,"28","U,0210, ",,,,,,,"108","U,0717, ","1981","7",,,,,"67.1","U","76.1","U","58.2","U"
"USR0000AMOL","MORMON LAKE ARIZONA, AZ US","34.9067","-111.445","2255.5","2009","175",,,,,,"-21","U,1225, ",,,,,,,"93","U,0717, ","6428","2",,,,,"46.3","U","62.1","U","30.6","U"
"USC00027716","SELIGMAN, AZ US","35.3322","-112.8797","1600.2","2009","773",,,,"         7","0","-6","0,1211,+",,,"6.5"," ,0,1208, ","1.00"," ,0,1208, ","104","0,0717, ","3591","0","6.77"," ,0","17.2"," ,0","55.0","0","72.5","0","37.4","0"
"USC00020404","ARIZONA CITY, AZ US","32.7306","-111.6917","464.8","2009","3938",,"        0",,"         0","0","23","0,1226, ","0"," ,0,1231,+","0.0"," ,0,1231,+","0.30"," ,0,0208, ","115","0,0729,+","1404","1","2.67"," ,0","0.0"," ,0","71.6","0","88.8","0","54.4","0"
"USC00026865","QUARTZSITE, AZ US","33.665","-114.2272","266.7","2009","4419",,"        0",,"         0","0","28","0,1225, ","0"," ,0,1231,+","0.0"," ,0,1231,+","0.91"," ,0,0823, ","117","0,0718,+","1181","1","4.01"," ,0","0.0"," ,0","73.5","0","87.2","0","59.7","0"
"USC00025412","MC NARY 2 N, AZ US","34.1141","-109.8588","2237.2","2009","141",,"       90",,"        20","0","-1","0,1227, ","23"," ,0,0107,+","14.5"," ,0,1208, ","1.95"," ,0,1208, ","89","0,0712, ","6178","4","17.09"," ,0","75.5"," ,0","47.7","0","61.8","0","33.6","0"
"USR0000AHUM","HUMBUG CREEK ARIZONA, AZ US","34.1164","-112.3006","1600.2","2009","1682",,,,,,"26","U,1209,+",,,,,,,"98","U,0828,+","2701","4",,,,,"61.7","U","70.7","U","52.7","U"
"USC00022140","CORONADO NATIONAL MEMORIAL, AZ US","31.3455","-110.2541","1597.8","2009",,,"        1",,"         0","0",,,"1"," ,0,1223, ","0.0"," ,0,1231,+","1.85"," ,0,0813, ",,,"2233","6","17.76"," ,0","1.0"," ,0",,,,,,
"USR0000AHUR","HURRICANE ARIZONA, AZ US","36.6992","-113.2072","1659.6","2009","1304",,,,,,"13","U,1210,+",,,,,,,"101","U,0718,+","4156","9",,,,,"56.2","U","67.5","U","44.9","U"
"USC00023110","FORT GRANT, AZ US","32.623","-109.9427","1478.3","2009",,,"        0",,"         0","0",,,"0","T,0,1229,+","0.5"," ,0,1223, ","1.49"," ,0,0905, ",,,,,"12.79"," ,0","0.6"," ,0",,,,,,
"USC00029334","WILLCOX, AZ US","32.2553","-109.8369","1271.0","2009",,,,,,,,,,,,,,,,,"2569","4",,,,,,,,,,
"USR0000AOAK","OAK CREEK ARIZONA, AZ US","34.9417","-111.7517","1500.8","2009","1377",,,,,,"19","U,1231,+",,,,,,,"106","U,0718,+","3235","4",,,,,"59.3","U","73.6","U","45.0","U"
"USR0000AGRE","GREER ARIZONA, AZ US","34.06","-109.45","2499.4","2009","85",,,,,,"-7","U,1225, ",,,,,,,"87","U,0805, ","6370","8",,,,,"47.1","U","60.3","U","33.8","U"
"USC00021050","BULLHEAD CITY, AZ US","35.1411","-114.5686","161.8","2009","4552",,,,,,"32","0,1205, ",,,,,"0.51"," ,0,0207, ","119","0,0728,+","838","5","2.78"," ,0",,,"75.0","0","89.5","0","60.6","0"
"USS0010R04S","HEBER, AZ US","34.31","-110.75","2328.7","2009","277",,,,,,"13","T,1204, ",,,,,"2.60"," ,T,1207, ","87","T,0804, ",,,"16.56"," ,T",,,"50.6","T","60.3","T","40.8","T"
"USC00026180","PAGE, AZ US","36.9208","-111.4483","1301.5","2009","1787",,"        0",,"         1","0","16","0,1205,+","0","T,0,1229, ","1.0"," ,0,1222, ","1.46"," ,0,0523, ","105","0,0718, ","3775","2","4.94"," ,0","1.0"," ,0","58.7","0","70.3","0","47.1","0"
