"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00030234","ARKANSAS CITY, AR US","33.63778","-91.21194","51.8","2008",,,,,,,,,,,,,"6.00"," ,0,0503, ",,,,,"64.71"," ,0",,,,,,,,
"USC00031962","DERMOTT 3 NE, AR US","33.5597","-91.3849","44.2","2008",,,,,"         1","0",,,,,"5.0"," ,0,0308, ","3.55"," ,0,1210, ","102","0,0730, ","2546","7","63.22"," ,0","5.0"," ,0",,,"74.0","0",,
"USC00032930","GRAVETTE, AR US","36.4261","-94.448","384.0","2008","1358",,"        2",,"         1","0","2","0,1222, ","3"," ,0,0131, ","4.3"," ,0,0131, ","6.27"," ,0,0318, ","101","0,0804,+","3588","2","71.26"," ,0","5.2"," ,0","58.0","0","70.1","0","45.8","0"
"USW00003953","JONESBORO MUNICIPAL AIRPORT, AR US","35.83111","-90.64639","79.9","2008","1802",,,,,,"11","W,1222, ",,,,,"3.51"," ,W,0303, ","104","W,0828, ","3661","9","44.86"," ,W",,,"59.3","W","69.6","W","49.0","W"
"USW00003952","NORTH LITTLE ROCK AIRPORT, AR US","34.8353","-92.2596","171.6","2008","1988",,"        2",,"         2","0","12","0,1222, ","2"," ,0,0308, ","2.5"," ,0,0307, ","4.83"," ,0,0903, ","104","0,0803, ","3013","8","51.95"," ,0","4.0"," ,0","61.7","0","71.2","0","52.2","0"
"USC00031328","CENTERVILLE 4 SE, AR US","35.0931","-93.1046","97.5","2008",,,,,"         2","0",,,,,"8.5"," ,0,0304, ","4.08"," ,0,0319, ",,,,,"68.39"," ,0","13.3"," ,0",,,,,,
"USR0000AODE","ODEN ARKANSAS, AR US","34.6242","-93.8061","273.1","2008",,,,,,,,,,,,,,,,,"3161","9",,,,,,,,,,
"USC00033466","HOT SPRINGS 1 NNE, AR US","34.5129","-93.0487","190.8","2008","1751",,"        1",,"         1","0","11","0,0104,+","1"," ,0,0304, ","1.3"," ,0,0304, ","6.65"," ,0,0903, ","106","0,0804, ","3255","1","69.03"," ,0","1.3"," ,0","60.3","0","71.5","0","49.1","0"
"USC00033862","KEO, AR US","34.6033","-91.9927","70.4","2008","1826",,"        1",,"         2","0","14","0,1222, ","3"," ,0,0307, ","3.0"," ,0,0307, ","4.04"," ,0,0409, ","100","0,0802, ","2925","9","57.57"," ,0","4.0"," ,0","61.4","0","70.8","0","52.0","0"
"USC00031442","CLARENDON, AR US","34.6986","-91.30355","54.6","2008","1801",,,,"         1","0","14","0,1222, ",,,"8.0"," ,0,0308, ","3.65"," ,0,0904, ","101","0,0803, ",,,"57.22"," ,0","8.0"," ,0","61.0","0","70.7","0","51.2","0"
"USC00033101","HAMPTON, AR US","33.51167","-92.43722","61.0","2008",,,"        0",,"         1","0",,,"0"," ,0,1231,+","6.0"," ,0,0308, ","8.40"," ,0,0903, ",,,,,"52.22"," ,0","6.0"," ,0",,,,,,
"USC00035760","PINE RIDGE, AR US","34.5833","-93.9011","256.0","2008",,,,,"         2","0",,,,,"7.0"," ,0,0307, ","5.27"," ,0,0905, ",,,,,"70.77"," ,0","13.4"," ,0",,,,,,
"USC00031968","DES ARC, AR US","34.9772","-91.4978","61.0","2008","1878",,"        0",,"         2","0","13","0,1222, ","0"," ,0,1231,+","2.5"," ,0,0308, ","2.55"," ,0,0331, ","100","0,0803,+","3052","7","50.39"," ,0","4.5"," ,0","60.7","0","70.2","0","51.3","0"
"USC00034839","MILLWOOD DAM, AR US","33.6772","-93.9902","96.3","2008",,,"        1",,"         1","0",,,"1"," ,0,0307, ","3.5"," ,0,0307, ",,,,,,,"60.35"," ,0","3.8"," ,0",,,,,,
"USC00033909","KINGSTON 2 S, AR US","36.0086","-93.5205","653.8","2008",,,,,"         3","0",,,,,"4.5"," ,0,0307, ","4.55"," ,0,0319, ",,,,,"64.17"," ,0","7.0"," ,0",,,,,,
"USR0000ADVK","DEVILS KNOB ARKANSAS, AR US","35.6111","-93.3333","640.1","2008","1020",,,,,,"4","U,1222, ",,,,,,,"94","U,0803,+","3902","6",,,,,"55.6","U","63.0","U","48.2","U"
"USC00031457","CLARKSVILLE 6 NE, AR US","35.5328","-93.4036","259.1","2008","1435",,,,"         3","0","8","0,1222, ",,,"8.0"," ,0,0307, ","4.31"," ,0,0319, ","100","0,0804,+","3667","3","66.23"," ,0","10.0"," ,0","58.0","0","67.9","0","48.1","0"
"USC00032700","GAMALIEL 2 NW, AR US","36.4812","-92.2441","196.6","2008",,,,,"         3","0",,,,,"5.3"," ,0,0201, ",,,,,,,,,"12.7"," ,0",,,,,,
"USC00030764","BLAKELY MOUNTAIN DAM, AR US","34.5697","-93.1947","129.8","2008","1355",,,,"         2","0","13","0,0104,+",,,"1.5"," ,0,0304, ","6.36"," ,0,0903, ","103","0,0804,+","3190","5","67.03"," ,0","2.5"," ,0","58.7","0","70.6","0","46.8","0"
"USC00031730","CROSSETT 2 SSE, AR US","33.1111","-91.948","54.9","2008","1832",,"        0",,"         0","0","14","0,0103, ","0"," ,0,1231,+","0.0"," ,0,1231,+","8.10"," ,0,0903, ","102","0,0803, ","2699","7","63.96"," ,0","0.0"," ,0","61.6","0","73.7","0","49.5","0"
"USC00032148","DUMAS, AR US","33.88852","-91.53161","49.7","2008","1989",,,,,,"17","0,1222, ",,,,,"2.72"," ,0,1210, ","100","0,0803, ",,,"47.16"," ,0",,,"62.8","0","73.2","0","52.4","0"
"USC00032544","FOREMAN, AR US","33.7222","-94.3975","128.9","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","4.09"," ,0,0409, ",,,,,"51.30"," ,0","0.0"," ,0",,,,,,
"USC00035018","MOUNTAINBURG 2 NE, AR US","35.6494","-94.1541","241.7","2008",,,"        0",,"         0","0",,,"0","T,0,0304,+","0.0","T,0,0207,+","4.41"," ,0,0319, ","103","0,0803, ",,,"61.28"," ,0","0.0","T,0",,,"69.2","0",,
"USC00030006","ABBOTT, AR US","35.0237","-94.1594","207.3","2008",,,,,"         2","0",,,,,"10.0"," ,0,0307, ","5.03"," ,0,0319, ",,,,,"61.26"," ,0","15.0"," ,0",,,,,,
"USC00030800","BLUFF CITY 3 SW, AR US","33.6919","-93.1622","109.7","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+",,,,,,,,,"0.0"," ,0",,,,,,
"USC00031459","CLARKSVILLE 2 N, AR US","35.5001","-93.4727","136.6","2008","1603",,,,"         2","0","10","0,1222, ",,,"8.0"," ,0,0307, ","5.10"," ,0,0319, ","101","0,0804,+","3511","8","64.76"," ,0","9.0"," ,0","59.1","0","69.6","0","48.6","0"
"USC00036506","SEARCY, AR US","35.2679","-91.7168","70.1","2008","1900",,,,"         3","0","12","0,1223,+",,,"2.0"," ,0,0304, ","3.65"," ,0,0904, ","101","0,0803, ","3315","7","55.09"," ,0","4.5"," ,0","59.8","0","71.1","0","48.5","0"
