"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","2009",,,,,,,,,,,,,,,,,"2198","0",,,,,,,,,,
"USR0000CRDR","READER RANCH CALIFORNIA, CA US","39.3036","-121.1172","599.8","2009","1527",,,,,,"20","U,1209,+",,,,,,,"106","U,0719,+","2710","8",,,,,"60.9","U","73.2","U","48.6","U"
"USR0000CTHS","THOUSAND OAKS CALIFORNIA, CA US","34.21","-118.87","242.3","2009","751",,,,,,"34","U,1208,+",,,,,,,"100","U,0923,+","1994","6",,,,,"61.6","U","71.3","U","51.8","U"
"USR0000CABS","ARBUCKLE BASIN CALIFORNIA, CA US","40.3983","-122.8333","579.1","2009","1640",,,,,,"24","U,1208, ",,,,,,,"104","U,0926, ","3134","9",,,,,"60.2","U","68.6","U","51.7","U"
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","2009",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+",,,,,,,,,"0.0"," ,0",,,,,,
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","2009",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","2.40"," ,0,1014, ",,,,,"10.81"," ,0","0.0"," ,0",,,,,,
"USC00045721","MITCHELL CAVERNS, CA US","34.9436","-115.5469","1325.9","2009","2045",,"        2",,"         0","0","22","0,1208, ","1"," ,0,0214,+","0.5"," ,0,0214,+","0.98"," ,0,1208, ","101","0,0719, ",,,"2.96"," ,0","1.0"," ,0","63.2","0","71.9","0","54.6","0"
"USR0000CGOR","GORDON CALIFORNIA, CA US","40.7586","-120.8961","1889.8","2009","197",,,,,,"-5","U,1208, ",,,,,,,"93","U,0819, ","6917","9",,,,,"45.3","U","58.2","U","32.3","U"
"USR0000CREA","REDDING AIRPORT CALIFORNIA, CA US","40.5158","-122.2906","152.4","2009","2031",,,,,,"15","U,1209, ",,,,,,,"114","U,0728, ",,,,,,,"62.9","U","77.3","U","48.5","U"
"USC00045968","MOUNT LAGUNA NUMBER 3, CA US","32.8672","-116.4194","1804.4","2009",,,,,,,,,,,,,,,,,,,,,"38.1"," ,0",,,,,,
"US1CAMT0007","MONTEREY 1.5 ESE, CA US","36.59366","-121.855663","32.9","2009",,,,,,,,,,,,,"2.28"," ,N,1014, ",,,,,"15.37"," ,N",,,,,,,,
"USR0000CGOO","GOOSE VALLEY CALIFORNIA, CA US","33.0736","-116.8458","466.3","2009","1291",,,,,,"30","U,0211,+",,,,,,,"109","U,0829, ","1742","0",,,,,"63.3","U","78.9","U","47.7","U"
"USR0000CRCH","RANCHITA CALIFORNIA, CA US","33.2222","-116.4975","1345.7","2009","1545",,,,,,"24","U,0210, ",,,,,,,"98","U,0829,+","2978","3",,,,,"60.5","U","70.2","U","50.7","U"
"USC00042467","DONNER MEMORIAL ST PARK, CA US","39.3239","-120.2331","1809.6","2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00044405","JOSHUA TREE, CA US","34.1471","-116.2747","781.2","2009","2475",,"        0",,"         0","0","25","0,1228,+","0"," ,0,1231,+","0.0","T,0,1208, ","0.90"," ,0,1129, ","109","0,0720,+",,,"2.33"," ,0","0.0","T,0","65.4","0","79.8","0","50.9","0"
"USC00047916","SANTA CRUZ, CA US","36.98785","-121.99952","21.3","2009","162",,"        0",,"         0","0","27","0,1208, ","0"," ,0,1231,+","0.0"," ,0,1231,+","3.16"," ,0,1013, ","99","0,0828, ","2731","2","25.02"," ,0","0.0"," ,0","57.9","0","68.5","0","47.2","0"
"USC00046826","PETALUMA AIRPORT, CA US","38.2577","-122.6077","6.1","2009",,,"        0",,"         0","0","20","0,1209, ","0"," ,0,1231,+","0.0"," ,0,1231,+","2.55"," ,0,1013, ",,,,,"18.86"," ,0","0.0"," ,0",,,,,"44.8","0"
"USC00043551","GRANT GROVE, CA US","36.73751","-118.96197","2005.6","2009",,,"      131",,"        31","0",,,"53"," ,0,0218, ","20.0"," ,0,0217, ","7.66"," ,0,1014, ",,,"5933","1","42.04"," ,0","146.0"," ,0",,,,,,
"USC00044881","LEE VINING, CA US","37.9567","-119.1194","2071.7","2009","258",,,,"        15","0","3","0,1208, ",,,"12.0"," ,0,0322, ","2.18"," ,0,1014, ","90","0,0821,+","5862","7","12.76"," ,0","70.2"," ,0","48.1","0","61.2","0","35.0","0"
"USW00093210","OROVILLE MUNICIPAL AIRPORT, CA US","39.49","-121.61833","57.9","2009","1738",,,,,,"22","W,1209, ",,,,,"1.77"," ,W,0222, ","109","W,0628, ",,,"21.26"," ,W",,,"62.7","W","74.8","W","50.6","W"
"USW00093209","PASO ROBLES MUNICIPAL AIRPORT, CA US","35.6697","-120.6283","246.9","2009","1041",,,,,,"23","0,1206,+",,,,,"1.80"," ,0,1013, ","110","0,0719, ","2638","7","8.47"," ,0",,,"60.0","0","77.0","0","42.9","0"
"US1CASH0006","SHINGLETOWN 5.3 ENE, CA US","40.523927","-121.795657","1208.2","2009",,,,,,,,,,,,,,,,,,,"39.26"," ,N",,,,,,,,
"USC00044412","JULIAN CDF, CA US","33.0763","-116.5925","1284.7","2009",,,"        3",,"         0","0",,,"8"," ,0,0210, ","0.0"," ,0,1231,+","3.23"," ,0,1208, ",,,,,"17.59"," ,0","0.0"," ,0",,,,,,
"USC00041149","BUCKHORN, CA US","40.87972","-121.93168","1127.8","2009",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","2.01"," ,0,1014, ",,,,,"47.87"," ,0","0.0"," ,0",,,,,,
"USC00042239","CUYAMACA, CA US","32.9897","-116.5872","1414.3","2009",,,,,"         3","0",,,,,"13.0"," ,0,0210, ","3.74"," ,0,1208, ","98","0,0717, ",,,"18.28"," ,0","18.1"," ,0",,,"67.7","0",,
"US1CASH0008","REDDING 2.9 NNE, CA US","40.6089","-122.3388","198.7","2009",,,,,,,,,,,,,"2.08"," ,N,1216, ",,,,,"37.24"," ,N",,,,,,,,
"USC00044890","LEMON COVE, CA US","36.3817","-119.0264","156.4","2009","2093",,"        0",,"         0","0","29","0,1209,+","0"," ,0,1231,+","0.0"," ,0,1231,+","1.14"," ,0,1014, ","112","0,0720, ","2243","2","9.68"," ,0","0.0"," ,0","64.3","0","78.9","0","49.6","0"
