"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1COAR0071","BENNETT 11.3 SSW, CO US","39.5973","-104.468","1787.0","2007",,,,,"        18","N",,,,,"8.3"," ,N,0122, ","2.19"," ,N,0728, ",,,,,"19.84"," ,N","63.8"," ,N",,,,,,
"USC00051294","CANON CITY, CO US","38.4599","-105.2255","1639.2","2007","895",,"       49",,"        19","0","-10","0,0202, ","9"," ,0,0114, ","4.7"," ,0,0113, ","1.41"," ,0,0507, ","102","0,0626, ",,,"14.66"," ,0","49.1"," ,0","52.4","0","67.7","0","37.0","0"
"USR0000CTHM","THOMPSON MOUNTAIN COLORADO CCDBLMFT, CO US","38.6197","-105.3908","2579.5","2007","27",,,,,,"-12","U,0202, ",,,,,,,"85","U,0703, ","8247","6",,,,,"43.0","U","55.6","U","30.4","U"
"US1COJF0125","EVERGREEN 4.6 S, CO US","39.5677","-105.308","2410.1","2007",,,,,"        40","N",,,,,"16.5"," ,N,0425, ","1.70"," ,N,1222, ",,,,,"23.00"," ,N","139.4"," ,N",,,,,,
"US1COJF0003","DENVER 6.1 WSW, CO US","39.7005","-105.0985","1699.0","2007",,,,,"        26","N",,,,,"5.2"," ,N,0301, ","1.47"," ,N,0425, ",,,,,"19.63"," ,N","74.0"," ,N",,,,,,
"USS0006J12S","ROACH, CO US","40.88","-106.05","2956.6","2007",,,"      346",,,,"-29","T,0115, ","69"," ,T,0329, ",,,"1.30"," ,T,1201, ",,,,,"34.41"," ,T",,,,,,,"26.1","T"
"USS0006K45S","BEAVER CK VILLAGE, CO US","39.6","-106.51","2590.8","2007","27",,,,,,"-10","T,0116, ",,,,,"1.10"," ,T,0917, ","89","T,0615, ","8707","4","26.00"," ,T",,,"42.5","T","54.5","T","30.4","T"
"USS0007J05S","RIPPLE CREEK, CO US","40.11","-107.29","3151.6","2007","0",,,,,,"-13","T,0115, ",,,,,"0.90"," ,T,1207,+","78","T,0702, ",,,"34.95"," ,T",,,"37.0","T","46.7","T","27.3","T"
"USS0007K14S","OVERLAND RES., CO US","39.09","-107.63","2999.2","2007",,,,,,,,,,,,,"1.70"," ,T,0923, ",,,,,"31.72"," ,T",,,,,,,,
"US1COLR0189","WELLINGTON 1.5 SW, CO US","40.689","-105.024166","1594.1","2007",,,,,"        12","N",,,,,"6.0"," ,N,1121, ","1.69"," ,N,0803, ",,,,,"13.67"," ,N","32.4"," ,N",,,,,,
"USC00053359","GLENWOOD SPGS NUMBER 2, CO US","39.518","-107.3172","1796.8","2007","634",,,,,,"-8","0,0116, ",,,,,,,"99","0,0723, ","6401","9",,,,,"48.6","0","63.7","0","33.5","0"
"USC00051179","BYERS 5 ENE, CO US","39.74062","-104.12742","1554.8","2007","852",,"       92",,"        20","0","-24","0,0202, ","18"," ,0,0130,+","4.0"," ,0,0425,+","2.23"," ,0,0425, ","101","0,0718, ","6743","0","17.35"," ,0","44.6"," ,0","49.2","0","64.0","0","34.3","0"
"USC00057950","STERLING, CO US","40.6279","-103.2084","1211.3","2007","1100",,"       52",,,,"-12","0,0202, ","9"," ,0,1228, ",,,,,"103","0,0718, ","5968","6","15.65"," ,0","26.0"," ,0","50.7","0","64.9","0","36.5","0"
"US1COLR0187","WELLINGTON 5.5 NW, CO US","40.7689","-105.064","1653.8","2007",,,,,"         8","N",,,,,"5.0"," ,N,1228, ","2.12"," ,N,1014, ",,,,,"15.31"," ,N","25.6"," ,N",,,,,,
"USC00055531","MESA VERDE NATIONAL PARK, CO US","37.1996","-108.4893","2176.9","2007","723",,"       69",,"        19","0","-1","0,0115, ","9"," ,0,0202, ","4.5"," ,0,0113, ","1.50"," ,0,1005, ","99","0,0711, ","6148","7","21.27"," ,0","45.9"," ,0","50.8","0","62.9","0","38.7","0"
"USC00054444","KARVAL, CO US","38.7411","-103.5427","1546.9","2007",,,"       57",,"        10","0",,,"7"," ,0,1229,+","7.0"," ,0,1228, ","1.48"," ,0,0816, ",,,,,"12.78"," ,0","23.5"," ,0",,,,,,
"US1COYU0052","WRAY 19 NNE, CO US","40.3454","-102.1418","1106.1","2007",,,,,"        13","N",,,,,"4.0"," ,N,0121, ","1.71"," ,N,0728, ",,,,,"17.12"," ,N","26.5"," ,N",,,,,,
"USR0000CDIN","DINOSAUR N.M. COLORADO, CO US","40.5086","-108.9106","1816.6","2007","1084",,,,,,"-9","U,0115, ",,,,,,,"99","U,0722,+","6500","1",,,,,"50.7","U","63.0","U","38.4","U"
"USS0007K01S","NORTH LOST TRAIL, CO US","39.08","-107.14","2804.2","2007",,,,,,,,,,,,,"1.90"," ,T,1201, ",,,,,"36.63"," ,T",,,,,,,,
"USS0007M31S","VALLECITO, CO US","37.49","-107.51","3316.2","2007","2",,,,,,"-9","T,0202, ",,,,,"2.30"," ,T,1201, ","75","T,0703, ",,,"35.03"," ,T",,,"39.9","T","48.4","T","31.4","T"
"USS0007K13S","TRAPPER LAKE, CO US","40.0","-107.24","2956.6","2007","0",,,,,,"-20","T,0115, ",,,,,"1.10"," ,T,1001, ","78","T,0702, ","9909","8","29.00"," ,T",,,"38.0","T","49.2","T","26.8","T"
"US1COBO0144","LONGMONT 3.2 SW, CO US","40.138","-105.1475","1539.8","2007",,,,,"        19","N",,,,,"5.2"," ,N,1209, ","1.86"," ,N,0925, ",,,,,"13.18"," ,N","51.0"," ,N",,,,,,
