"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00054767","WILLIMANTIC WINDHAM AIRPORT, CT US","41.74194","-72.18361","75.3","2008","596",,,,,,"3","W,0104, ",,,,,"3.86"," ,W,0906, ","96","W,0610, ","5863","1","48.14"," ,W",,,"50.4","W","60.9","W","39.9","W"
"USC00060227","BAKERSVILLE, CT US","41.8418","-73.0085","209.1","2008","424",,"       87",,"        15","0","-4","0,0104, ","14"," ,0,1222, ","8.5"," ,0,1220, ","3.80"," ,0,0907, ","95","0,0611, ","6702","5","68.54"," ,0","57.2"," ,0","47.4","0","58.8","0","36.0","0"
"USW00014707","GROTON NEW LONDON AIRPORT, CT US","41.3275","-72.04944","3.0","2008","535",,,,,,"7","W,0104, ",,,,,"2.75"," ,W,0906, ","89","W,0719, ","5490","0","38.14"," ,W",,,"51.1","W","59.4","W","42.9","W"
"USC00060808","BRIDGEPORT SUCCESS HILL, CT US","41.2004","-73.1569","21.3","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014752","HARTFORD BRAINARD FIELD, CT US","41.73611","-72.65056","5.8","2008","806",,,,,,"6","W,0103, ",,,,,"4.55"," ,W,0906, ","97","W,0610,+","5429","2","63.38"," ,W",,,"51.8","W","61.1","W","42.5","W"
"USC00067970","STAMFORD 5 N, CT US","41.1247","-73.5475","57.9","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014758","NEW HAVEN TWEED AIRPORT, CT US","41.26389","-72.88722","0.9","2008","828",,,,,,"7","W,0104,+",,,,,"3.31"," ,W,0906, ","93","W,0610, ","5378","0","51.67"," ,W",,,"52.5","W","61.0","W","44.1","W"
"USC00068065","STEVENSON DAM, CT US","41.382","-73.1717","35.1","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","4.64"," ,0,0906, ",,,,,"55.61"," ,0","0.0"," ,0",,,,,,
"USC00067958","STAFFORDVILLE, CT US","41.9984","-72.2606","224.3","2008","406",,"       51",,"        14","0","-1","0,0104, ","13"," ,0,1222, ","9.0"," ,0,1220, ","5.60"," ,0,0907, ","95","0,0611, ","6489","1","71.54"," ,0","47.7"," ,0","47.7","0","58.5","0","36.9","0"
"USC00065910","NORWICH PUBLIC UTILITY PLANT, CT US","41.5268","-72.06517","6.1","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00069775","WOODBURY, CT US","41.5537","-73.2296","198.1","2008","452",,"       34",,"        12","0","2","0,0103, ","11"," ,0,1221, ","7.2"," ,0,1219, ","4.88"," ,0,0906, ","93","0,0610, ","5582","9","61.19"," ,0","40.7"," ,0","49.6","0","58.7","0","40.4","0"
"USW00054734","DANBURY MUNICIPAL AIRPORT, CT US","41.37139","-73.48278","139.3","2008","541",,,,,,"-3","W,1223, ",,,,,"5.22"," ,W,0906, ","93","W,0610,+","5999","7","57.21"," ,W",,,"49.5","W","59.7","W","39.2","W"
"USC00062658","FALLS VILLAGE, CT US","41.95","-73.36667","167.6","2008",,,,,,,,,,,,,"4.19"," ,0,0907, ",,,,,"55.56"," ,0",,,,,,,,
"USC00068138","STORRS, CT US","41.7951","-72.2285","202.7","2008","443",,"       33",,"         5","0","2","0,0104,+","9"," ,0,1223,+","6.2"," ,0,0114, ","4.20"," ,0,1212, ","93","0,0611, ","6089","8","58.13"," ,0","17.5"," ,0","49.0","0","57.4","0","40.5","0"
"USC00060973","BURLINGTON, CT US","41.7944","-72.932","153.9","2008","587",,,,"        15","0","0","0,0104, ",,,"10.0"," ,0,1220, ","4.09"," ,0,0907, ","95","0,0611,+","6031","8","73.25"," ,0","46.9"," ,0","49.4","0","60.1","0","38.6","0"
"USC00063207","GROTON, CT US","41.35024","-72.0377","12.2","2008",,,"       10",,"         6","0","8","0,0103, ","6"," ,0,1219, ","6.5"," ,0,1219, ","3.83"," ,0,0906, ","91","0,0609, ",,,"61.39"," ,0","20.1"," ,0","52.4","0","60.3","0","44.5","0"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","2008","466",,"       34",,"        10","0","2","0,0104, ","12"," ,0,1223,+","8.0"," ,0,1220,+","4.22"," ,0,1212, ","95","0,0611, ","6333","2","61.54"," ,0","33.0"," ,0","48.6","0","59.4","0","37.8","0"
"USW00094702","IGOR I SIKORSKY MEMORIAL AIRPORT, CT US","41.16422","-73.12669","1.5","2008","915",,"       20",,"         9","0","9","0,0103, ","7"," ,0,1221,+","7.0"," ,0,1219,+","2.90"," ,0,0906, ","97","0,0609, ","4976","6","47.76"," ,0","30.4"," ,0","53.3","0","61.1","0","45.5","0"
"USC00061762","DANBURY, CT US","41.40016","-73.42119","123.4","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00065445","NORFOLK 2 SW, CT US","41.9725","-73.2208","408.4","2008","337",,"      110",,"        18","0","-5","0,0103, ","21"," ,0,0301, ","9.2"," ,0,0114, ","3.98"," ,0,0907, ","92","0,0611, ","7102","4","65.64"," ,0","77.7"," ,0","46.0","0","54.8","0","37.2","0"
"USW00014740","HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US","41.9375","-72.6819","53.3","2008","770",,,,"        11","Z","-3","X,0104,+",,,"8.4"," ,Z,1219, ","5.22"," ,Z,0906, ","98","X,0610, ","5744","4","65.39"," ,Z","48.4"," ,Z","51.0","X","61.0","X","40.9","X"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","41.50972","-72.82778","31.4","2008","703",,,,,,"-3","W,1223, ",,,,,"3.89"," ,W,0906, ","96","W,0610, ","5644","5","58.63"," ,W",,,"51.0","W","61.4","W","40.6","W"
