"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1DENC0033","WILMINGTON 3.6 N, DE US","39.78787","-75.539334","100.0","2019",,,,,,,,,,,,,"1.99"," ,N,0712, ",,,,,"49.10"," ,N",,,,,,,,
"US1DESS0064","LAUREL 3.5 NNE, DE US","38.605","-75.5601","11.9","2019",,,,,,,,,,,,,"3.65"," ,N,0802, ",,,,,"46.17"," ,N",,,,,,,,
"US1DENC0010","NEWPORT 2.4 WNW, DE US","39.725585","-75.648791","20.7","2019",,,,,,,,,,,,,"2.29"," ,N,0712, ",,,,,"48.43"," ,N",,,,,,,,
"US1DESS0044","LEWES 3.9 SW, DE US","38.744523","-75.204769","7.9","2019",,,,,,,,,,,,,"2.03"," ,N,1021, ",,,,,"44.37"," ,N",,,,,,,,
"US1DESS0035","SEAFORD 0.6 S, DE US","38.640809","-75.616761","8.2","2019",,,,,,,,,,,,,"2.13"," ,N,0802, ",,,,,"41.56"," ,N",,,,,,,,
"US1DESS0003","DELMAR 4.3 E, DE US","38.469094","-75.492328","15.5","2019",,,,,"         2","N",,,,,"3.8"," ,N,0113, ","2.18"," ,N,1021, ",,,,,"42.72"," ,N","6.9"," ,N",,,,,,
"US1DESS0025","MILTON 3.8 SSE, DE US","38.7271118164063","-75.2870178222656","11.6","2019",,,,,,,,,,,,,"1.83"," ,N,1021, ",,,,,"40.85"," ,N",,,,,,,,
"US1DESS0048","ELLENDALE 3.4 ENE, DE US","38.8317108154297","-75.3690032958984","11.3","2019",,,,,,,,,,,,,"2.08"," ,N,0808, ",,,,,"42.63"," ,N",,,,,,,,
"US1DESS0006","SEAFORD 2.3 SSE, DE US","38.618918","-75.598454","9.1","2019",,,,,,,,,,,,,"2.24"," ,N,0705, ",,,,,"39.07"," ,N",,,,,,,,
"USC00079605","WILMINGTON PORTER RES, DE US","39.7739","-75.5414","82.3","2019","1155",,,,"         0","7","3","7,0131, ",,,"0.1"," ,7,0201, ","2.08"," ,7,1027, ","95","7,0721, ","5017","2","43.70"," ,7","0.1"," ,7","54.4","7","62.5","7","46.3","7"
"US1DENC0002","NEWARK 3.9 SSW, DE US","39.624942","-75.786129","33.8","2019",,,,,,,,,,,,,"2.45"," ,N,0322, ",,,,,"51.65"," ,N",,,,,,,,
"US1DENC0034","NEWARK 2.3 NNW, DE US","39.706609","-75.776054","87.8","2019",,,,,,,,,,,,,,,,,,,"47.44"," ,N",,,,,,,,
"USC00072730","DOVER, DE US","39.1467","-75.5055","9.1","2019","1619",,,,,,"4","7,0202, ",,,,,,,"96","7,0721,+","4083","1","44.06"," ,7",,,"58.1","7","67.6","7","48.6","7"
"USW00013781","WILMINGTON NEW CASTLE CO AIRPORT, DE US","39.6744","-75.60567","24.1","2019","1477",,"       14",,"         6","W","5","W,0131, ","4"," ,W,0114, ","3.9"," ,W,0211, ","2.09"," ,W,0711, ","98","W,1002, ","4577","7","47.99"," ,W","17.8"," ,W","56.6","W","66.0","W","47.2","W"
"US1DEKN0024","FELTON 0.4 E, DE US","39.0098304748535","-75.5712280273438","17.4","2019",,,,,,,,,,,,,"2.46"," ,N,0611, ",,,,,"47.67"," ,N",,,,,,,,
"USW00013764","GEORGETOWN DELAWARE COASTAL AIRPORT, DE US","38.68974","-75.36253","14.0","2019","1623",,,,,,"8","W,0202, ",,,,,"1.77"," ,W,1020, ","100","W,0721,+","3700","5","39.34"," ,W",,,"59.0","W","68.7","W","49.2","W"
"US1DESS0030","MILFORD 2.6 SE, DE US","38.892872","-75.392441","9.1","2019",,,,,,,,,,,,,"1.65"," ,N,0808, ",,,,,"42.78"," ,N",,,,,,,,
