"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1FLOK0029","MARY ESTHER 0.6 E, FL US","30.4109","-86.6475","4.9","2019",,,,,,,,,,,,,"5.53"," ,N,1222, ",,,,,"54.63"," ,N",,,,,,,,
"USC00080737","BIG CYPRESS, FL US","26.3283","-80.9958","4.6","2019","4116",,,,,,"35","7,0122,+",,,,,"2.26"," ,7,0511, ","99","7,0605, ","342","0","48.67"," ,7",,,"75.5","7","86.2","7","64.8","7"
"USC00082915","FEDERAL POINT, FL US","29.755","-81.5389","1.5","2019",,,,,,,,,,,,,"2.25"," ,H,1223, ",,,,,"52.32"," ,H",,,,,,,,
"US1FLVL0038","OAK HILL 2.8 WSW, FL US","28.860597","-80.871231","1.8","2019",,,,,,,,,,,,,"4.40"," ,N,1010, ",,,,,"69.97"," ,N",,,,,,,,
"US1FLBV0023","COCOA 2.6 WNW, FL US","28.3956","-80.7868","7.0","2019",,,,,,,,,,,,,"3.93"," ,N,0328, ",,,,,"61.66"," ,N",,,,,,,,
"US1FLOK0020","NICEVILLE 3.4 ESE, FL US","30.512333","-86.4305","24.1","2019",,,,,,,,,,,,,"4.55"," ,N,0619, ",,,,,"56.06"," ,N",,,,,,,,
"US1FLBV0020","PALM SHORES 4.3 NNW, FL US","28.2439","-80.6842","6.1","2019",,,,,,,,,,,,,"3.28"," ,N,0128, ",,,,,"64.64"," ,N",,,,,,,,
"USC00084095","HOMESTEAD GEN AVIATION AIRPORT, FL US","25.5011","-80.55","2.7","2019","4453",,,,,,"42","7,0122,+",,,,,"2.61"," ,7,0804, ","99","7,0625, ","126","0","45.63"," ,7",,,"77.3","7","87.0","7","67.6","7"
"USC00085184","LOXAHATCHEE NWR, FL US","26.4985","-80.216","6.4","2019","4364",,,,,,"41","7,0122,+",,,,,"2.62"," ,7,1026, ","94","7,0828,+","157","5","68.18"," ,7",,,"76.6","7","84.7","7","68.5","7"
"US1FLCT0011","HERNANDO 1.6 N, FL US","28.92978","-82.37039","23.2","2019",,,,,,,,,,,,,"2.06"," ,N,0828, ",,,,,"61.98"," ,N",,,,,,,,
"USW00013889","JACKSONVILLE INTERNATIONAL AIRPORT, FL US","30.495","-81.6936","7.9","2019","3241",,"        0",,"         0","W","30","W,0131, ","0"," ,W,1231,+","0.0"," ,W,1231,+","3.18"," ,W,0811, ","100","W,0527, ","1000","5","46.38"," ,W","0.0"," ,W","71.3","W","81.8","W","60.8","W"
"US1FLPB0034","PAHOKEE 1.6 NE, FL US","26.8374","-80.6471","4.3","2019",,,,,,,,,,,,,,,,,,,"43.31"," ,N",,,,,,,,
"US1FLPB0036","LANTANA 0.3 E, FL US","26.5838024911087","-80.0506314844475","1.5","2019",,,,,,,,,,,,,"3.15"," ,N,1223, ",,,,,"63.77"," ,N",,,,,,,,
"USW00013884","CRESTVIEW BOB SIKES AIRPORT, FL US","30.77972","-86.5225","57.9","2019","2941",,,,,,"26","W,1113,+",,,,,,,"102","W,0918,+","1547","4",,,,,"68.9","W","81.4","W","56.5","W"
"US1FLGL0007","LA BELLE 4.5 NNW, FL US","26.820574","-81.4495","11.9","2019",,,,,,,,,,,,,"4.90"," ,N,0618, ",,,,,"53.57"," ,N",,,,,,,,
"US1FLOR0027","ORLANDO 4.9 N, FL US","28.5743007659912","-81.385139465332","31.1","2019",,,,,,,,,,,,,"3.01"," ,N,0328, ",,,,,"66.45"," ,N",,,,,,,,
"US1FLOR0026","ORLANDO 4.8 NNW, FL US","28.5722484588623","-81.3958358764648","30.2","2019",,,,,,,,,,,,,"3.61"," ,N,0701, ",,,,,"68.54"," ,N",,,,,,,,
"US1FLOR0023","ORANGE 11.2 NE, FL US","28.587995","-81.106032","21.3","2019",,,,,,,,,,,,,"2.35"," ,N,0128, ",,,,,"58.91"," ,N",,,,,,,,
"US1FLBV0012","CAPE CANAVERAL 0.6 ESE, FL US","28.3861","-80.6003","6.1","2019",,,,,,,,,,,,,"3.00"," ,N,0128, ",,,,,"61.70"," ,N",,,,,,,,
"US1FLBV0013","ROCKLEDGE 1.1 WSW, FL US","28.312227","-80.745553","11.9","2019",,,,,,,,,,,,,"4.56"," ,N,0813, ",,,,,"82.38"," ,N",,,,,,,,
"US1FLOK0015","NICEVILLE 4.5 SE, FL US","30.478358","-86.437174","9.1","2019",,,,,,,,,,,,,,,,,,,"52.13"," ,N",,,,,,,,
"US1FLJF0009","MONTICELLO 4.3 ENE, FL US","30.5576877593994","-83.8015670776367","47.9","2019",,,,,,,,,,,,,"5.36"," ,N,0202, ",,,,,"43.48"," ,N",,,,,,,,
"US1FLJF0006","MONTICELLO 9.8 SW, FL US","30.44050517","-83.985900204","57.9","2019",,,,,,,,,,,,,"2.28"," ,N,0612, ",,,,,"43.97"," ,N",,,,,,,,
"US1FLJF0007","LAMONT 7.7 SW, FL US","30.29251","-83.8973","11.3","2019",,,,,,,,,,,,,"3.55"," ,N,0819, ",,,,,"46.21"," ,N",,,,,,,,
"US1FLVL0021","DELAND 2.0 W, FL US","29.0374069213867","-81.3299255371094","25.6","2019",,,,,,,,,,,,,"4.44"," ,N,1019, ",,,,,"51.02"," ,N",,,,,,,,
"USC00085076","LISBON, FL US","28.8728","-81.7844","20.7","2019","3241",,,,,,"35","7,0121, ",,,,,"1.85"," ,7,0814, ","96","7,0703,+","692","6","45.60"," ,7",,,"72.2","7","81.6","7","62.8","7"
"USW00003818","MARIANNA MUNICIPAL AIRPORT, FL US","30.83556","-85.18389","34.4","2019","3190",,"        0",,"         0","W","28","W,1113,+","0"," ,W,1231,+","0.0"," ,W,1231,+","2.56"," ,W,1229, ","103","W,0918, ",,,"41.70"," ,W","0.0"," ,W","70.2","W","81.3","W","59.1","W"
"USW00013899","PENSACOLA REGIONAL AIRPORT, FL US","30.47806","-87.18694","34.1","2019","3282",,"        0",,"         0","H","29","W,1113, ","0"," ,H,1231,+","0.0"," ,H,1231,+","3.60"," ,W,0606, ","102","W,0918,+","1168","0","52.58"," ,W","0.0"," ,H","71.0","W","79.8","W","62.1","W"
"US1FLHB0114","RIVERVIEW 0.9 ENE, FL US","27.8735122680664","-82.3028869628906","7.0","2019",,,,,,,,,,,,,"3.34"," ,N,0801, ",,,,,"50.49"," ,N",,,,,,,,
"US1FLOR0019","UNION PARK 1.1 E, FL US","28.562445","-81.218461","19.8","2019",,,,,,,,,,,,,"2.92"," ,N,0815, ",,,,,"65.90"," ,N",,,,,,,,
"USW00003853","MAYPORT PILOT STATION, FL US","30.4","-81.41667","4.9","2019","3236",,,,,,"35","W,0130, ",,,,,"5.36"," ,W,1007, ","97","W,0702,+",,,"46.61"," ,W",,,"72.0","W","79.3","W","64.6","W"
"US1FLBW0048","COOPER CITY 1.3 WSW, FL US","26.0346050262451","-80.3069686889648","1.8","2019",,,,,,,,,,,,,"3.28"," ,N,0405, ",,,,,"70.00"," ,N",,,,,,,,
"US1FLMN0006","CUDJOE KEY 0.9 SSW, FL US","24.659425","-81.506312","4.9","2019",,,,,,,,,,,,,"3.56"," ,N,1223, ",,,,,"42.26"," ,N",,,,,,,,
"USW00003855","PENSACOLA FOREST SHERMAN NAS, FL US","30.35","-87.31667","8.5","2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLBV0001","PALM BAY 2.6 SSE, FL US","27.951176","-80.64202","11.9","2019",,,,,,,,,,,,,"3.59"," ,N,0128, ",,,,,"67.82"," ,N",,,,,,,,
"US1FLBV0002","PALM SHORES 1.4 W, FL US","28.18825","-80.680461","11.9","2019",,,,,,,,,,,,,"3.62"," ,N,0727, ",,,,,"56.05"," ,N",,,,,,,,
"US1FLOK0002","EGLIN AFB 5.6 NE, FL US","30.52436","-86.49238","18.9","2019",,,,,,,,,,,,,"4.49"," ,N,0809, ",,,,,"64.48"," ,N",,,,,,,,
"USC00089401","WAUCHULA, FL US","27.5477","-81.7994","18.3","2019",,,,,,,,,,,,,"2.50"," ,7,1021, ",,,,,"46.02"," ,7",,,,,,,,
"US1FLBV0005","PALM BAY 3.1 NNW, FL US","28.023488","-80.688135","11.9","2019",,,,,,,,,,,,,"3.20"," ,N,0128, ",,,,,"63.13"," ,N",,,,,,,,
"US1FLHB0001","PLANT CITY 6.5 NW, FL US","28.066173","-82.209836","39.3","2019",,,,,,,,,,,,,,,,,,,"66.10"," ,N",,,,,,,,
"USW00012897","NAPLES MUNICIPAL AIRPORT, FL US","26.155","-81.7752","2.7","2019","4743",,"        0",,"         0","W","44","W,0129,+","0"," ,W,1231,+","0.0"," ,W,1231,+","2.41"," ,W,0510, ","98","W,0626, ","151","1","44.92"," ,W","0.0"," ,W","77.7","W","85.9","W","69.5","W"
"US1FLHB0005","CITRUS PARK 1.3 ENE, FL US","28.08232","-82.549328","15.5","2019",,,,,,,,,,,,,"2.44"," ,N,1223,+",,,,,"63.42"," ,N",,,,,,,,
"USW00012896","MARATHON AIRPORT, FL US","24.72583","-81.05167","2.4","2019","6109",,"        0",,,,"53","W,0121, ","0"," ,W,1231,+",,,"2.68"," ,W,1223, ","98","W,0608, ","19","7","33.78"," ,W",,,"81.7","W","87.2","W","76.2","W"
"USW00012895","FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US","27.49806","-80.37667","7.3","2019","3772",,"        0",,,,"38","W,0121, ","0"," ,W,1231,+",,,"3.64"," ,W,1212, ","97","W,0621, ","309","7","49.25"," ,W",,,"74.6","W","83.7","W","65.5","W"
"USW00012894","FORT MYERS SW FLORIDA REGIONAL AIRPORT, FL US","26.53611","-81.755","9.4","2019","4365",,"        0",,,,"40","W,0121, ","0"," ,W,1231,+",,,"4.60"," ,W,0127, ","99","W,0626, ","231","6","57.36"," ,W",,,"76.6","W","85.7","W","67.5","W"
"US1FLHB0004","VALRICO 2.2 SE, FL US","27.9125","-82.2261","32.9","2019",,,,,"         0","N",,,,,"0.0"," ,N,1231,+","4.03"," ,N,0722, ",,,,,"68.07"," ,N","0.0"," ,N",,,,,,
