"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00096087","MOULTRIE 2 ESE, GA US","31.1769","-83.7491","103.6","2019","2681",,"        0",,"         0","7","28","7,0129, ","0"," ,7,1231,+","0.0"," ,7,1231,+","3.78"," ,7,0326, ","99","7,0604,+","1516","2","41.91"," ,7","0.0"," ,7","68.4","7","78.9","7","57.9","7"
"US1GAFT0037","ATLANTA 3.2 S, GA US","33.7171497","-84.4210735","317.0","2019",,,,,,,,,,,,,"3.70"," ,N,0419, ",,,,,"45.42"," ,N",,,,,,,,
"USR0000GBYR","BYROMVILLE GEORGIA, GA US","32.2033","-83.9319","152.4","2019","2793",,,,,,"25","U,0130, ",,,,,,,"103","U,0917, ","1746","8",,,,,"68.0","U","79.5","U","56.4","U"
"USC00095314","LOUISVILLE 1 E, GA US","33.0125","-82.3914","98.1","2019","2346",,"        0",,"         0","7","20","7,0130, ","0"," ,7,1231,+","0.0"," ,7,1231,+","4.12"," ,7,1116, ","99","7,1005,+","2350","8","56.91"," ,7","0.0"," ,7","65.3","7","77.2","7","53.3","7"
"US1GACK0011","ATHENS 7.6 SE, GA US","33.8625","-83.308889","208.2","2019",,,,,,,,,,,,,,,,,,,"38.35"," ,N",,,,,,,,
"USC00091500","CAMILLA 3 SE, GA US","31.1902","-84.2036","53.3","2019","2715",,"        0",,"         0","7","24","7,1219, ","0"," ,7,1231,+","0.0"," ,7,1231,+","2.24"," ,7,0629, ","99","7,0918, ","1618","1","42.98"," ,7","0.0"," ,7","68.1","7","79.2","7","57.1","7"
"USC00091863","CHATSWORTH 2, GA US","34.7582","-84.7642","216.4","2019","1888",,"        0",,"         0","7","17","7,0122,+","0"," ,7,1231,+","0.0"," ,7,1231,+","2.75"," ,7,0120, ","99","7,0814, ","3149","3","68.65"," ,7","0.0"," ,7","61.9","7","73.6","7","50.3","7"
"US1GACK0010","ATHENS 4.5 SE, GA US","33.90551","-83.344778","224.0","2019",,,,,,,,,,,,,"4.51"," ,N,0609, ",,,,,"51.91"," ,N",,,,,,,,
"USC00091982","CLAYTON 1 SSW, GA US","34.8879","-83.3966","598.9","2019","1322",,"        0",,"         0","7","17","7,0122,+","0"," ,7,1231,+","0.0"," ,7,1231,+",,,"92","7,0913,+","3520","5",,,"0.0"," ,7","59.4","7","70.0","7","48.8","7"
"USC00092159","COLUMBUS NUMBER 2, GA US","32.5181","-84.9378","132.6","2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1GABB0016","MACON 6.3 E, GA US","32.838347","-83.548249","133.2","2019",,,,,,,,,,,,,"2.00"," ,N,1213,+",,,,,"48.94"," ,N",,,,,,,,
"US1GAHL0010","FLOWERY BRANCH 3.9 NE, GA US","34.21807","-83.866425","366.1","2019",,,,,,,,,,,,,"2.80"," ,N,0420, ",,,,,"54.15"," ,N",,,,,,,,
"USW00003820","AUGUSTA BUSH FIELD AIRPORT, GA US","33.3644","-81.9633","40.2","2019","2744",,"        0",,"         0","W","23","W,0130,+","0"," ,W,1231,+","0.0"," ,W,1231,+","3.20"," ,W,0823, ","101","W,1004,+","1973","1","50.89"," ,W","0.0"," ,W","67.2","W","79.9","W","54.6","W"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.20237","14.0","2019","3117",,"        0",,"         0","W","29","W,0131,+","0"," ,W,1231,+","0.0"," ,W,1231,+","4.53"," ,W,0611, ","102","W,0526, ","1403","4","51.38"," ,W","0.0"," ,W","69.8","W","80.3","W","59.3","W"
"USC00097600","ROME, GA US","34.2413","-85.1584","208.8","2019","1993",,"        0",,"         0","7","18","7,1114, ","0"," ,7,1231,+","0.0"," ,7,1231,+","3.28"," ,7,1026, ","98","7,1003,+","3199","4","60.38"," ,7","0.0"," ,7","62.2","7","74.3","7","50.1","7"
"US1GACG0011","SUMMERVILLE 9.4 ENE, GA US","34.53944444","-85.20083333","251.2","2019",,,,,,,,,,,,,"3.91"," ,N,1026, ",,,,,"66.17"," ,N",,,,,,,,
"USC00092966","EASTMAN 1 W, GA US","32.2003","-83.2058","121.9","2019","2659",,"        0",,"         0","7","26","7,0129, ","0"," ,7,1231,+","0.0"," ,7,1231,+","4.15"," ,7,1019, ","99","7,0927,+","1745","2","47.48"," ,7","0.0"," ,7","67.9","7","78.9","7","56.8","7"
"USC00092844","DUBLIN 2, GA US","32.5574","-82.8999","61.0","2019","2569",,"        0",,"         0","7","24","7,0131, ","0"," ,7,1231,+","0.0"," ,7,1231,+","2.24"," ,7,1223, ","103","7,0909, ","2063","2","45.80"," ,7","0.0"," ,7","66.5","7","79.2","7","53.8","7"
"USC00095666","MCDONOUGH 5 ENE, GA US","33.47686","-84.03358","215.8","2019",,,"        0",,"         0","7",,,"0"," ,7,1231,+","0.9"," ,7,1108, ","3.63"," ,7,0609, ",,,,,"47.49"," ,7","0.9"," ,7",,,,,,
"USR0000GWAY","WAYCROSS GEORGIA, GA US","31.11","-82.26","38.1","2019","3068",,,,,,"28","U,0131, ",,,,,,,"102","U,0527, ","1321","1",,,,,"69.9","U","80.7","U","59.0","U"
