"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00097171","PRIDGEN, GA US","31.6953","-82.9239","91.4","2008","2109",,"        0",,"         0","0","20","0,0104, ","0"," ,0,1231,+","0.0"," ,0,1231,+","4.65"," ,0,1025, ","97","0,0807, ","1839","8","53.30"," ,0","0.0"," ,0","65.2","0","76.8","0","53.6","0"
"USC00096087","MOULTRIE 2 ESE, GA US","31.1769","-83.7491","103.6","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","3.45"," ,0,0823, ","98","0,0810,+",,,"53.40"," ,0","0.0"," ,0",,,"77.7","0",,
"USC00095394","LUMPKIN 2 SE, GA US","32.0306","-84.7754","147.8","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00092839","DUBLIN, GA US","32.5575","-82.9036","70.1","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","3.72"," ,0,1211, ",,,,,"37.53"," ,0","0.0"," ,0",,,,,,
"USC00096244","NASHVILLE 4 N, GA US","31.2644","-83.2391","77.7","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+",,,,,,,"41.89"," ,0","0.0"," ,0",,,,,,
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","33.35528","-84.56694","243.2","2008","1584",,,,,,"14","W,0121, ",,,,,"2.17"," ,W,1210, ","97","W,0609,+","2877","4","41.19"," ,W",,,"61.0","W","73.3","W","48.6","W"
"USR0000GBYR","BYROMVILLE GEORGIA, GA US","32.2033","-83.9319","152.4","2008","2163",,,,,,"18","U,0104, ",,,,,,,"99","U,0806,+","2022","2",,,,,"65.0","U","76.6","U","53.3","U"
"USC00094862","KITE, GA US","32.7127","-82.5415","94.8","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+",,,,,,,,,"0.0"," ,0",,,,,,
"USC00098703","TIFTON, GA US","31.4461","-83.4767","115.8","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00095314","LOUISVILLE 1 E, GA US","33.0125","-82.3914","98.1","2008","2126",,"        0",,"         0","0","16","0,0104, ","0"," ,0,1231,+","0.0"," ,0,1231,+","3.31"," ,0,1211, ","104","0,0807, ","2055","7","42.13"," ,0","0.0"," ,0","64.3","0","77.5","0","51.2","0"
"USW00063856","BRUNSWICK 23 S, GA US","30.8078","-81.4596","7.6","2008",,,,,,,,,,,,,,,,,"1345","5",,,,,,,,,,
"USC00091500","CAMILLA 3 SE, GA US","31.1902","-84.2036","53.3","2008",,,,,,,,,,,,,,,,,"1661","9",,,,,,,,,,
"USC00091863","CHATSWORTH 2, GA US","34.7582","-84.7642","216.4","2008","1509",,"        0",,"         0","0","12","0,0121, ","0"," ,0,1231,+","0.5"," ,0,0117, ","2.33"," ,0,1210, ","98","0,0722, ","3143","1","48.30"," ,0","0.5"," ,0","59.5","0","71.5","0","47.4","0"
"USC00092799","DOVER, GA US","32.5997","-81.7078","31.4","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+",,,,,,,,,"0.0"," ,0",,,,,,
"USC00091982","CLAYTON 1 SSW, GA US","34.8879","-83.3966","598.9","2008","881",,"        0",,"         2","0","13","0,1223,+","0","T,0,0226,+","4.0"," ,0,0116, ","4.45"," ,0,0827, ","93","0,0807,+","3681","9","56.89"," ,0","5.3"," ,0","56.0","0","68.6","0","43.5","0"
"USC00092159","COLUMBUS NUMBER 2, GA US","32.5181","-84.9378","132.6","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","3.35"," ,0,1210, ",,,"2134","8","48.02"," ,0","0.0"," ,0",,,,,,
"USC00091463","CAIRO, GA US","30.8696","-84.2174","61.3","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00091585","CANTON, GA US","34.2071","-84.5039","345.9","2008",,,"        2",,"         0","0",,,"2"," ,0,0119,+","0.0"," ,0,1231,+","4.25"," ,0,0826, ",,,,,"50.13"," ,0","0.0"," ,0",,,,,,
"USC00091340","BRUNSWICK, GA US","31.1681","-81.5022","4.0","2008","2751",,"        0",,"         0","0","26","0,0103, ","0"," ,0,1231,+","0.0"," ,0,1231,+","3.05"," ,0,1024, ","100","0,0806,+","1191","6","40.95"," ,0","0.0"," ,0","68.8","0","78.4","0","59.2","0"
"USC00092153","COLQUITT 2 W, GA US","31.16806","-84.76639","46.6","2008",,,,,"         0","0",,,,,"0.0"," ,0,1231,+",,,,,,,"57.59"," ,0","0.0"," ,0",,,,,,
"USC00099186","WAYCROSS 4 NE, GA US","31.2514","-82.3128","44.2","2008","2470",,"        0",,"         0","0","22","0,1119,+","0"," ,0,1231,+","0.0"," ,0,1231,+","2.72"," ,0,0706, ","102","0,0807, ","1703","0","53.16"," ,0","0.0"," ,0","66.6","0","80.3","0","52.9","0"
"USC00094170","HAWKINSVILLE, GA US","32.2843","-83.4681","74.7","2008","2182",,"        0",,"         0","0","19","0,0105,+","0","T,0,1010, ","0.0"," ,0,1231,+","4.92"," ,0,1211, ","103","0,0722, ","2171","0","39.72"," ,0","0.0"," ,0","64.5","0","77.2","0","51.9","0"
"USW00003820","AUGUSTA BUSH FIELD AIRPORT, GA US","33.3644","-81.9633","40.2","2008","2087",,"        0",,"         0","0","16","0,0104,+","0"," ,0,1231,+","0.0","T,0,0116, ","3.33"," ,0,1114, ","103","0,0721, ","2198","2","43.75"," ,0","0.0","T,0","64.2","0","77.2","0","51.1","0"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","32.13133","-81.20237","14.0","2008","2533",,"        0",,"         0","0","23","0,0104, ","0"," ,0,1231,+","0.0","T,0,0730,+","3.61"," ,0,1024, ","102","0,0806, ","1544","9","47.30"," ,0","0.0","T,0","67.2","0","77.8","0","56.6","0"
"USC00099502","WOODBINE, GA US","30.9591","-81.7071","4.9","2008","1852",,"        0",,"         0","0","21","0,0104, ","0"," ,0,1231,+","0.0"," ,0,1231,+","3.14"," ,0,0706, ","96","0,0809, ","1814","8","50.88"," ,0","0.0"," ,0","64.7","0","76.5","0","52.8","0"
"USC00097201","PRESTON, GA US","32.0547","-84.5239","123.4","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","5.49"," ,0,1211, ",,,,,"56.44"," ,0","0.0"," ,0",,,,,,
"USC00098535","TALBOTTON, GA US","32.6864","-84.5207","189.0","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+",,,,,,,,,"0.0"," ,0",,,,,,
"USC00097600","ROME, GA US","34.2413","-85.1584","208.8","2008","1762",,"        0",,"         0","0","16","0,0104, ","0"," ,0,1231,+","0.0"," ,0,1231,+","2.49"," ,0,0826, ","99","0,0722, ","2729","0","46.28"," ,0","0.0"," ,0","61.8","0","73.3","0","50.3","0"
"USR0000GMET","METTER GEORGIA, GA US","32.3911","-82.0372","30.2","2008","2496",,,,,,"20","U,0104, ",,,,,,,"104","U,0806, ","1752","6",,,,,"66.5","U","78.1","U","55.0","U"
"USC00092966","EASTMAN 1 W, GA US","32.2003","-83.2058","121.9","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+",,,,,,,,,"0.0"," ,0",,,,,,
