"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","3.11"," ,0,1211, ",,,,,"61.35"," ,0","0.0"," ,0",,,,,,
"USC00518422","PUUKOHOLA HEIAU 98.1, HI US","20.0256","-155.822","40.5","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+",,,,,,,,,"0.0"," ,0",,,,,,
"USC00518543","PUUNENE 396, HI US","20.8571","-156.4313","70.1","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","3.77"," ,0,1211, ",,,,,"7.78"," ,0","0.0"," ,0",,,,,,
"USC00517457","PAHOA 65, HI US","19.515","-154.9645","184.4","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+",,,,,,,,,"0.0"," ,0",,,,,,
"USR0000HPAL","PALI 2 HAWAII, HI US","19.3175","-155.2922","847.3","2008","687",,,,,,"50","U,0220, ",,,,,,,"85","U,1009,+","291","5",,,,,"66.0","U","73.4","U","58.6","U"
"USC00510140","ALEXANDER RESV 983, HI US","21.96","-159.53194","490.7","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+",,,,,,,,,"0.0"," ,0",,,,,,
"USC00513099","KANALOHULUHULU 1075, HI US","22.1297","-159.6586","1097.3","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","9.50"," ,0,1213, ",,,,,"56.48"," ,0","0.0"," ,0",,,,,,
"USC00512558","KAHOOLAWE 499.6, HI US","20.55694","-156.575","365.8","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+",,,,,"0","2",,,"0.0"," ,0",,,,,,
"USC00512679","KAILUA 446, HI US","20.8905","-156.2127","213.4","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+",,,,,,,"85.77"," ,0","0.0"," ,0",,,,,,
"USC00519629","WAIMEA 947, HI US","21.9591","-159.6759","6.1","2008","3233",,"        0",,"         0","0","48","0,0223, ","0"," ,0,1231,+","0.0"," ,0,1231,+","11.07"," ,0,1216, ","88","0,0827,+","1","5","22.94"," ,0","0.0"," ,0","74.1","0","82.9","0","65.3","0"
"USC00517209","PAAUHAU MAUKA 217.2, HI US","20.0699","-155.4444","341.4","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+",,,,,,,,,"0.0"," ,0",,,,,,
"USR0000HMLK","MOLOKAI 1 HAWAII, HI US","21.115","-156.9475","833.0","2008","1170",,,,,,"52","U,0226, ",,,,,,,"84","U,1103, ","118","5",,,,,"67.9","U","75.3","U","60.5","U"
