"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00518386","PUUKAPU HOMESTEAD 192.9, HI US","20.0375","-155.6347","916.2","2020",,,,,,,,,"2.60"," ,7,0211, ",,,,,"52.73"," ,7",,,,,,,,
"USC00516122","MANOA 712.1, HI US","21.3113","-157.8157","73.2","2020",,,,,,,,,"2.00"," ,7,0104, ",,,,,"55.85"," ,7",,,,,,,,
"USR0000HSCO","SCHOFIELD BARRACKS HAWAII, HI US","21.495","-158.0819","298.7","2020","2603",,,,"54","U,0128,+",,,,,"88","U,1001,+","1","8",,,,,"72.1","U","79.6","U","64.7","U"
"USC00519315","WAIHEE VLY 482, HI US","20.9414","-156.5248","103.6","2020",,,,,,,,,,,,,,,"36.33"," ,7",,,,,,,,
"US1HIHI0012","NAALEHU 5.7 W, HI US","19.073249","-155.663229","678.8","2020",,,,,,,,,"3.20"," ,N,0318, ",,,,,"63.48"," ,N",,,,,,,,
"USR0000HPAL","PALI 2 HAWAII, HI US","19.3175","-155.2922","847.3","2020","1325",,,,"51","U,0208, ",,,,,"87","U,0824, ","115","8",,,,,"68.3","U","75.6","U","61.0","U"
"USC00513376","KAPUA 2.36, HI US","19.1445","-155.8494","533.4","2020",,,,,,,,,"2.97"," ,7,0112, ",,,,,"40.15"," ,7",,,,,,,,
"USW00022551","EWA KALAELOA AIRPORT, HI US","21.31667","-158.06667","16.5","2020",,,,,,,,,,,,,,,,,,,,,,,,
"USR0000HLAN","LANAI 1 HAWAII, HI US","20.8733","-157.0064","387.1","2020","2807",,,,"58","U,0210, ",,,,,"84","U,0930, ","4","2",,,,,"72.6","U","77.4","U","67.9","U"
"US1HIHI0055","KURTISTOWN 6.6 SSE, HI US","19.5021","-155.029","339.9","2020",,,,,,,,,"8.92"," ,N,0303, ",,,,,"181.43"," ,N",,,,,,,,
"US1HIHI0050","PAAUILO 2.4 SW, HI US","20.019048","-155.398803","613.0","2020",,,,,,,,,"6.31"," ,N,0112, ",,,,,"84.32"," ,N",,,,,,,,
"US1HIHI0051","PAHOA 2.7 SSE, HI US","19.465433","-154.927051","259.4","2020",,,,,,,,,"5.70"," ,N,0405, ",,,,,"139.61"," ,N",,,,,,,,
"USC00510211","BERETANIA PUMP STATION 705, HI US","21.3061","-157.853","6.1","2020",,,,,,,,,"1.94"," ,7,0317, ",,,,,"21.30"," ,7",,,,,,,,
"USC00517724","PAPAIKOU MAUKA NUMBER 2 140.4, HI US","19.7923","-155.1142","207.3","2020",,,,,,,,,"5.48"," ,7,1126, ",,,,,"149.59"," ,7",,,,,,,,
"USC00517209","PAAUHAU MAUKA 217.2, HI US","20.0699","-155.4444","341.4","2020",,,,,,,,,,,,,,,"61.11"," ,7",,,,,,,,
"USR0000HMLK","MOLOKAI 1 HAWAII, HI US","21.115","-156.9475","833.0","2020","1343",,,,"51","U,0210, ",,,,,"86","U,0927, ","122","0",,,,,"68.3","U","74.8","U","61.8","U"
"USC00516395","MOANALUA 770, HI US","21.3479","-157.891","9.8","2020",,,,,,,,,,,,,,,"27.88"," ,7",,,,,,,,
"USC00516198","MAUNA LOA SLOPE OBS 39, HI US","19.5362","-155.5767","3398.5","2020",,,,,,,,,,,,,,,"15.34"," ,7",,,,,,,,
