"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00108395","SHOUP, ID US","45.3768","-114.2774","1036.3","2008","435",,,,"        16","0","-11","0,0124,+",,,"7.4"," ,0,0120, ","2.08"," ,0,0120, ","98","0,0628, ","6967","6","12.02"," ,0","48.9"," ,0","46.3","0","59.1","0","33.6","0"
"USC00109000","TAYLOR RANCH, ID US","45.1017","-114.8508","1168.9","2008",,,,,,,,,,,,,,,,,"7819","2",,,,,,,,,,
"USR0000IPOB","POTTER BUTTE IDAHO, ID US","43.2261","-113.5744","1502.7","2008","538",,,,,,"-7","U,1226,+",,,,,,,"99","U,0703, ","8314","9",,,,,"44.3","U","56.9","U","31.6","U"
"USR0000ITWI","TWIN BUTTES IDAHO, ID US","42.6906","-115.1953","1021.1","2008","1196",,,,,,"0","U,0123, ",,,,,,,"106","U,0629, ","5985","2",,,,,"52.4","U","64.2","U","40.5","U"
"USW00004126","ARCO 17 SW, ID US","43.4621","-113.556","1804.4","2008","365",,,,,,"-8","R,0122, ",,,,,"1.25"," ,R,0203, ","92","R,0720, ","9249","1","16.64"," ,R",,,"41.2","R","51.8","R","30.6","R"
"USW00004127","MURPHY 10 W, ID US","43.2044","-116.7505","1204.0","2008","425",,,,,,"-4","R,1217, ",,,,,"0.46"," ,R,1225, ","98","R,0703, ","6920","7","7.76"," ,R",,,"47.7","R","60.9","R","34.5","R"
"USC00103143","FENN RANGER STATION, ID US","46.093","-115.5355","475.5","2008","384",,"       80",,"        26","0","7","0,1217,+","19"," ,0,1228, ","11.1"," ,0,0109, ","2.30"," ,0,1113, ","100","0,0819,+","6581","0","43.44"," ,0","82.6"," ,0","47.9","0","58.9","0","36.9","0"
"USS0015D06S","MOUNTAIN MEADOWS, ID US","45.7","-115.23","1938.5","2008","0",,"      244",,,,"-23","T,0121, ","92"," ,T,0410,+",,,"1.40"," ,T,0611, ","87","T,0629, ","10364","9","54.44"," ,T",,,"36.5","T","50.9","T","22.1","T"
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","2008","613",,,,"         6","0","-2","0,0125,+",,,"7.0"," ,0,1222, ",,,"101","0,0701, ","5963","7","7.98"," ,0","21.7"," ,0","50.3","0","64.5","0","36.2","0"
"USC00103932","HAGERMAN 2 SW, ID US","42.8114","-114.9239","883.0","2008","727",,,,,,"-4","0,1217, ",,,,,,,"106","0,0703, ","6095","0",,,,,"50.3","0","64.8","0","35.7","0"
"USC00105678","MASSACRE ROCKS STATE PARK, ID US","42.668","-112.998","1278.6","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USR0000IARC","ARCO IDAHO, ID US","43.6231","-113.3872","1639.8","2008","279",,,,,,"-22","U,1223, ",,,,,,,"97","U,0824,+","9385","8",,,,,"40.5","U","56.9","U","24.0","U"
"USC00101079","BONNERS FERRY, ID US","48.6928","-116.3104","609.9","2008",,,,,,,,,,,,,,,,,,,,,"105.2"," ,0",,,,,,
"USS0016G01S","SOUTH MOUNTAIN, ID US","42.76","-116.9","1981.2","2008","261",,"      174",,,,"5","T,0122, ","61"," ,T,0203, ",,,"1.40"," ,T,0108, ","87","T,0629, ","7665","6","35.87"," ,T",,,"45.2","T","53.7","T","36.7","T"
"USC00102845","DWORSHAK FISH HATCHERY, ID US","46.5023","-116.3216","303.3","2008","464",,"       27",,"        10","0","-1","0,0124, ","12"," ,0,1227, ","4.0"," ,0,1227,+","1.10"," ,0,0821, ","105","0,0818, ","5907","7","22.59"," ,0","21.9"," ,0","49.9","0","61.6","0","38.2","0"
"USC00100667","BAYVIEW MODEL BASIN, ID US","47.9804","-116.5594","636.1","2008",,,"       13",,"         9","0",,,"23"," ,0,1227, ","15.5"," ,0,1218, ","0.73"," ,0,0921, ","99","0,0818, ",,,"19.11"," ,0","50.2"," ,0",,,"56.1","0",,
"USC00101514","CASCADE 1 NW, ID US","44.5228","-116.0481","1492.3","2008","59",,"      140",,"        38","0","-21","0,0122, ","50"," ,0,0203,+","10.0"," ,0,1219, ","0.76"," ,0,0105, ","94","0,0704, ","8874","2","20.13"," ,0","136.3"," ,0","40.3","0","54.5","0","26.1","0"
