"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00114710","KEWANEE 1 E, IL US","41.2429","-89.8997","237.7","2008","578",,"       68",,"        17","0","-14","0,0125, ","7"," ,0,0204, ","5.4"," ,0,0204, ","3.97"," ,0,0913, ","90","0,0805, ","6922","4","48.57"," ,0","47.5"," ,0","47.0","0","57.3","0","36.6","0"
"USC00114833","LAKE SPRINGFIELD, IL US","39.7578","-89.6044","177.1","2008",,,,,,,,,,,,,"2.12"," ,0,0108, ",,,,,"47.81"," ,0",,,,,,,,
"US1ILLK0008","GURNEE 2.5 NE, IL US","42.397161","-87.896173","214.9","2008",,,,,"        26","N",,,,,"12.8"," ,N,0322, ","2.90"," ,N,0905, ",,,,,"43.66"," ,N","94.0"," ,N",,,,,,
"USC00118634","TRIMBLE 1 E, IL US","39.0598","-87.6625","149.4","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00110356","AVON, IL US","40.6632","-90.4447","195.1","2008",,,,,"        16","0",,,,,"3.3"," ,0,0201, ","1.84"," ,0,0914, ",,,,,"41.32"," ,0","30.7"," ,0",,,,,,
"USC00110598","BENTLEY, IL US","40.3444","-91.1124","198.1","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00115927","MOUNT PULASKI, IL US","40.0076","-89.2832","201.5","2008",,,"       22",,"         9","0",,,"8"," ,0,0201, ","7.5"," ,0,0201, ","4.01"," ,0,0712, ",,,,,"52.03"," ,0","25.1"," ,0",,,,,,
"US1ILLK0003","BEACH PARK 1.4 W, IL US","42.428369","-87.883776","217.9","2008",,,,,"        29","N",,,,,"13.4"," ,N,0322, ","2.98"," ,N,0905, ",,,,,"44.59"," ,N","101.8"," ,N",,,,,,
"USC00111447","CHATSWORTH, IL US","40.75003","-88.28644","219.5","2008",,,"       38",,"        14","0",,,"8"," ,0,0202, ","5.0"," ,0,0201,+","4.00"," ,0,0108, ",,,,,"47.50"," ,0","34.4"," ,0",,,,,,
"USC00114957","LAWRENCEVILLE 2 WSW, IL US","38.7239","-87.7196","137.5","2008",,,"       12",,"         4","0",,,"2"," ,0,0227, ","2.0"," ,0,0227, ",,,,,,,,,"11.1"," ,0",,,,,,
