"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1INBN0014","WHITESTOWN 0.7 SSW, IN US","39.986","-86.3518","287.1","2007",,,,,"        10","N",,,,,"10.2"," ,N,0214, ","2.10"," ,N,0315, ",,,,,"40.94"," ,N","41.3"," ,N",,,,,,
"US1INBN0010","LEBANON 4.5 NNE, IN US","40.115207","-86.455075","284.1","2007",,,,,"        11","N",,,,,"13.2"," ,N,0214, ","2.26"," ,N,0323, ",,,,,"37.92"," ,N","43.2"," ,N",,,,,,
"USW00014848","SOUTH BEND AIRPORT, IN US","41.7072","-86.3163","235.6","2007","983",,"       69",,"        24","0","-8","0,0205, ","11"," ,0,0131, ","8.0"," ,0,0130, ","2.48"," ,0,0425, ","95","0,0709,+","6035","6","40.33"," ,0","79.7"," ,0","51.1","0","60.3","0","41.8","0"
"USC00128442","STENDAL, IN US","38.26714","-87.14299","198.1","2007","1958",,"        4",,"         1","0","2","0,0205, ","1"," ,0,1216,+","1.0"," ,0,0217, ","1.46"," ,0,0115, ","103","0,0817,+","4127","9","43.26"," ,0","4.1"," ,0","58.8","0","69.1","0","48.6","0"
"USC00126023","MUNCIE, IN US","40.1825","-85.3497","294.4","2007",,,,,"        10","0",,,,,"12.0"," ,0,0214, ","3.13"," ,0,0323, ",,,,,"44.85"," ,0","41.4"," ,0",,,,,,
"USC00125174","LOWELL, IN US","41.2647","-87.4178","202.7","2007","899",,"       41",,"         9","0","-15","0,0209,+","15"," ,0,0215, ","10.0"," ,0,0214, ","2.75"," ,0,0807, ","93","0,0617, ","6239","3","45.20"," ,0","38.0"," ,0","50.1","0","60.6","0","39.6","0"
"US1INLP0007","LA PORTE 1.6 SW, IN US","41.5904","-86.7343","253.9","2007",,,,,"        18","N",,,,,"9.2"," ,N,0214, ","2.82"," ,N,0820, ",,,,,"46.42"," ,N","77.4"," ,N",,,,,,
"US1INHM0005","CARMEL 1.5 W, IN US","39.968514","-86.136939","256.9","2007",,,,,"         9","N",,,,,"7.0"," ,N,1216,+","2.40"," ,N,0315, ",,,,,"40.15"," ,N","37.0"," ,N",,,,,,
"USC00120830","BLUFFTON 6 N, IN US","40.8143","-85.1546","262.4","2007","1080",,"       49",,"        10","0","-8","0,0215,+","8"," ,0,0217,+","7.0"," ,0,0214, ","3.35"," ,0,0821, ","94","0,0809,+","5960","4","42.63"," ,0","26.0"," ,0","51.5","0","61.8","0","41.2","0"
"USC00123547","GREENSBURG, IN US","39.3475","-85.4891","285.6","2007","1374",,,,"        10","0","-3","0,0205, ",,,"6.0"," ,0,0207, ","3.42"," ,0,0629, ","98","0,0830, ","5083","8","41.61"," ,0","23.4"," ,0","54.6","0","64.9","0","44.2","0"
"US1INNW0001","MOUNT AYR 1.6 NNE, IN US","40.973306","-87.290494","206.0","2007",,,,,"         8","N",,,,,"6.0"," ,N,0214, ","2.87"," ,N,0821, ",,,,,"38.15"," ,N","29.6"," ,N",,,,,,
"US1INBN0001","LEBANON 3.9 WSW, IN US","40.035","-86.544736","285.9","2007",,,,,"        10","N",,,,,"8.0"," ,N,0214, ","1.82"," ,N,0323, ",,,,,"40.56"," ,N","37.5"," ,N",,,,,,
"US1INMN0003","ELLETTSVILLE 2.7 NE, IN US","39.261861","-86.593625","233.2","2007",,,,,,,,,,,,,,,,,,,"41.95"," ,N",,,,,,,,
"USC00126801","PENCE 1 SW, IN US","40.3522","-87.525","213.4","2007",,,,,"         6","0",,,,,"5.0"," ,0,0214,+","2.30"," ,0,1122, ",,,,,"34.01"," ,0","19.7"," ,0",,,,,,
