"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00135650","MONTEZUMA 1 W, IA US","41.58354","-92.54939","289.6","2009",,,"       58",,"        15","0",,,"13"," ,0,1212,+","8.0"," ,0,1209, ","4.06"," ,0,1221, ",,,,,"52.39"," ,0","40.5"," ,0",,,,,,
"USC00134561","LAKE PARK, IA US","43.4483","-95.3247","446.5","2009","740",,"       77",,"        15","0","-24","0,0115, ","29"," ,0,1231,+","12.0"," ,0,1226, ","1.80"," ,0,1002, ","100","0,0623, ","7829","5","27.78"," ,0","50.0"," ,0","45.3","0","56.2","0","34.4","0"
"USC00133473","GRINNELL 3 SW, IA US","41.72","-92.749","275.8","2009","387",,"       58",,"        15","0","-32","0,0116, ","16"," ,0,1210, ","12.0"," ,0,1209, ","4.18"," ,0,0827, ","92","0,0624,+","7369","8","44.52"," ,0","47.1"," ,0","46.0","0","56.6","0","35.3","0"
"USC00138009","STRAWBERRY POINT, IA US","42.6853","-91.533","365.8","2009",,,"       74",,"        14","0",,,"13"," ,0,0121,+","14.0"," ,0,1209, ","3.39"," ,0,0427, ",,,,,"43.85"," ,0","51.4"," ,0",,,,,,
"USC00138806","WEBSTER CITY, IA US","42.4685","-93.7974","326.7","2009","428",,"       56",,"        11","0","-28","0,0116, ","14"," ,0,1225, ","9.0"," ,0,1209, ","2.01"," ,0,0527, ","93","0,0624, ","7385","8","36.31"," ,0","32.7"," ,0","46.0","0","57.2","0","34.7","0"
"USC00133239","GILMAN, IA US","41.878","-92.7786","312.4","2009",,,,,"        14","0",,,,,"8.0"," ,0,1209, ","3.20"," ,0,0827, ",,,,,"44.70"," ,0","37.0"," ,0",,,,,,
"USC00130999","BUCKEYE, IA US","42.4172","-93.3775","350.5","2009",,,,,"         7","0",,,,,"4.0"," ,0,0114, ","2.64"," ,0,0527, ",,,,,"35.41"," ,0","18.5"," ,0",,,,,,
"USW00014972","SPENCER MUNICIPAL AIRPORT, IA US","43.16444","-95.20167","407.8","2009","392",,,,,,"-26","W,0116,+",,,,,"2.04"," ,W,0523, ","95","W,0622, ","7924","4","24.03"," ,W",,,"44.4","W","55.6","W","33.2","W"
"USC00130753","BLOOMFIELD, IA US","40.7392","-92.4142","261.5","2009","541",,,,"        11","0","-15","0,0116,+",,,"3.5"," ,0,1209, ","3.00"," ,0,0704, ","94","0,0625,+","6329","0","53.39"," ,0","19.9"," ,0","48.9","0","58.9","0","38.9","0"
"USC00131962","CRESTON 2 SW, IA US","41.0372","-94.3936","395.0","2009",,,,,"        10","0",,,,,"12.0"," ,0,1209, ",,,,,,,,,"44.5"," ,0",,,,,,
"USC00136190","OCHEYEDAN, IA US","43.4144","-95.5313","381.0","2009",,,,,"        18","0",,,,,"19.5"," ,0,1223, ","2.14"," ,0,0710, ",,,,,"25.69"," ,0","58.0"," ,0",,,,,,
"USC00137161","ROCKWELL CITY, IA US","42.3969","-94.6291","370.0","2009","407",,"       78",,"        14","0","-25","0,0116,+","18"," ,0,0118,+","7.0"," ,0,1209, ","1.51"," ,0,1023, ","91","0,0624, ","7519","1","32.53"," ,0","32.9"," ,0","45.4","0","55.8","0","35.1","0"
"USC00133120","GARWIN, IA US","42.09022","-92.6703","285.9","2009",,,"       73",,"        14","0",,,"14"," ,0,1209, ","13.0"," ,0,1209, ","3.62"," ,0,0427, ",,,,,"46.15"," ,0","46.2"," ,0",,,,,,
"USC00136199","OELWEIN 1 E, IA US","42.6801","-91.8751","355.1","2009","313",,"       71",,"        13","0","-28","0,0116, ","12"," ,0,1213,+","11.0"," ,0,1209, ","4.18"," ,0,0427, ","93","0,0624, ","7995","8","37.76"," ,0","39.3"," ,0","44.1","0","54.0","0","34.4","0"
"USC00137844","SPENCER 1 N, IA US","43.1652","-95.1466","404.2","2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094991","LAMONI MUNICIPAL AIRPORT, IA US","40.6306","-93.9008","345.9","2009","617",,,,,,"-14","W,0115, ",,,,,"3.16"," ,W,0515, ","95","W,0623, ","6147","2","44.10"," ,W",,,"49.7","W","59.2","W","40.2","W"
"USC00133487","GRUNDY CENTER, IA US","42.3647","-92.7594","300.2","2009","393",,"       72",,"        13","0","-31","0,0116, ","16"," ,0,1223,+","9.0"," ,0,1209, ","3.01"," ,0,0810, ","92","0,0624,+","7611","2","44.34"," ,0","45.2"," ,0","45.4","0","55.5","0","35.3","0"
"USC00136755","POPEJOY 1 S, IA US","42.5863","-93.4363","345.9","2009",,,,,"        10","0",,,,,"5.0"," ,0,1209, ","2.56"," ,0,0925, ",,,,,"33.40"," ,0","26.6"," ,0",,,,,,
"USC00137726","SIOUX RAPIDS, IA US","42.8928","-95.1469","392.6","2009","365",,"       65",,"        15","0","-26","0,0115, ","23"," ,0,1225, ","8.5"," ,0,1225, ","1.38"," ,0,0707, ","92","0,0623,+","7493","7","27.62"," ,0","48.6"," ,0","45.0","0","55.7","0","34.3","0"
"USC00133007","FORT MADISON, IA US","40.6222","-91.334","161.5","2009","866",,"       36",,"        11","0","-14","0,0115, ","6"," ,0,1227, ","4.0"," ,0,1227,+","2.28"," ,0,1022, ","97","0,0627, ","5781","8","51.35"," ,0","27.0"," ,0","51.7","0","60.5","0","42.9","0"
"USC00130745","BLOCKTON 1 W, IA US","40.6188","-94.505","362.7","2009",,,,,"        11","0",,,,,"11.5"," ,0,1209, ","2.82"," ,0,0427, ",,,,,"42.26"," ,0","38.4"," ,0",,,,,,
"USC00131833","CORNING, IA US","40.98833","-94.75889","362.7","2009",,,,,"        10","0",,,,,"15.0"," ,0,1209, ","1.80"," ,0,0427, ","95","0,0624, ",,,"33.55"," ,0","48.3"," ,0",,,"58.3","0",,
"USC00131954","CRESCO 1 NE, IA US","43.3894","-92.0938","382.5","2009","247",,"       72",,"        13","0","-31","0,0117, ","17"," ,0,1224, ","10.0"," ,0,1209, ","2.63"," ,0,0808, ","94","0,0624, ","8499","6","33.43"," ,0","40.7"," ,0","42.7","0","53.8","0","31.6","0"
"USC00131277","CASTANA EXPERIMENTAL FARM, IA US","42.0633","-95.8363","426.7","2009","475",,"       59",,"        12","0","-21","0,0115, ","22"," ,0,1231,+","10.2"," ,0,1225, ","2.33"," ,0,1023, ","91","0,0809,+","7147","8","32.94"," ,0","44.2"," ,0","46.4","0","56.6","0","36.1","0"
"USC00132364","DUBUQUE LOCK AND DAM 11, IA US","42.5399","-90.6461","189.0","2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,
