"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00146549","PRATT 3 NW, KS US","37.67313","-98.77621","591.9","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003957","MEDICINE LODGE 1 E, KS US","37.2839","-98.5528","467.9","2008","1563",,"        4",,"         2","0","2","0,0201, ","3"," ,0,0131, ","3.0"," ,0,0131, ","4.01"," ,0,0708, ","105","0,0804, ","4480","9","36.75"," ,0","5.3"," ,0","56.9","0","69.4","0","44.3","0"
"USC00146305","PECK 4 SSW, KS US","37.42191","-97.39936","375.5","2008",,,"       16",,"         4","0",,,"7"," ,0,0201,+","6.8"," ,0,0131, ","4.20"," ,0,0527, ",,,,,"51.41"," ,0","15.5"," ,0",,,,,,
"USC00143037","GENESEO, KS US","38.5376","-98.161","533.4","2008",,,"       25",,"         5","0",,,"5"," ,0,0224, ","4.6"," ,0,0224, ","2.12"," ,0,0627, ",,,,,"32.89"," ,0","15.2"," ,0",,,,,,
"USC00145335","MILTONVALE, KS US","39.3505","-97.4547","430.4","2008",,,,,"         4","0",,,,,"4.0"," ,0,1216, ","2.71"," ,0,0912, ",,,,,"30.34"," ,0","14.2"," ,0",,,,,,
"USC00146787","REXFORD, KS US","39.46756","-100.74347","900.4","2008",,,"        0",,"         7","0",,,"0","T,0,1204, ","4.0"," ,0,0411, ","2.55"," ,0,0524, ",,,,,"26.14"," ,0","16.0"," ,0",,,,,,
"USC00143156","GOODLAND 23 SW, KS US","39.1305","-102.0259","1185.7","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00145210","MELVERN LAKE, KS US","38.50388","-95.70368","333.5","2008",,,,,"         0","0",,,,,"0.2"," ,0,1216, ","3.25"," ,0,0913, ",,,,,"40.19"," ,0","0.3"," ,0",,,,,,
"USC00145692","NESS CITY, KS US","38.4538","-99.89462","691.6","2008","1188",,,,"         5","0","-3","0,0118, ",,,"2.0"," ,0,1128,+","2.36"," ,0,0507, ","105","0,0805, ","5602","0","22.30"," ,0","9.8"," ,0","52.9","0","67.7","0","38.2","0"
"USC00148964","WINFIELD 3 NE, KS US","37.28851","-96.94076","375.8","2008","1195",,"       13",,"         6","0","1","0,0125,+","6"," ,0,0201, ","5.1"," ,0,0201, ","2.36"," ,0,1014, ","101","0,0805, ","4898","3","44.74"," ,0","13.0"," ,0","54.6","0","66.0","0","43.1","0"
