"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1KYCH0009","OAK GROVE 4.6 NW, KY US","36.71632","-87.48404","188.4","2019",,,,,,,,,,,,,"2.11"," ,N,0212, ",,,,,"58.10"," ,N",,,,,,,,
"USC00154449","KNOB LICK 4 S, KY US","37.0245","-85.6987","310.9","2019",,,"        1",,,,,,"1"," ,7,1112, ",,,,,,,,,,,,,,,,,,
"US1KYLW0003","RIBOLT 3.0 S, KY US","38.527222","-83.516297","242.6","2019",,,,,,,,,,,,,"2.60"," ,N,0620, ",,,,,"61.96"," ,N",,,,,,,,
"USC00151576","CLAY CITY 1 WNW, KY US","37.8616","-83.9229","192.0","2019",,,"        8",,"         5","7",,,"1"," ,7,1113,+","1.0"," ,7,1112,+","2.94"," ,7,1230, ",,,,,"69.00"," ,7","5.4"," ,7",,,,,,
"USC00154208","JAMESTOWN, KY US","37.0055","-85.0616","271.3","2019","1321",,,,,,"8","7,0121, ",,,,,,,"95","7,0911, ","4268","2",,,,,"57.0","7","68.2","7","45.9","7"
"USC00154848","GREENUP LOCKS AND DAM, KY US","38.64812","-82.86115","160.9","2019",,,"        0",,"         0","7",,,"0","T,7,1113,+","0.0","T,7,1113,+","2.03"," ,7,1007, ",,,,,"36.14"," ,7","0.0","T,7",,,,,,
"US1KYBA0003","KEVIL 4.6 NW, KY US","37.134625","-88.940872","108.8","2019",,,,,,,,,,,,,"3.66"," ,N,0503, ",,,,,"67.26"," ,N",,,,,,,,
"USC00153994","HOPKINSVILLE, KY US","36.84888","-87.52083","158.5","2019","1757",,,,,,"9","7,1113, ",,,,,"2.28"," ,7,0223, ","96","7,0916,+","3872","3","55.27"," ,7",,,"59.5","7","69.5","7","49.5","7"
"USC00156624","QUICKSAND, KY US","37.53351","-83.34887","227.1","2019",,,,,,,,,,,,,,,"95","7,0914,+",,,,,,,,,"67.3","7",,
"US1KYAL0004","SCOTTSVILLE 9.2 ESE, KY US","36.7207","-86.0349","231.6","2019",,,,,,,,,,,,,"2.82"," ,N,1007, ",,,,,"65.94"," ,N",,,,,,,,
"USC00152548","ELKTON, KY US","36.8077","-87.153","188.7","2019",,,,,,,,,,,,,"3.26"," ,7,0224, ",,,,,"55.73"," ,7",,,,,,,,
"USR0000KSOM","SOMERSET KENTUCKY, KY US","37.0556","-84.615","282.5","2019",,,,,,,"10","U,0121, ",,,,,,,"98","U,0910, ",,,,,,,"59.0","U","69.7","U","48.4","U"
"USC00156988","ROUGH RIVER LAKE, KY US","37.6177","-86.5044","170.7","2019","1579",,"        1",,"         1","7","4","7,0121, ","1"," ,7,1112, ","1.0"," ,7,1112, ","3.29"," ,7,1007, ","100","7,0917,+","4434","6","69.73"," ,7","1.0"," ,7","57.2","7","69.8","7","44.7","7"
