"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00167924","ROBSON, LA US","32.3555","-93.6425","48.8","2007","2606",,"        0",,"         0","0","21","0,0216, ","0"," ,0,1231,+","0.0"," ,0,1231,+","3.88"," ,0,0516, ","103","0,0815, ","2210","9","52.97"," ,0","0.0"," ,0","65.9","0","77.1","0","54.8","0"
"USC00164931","KORAN, LA US","32.4169","-93.4428","53.3","2007",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0","T,0,0202, ","3.86"," ,0,0114, ",,,,,"47.46"," ,0","0.0","T,0",,,,,,
"USC00164775","KAPLAN, LA US","29.9941","-92.2825","4.6","2007",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","3.35"," ,0,0426, ",,,,,"57.21"," ,0","0.0"," ,0",,,,,,
"USC00166314","MONROE DELTA CC, LA US","32.4935","-92.0319","21.3","2007",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","2.16"," ,0,0707, ",,,,,"38.78"," ,0","0.0"," ,0",,,,,,
"USC00161941","COLFAX, LA US","31.5183","-92.7142","33.5","2007",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0","T,0,0408,+","2.70"," ,0,0914, ",,,,,"48.09"," ,0","0.0","T,0",,,,,,
"USC00167767","RESERVE, LA US","30.0563","-90.5802","4.6","2007",,,,,,,,,,,,,,,,,"1478","4",,,,,,,,,,
"USC00166836","OAKDALE, LA US","30.8213","-92.6697","33.5","2007",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+",,,,,,,,,"0.0"," ,0",,,,,,
"USC00164131","HAYNESVILLE, LA US","32.9683","-93.1297","92.4","2007",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0","T,0,0328,+",,,,,,,,,"0.0","T,0",,,,,,
"USC00165065","LAKE ARTHUR 7 SW, LA US","30.0206","-92.7681","3.4","2007",,,,,,,,,,,,,,,,,"1314","1",,,,,,,,,,
"USC00166394","MORGAN CITY, LA US","29.6833","-91.1761","1.5","2007","2894",,"        0",,"         0","0","31","0,0216, ","0"," ,0,1231,+","0.0"," ,0,1231,+","2.77"," ,0,1023, ","101","0,0813,+","1376","7","50.84"," ,0","0.0"," ,0","69.3","0","78.0","0","60.7","0"
