"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00170814","BRASSUA DAM, ME US","45.6602","-69.8119","325.8","2009","124",,"      140",,"        20","0","-35","0,0127, ","43"," ,0,0224, ","12.8"," ,0,0223, ","3.51"," ,0,1115, ","86","0,0819, ","9643","3","46.31"," ,0","80.4"," ,0","38.6","0","49.2","0","28.1","0"
"USC00171628","CORINNA, ME US","44.9197","-69.2416","90.5","2009",,,"      107",,"        15"," ",,,"31"," ,0,0223, ","8.2"," , ,0119, ","2.51"," ,0,0620, ",,,,,"45.74"," ,0","68.7"," , ",,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","44.19236","-69.14678","110.0","2009","297",,,,"        16","0","-16","0,0125,+",,,"10.0"," ,0,0223,+","3.70"," ,0,0620, ","93","0,0819, ","7575","2","77.13"," ,0","70.2"," ,0","44.6","0","53.2","0","36.0","0"
"USC00170217","ANDOVER 2, ME US","44.65279","-70.79293","246.0","2009",,,"      132",,"        25","0",,,"55"," ,0,0129, ","13.0"," ,0,0129,+","2.70"," ,0,1004, ",,,,,"59.63"," ,0","100.6"," ,0",,,,,,
"USC00179151","WATERVILLE TREATMENT PLANT, ME US","44.52735","-69.65378","18.9","2009","268",,"      102",,"        15","0","-22","0,0116, ","22"," ,0,0223, ","12.5"," ,0,0223, ","2.67"," ,0,1115, ","91","0,0819, ","7861","3","48.74"," ,0","69.9"," ,0","44.1","0","54.3","0","33.8","0"
"USC00172878","FORT KENT, ME US","47.2386","-68.61195","185.9","2009","120",,"      128",,"        24","0","-40","0,0117,+","34"," ,0,0220, ","11.0"," ,0,1223, ","2.00"," ,0,0730, ","88","0,0819,+","10163","0","45.56"," ,0","107.1"," ,0","37.3","0","47.8","0","26.7","0"
"USW00014606","BANGOR INTERNATIONAL AIRPORT, ME US","44.7978","-68.8185","45.1","2009","240",,"      105",,"        22","0","-26","0,0126, ","26"," ,0,0224,+","12.0"," ,0,0223, ","4.21"," ,0,0619, ","92","0,0818, ","8070","5","44.76"," ,0","85.0"," ,0","43.3","0","53.6","0","33.0","0"
"USW00014607","CARIBOU WEATHER FORECAST OFFICE, ME US","46.8705","-68.0173","190.2","2009","148",,"      121",,"        24","0","-37","0,0116, ","27"," ,0,0221,+","10.0"," ,0,0223, ","1.19"," ,0,0718, ","89","0,0521, ","9472","4","38.94"," ,0","102.2"," ,0","39.4","0","49.0","0","29.8","0"
"USW00014609","HOULTON AIRPORT, ME US","46.1185","-67.7928","145.1","2009","160",,,,,,"-36","0,0126,+",,,,,"2.26"," ,0,1115, ","89","0,0818,+","9307","4","40.68"," ,0",,,"39.6","0","50.6","0","28.6","0"
"USC00173046","GARDINER, ME US","44.2202","-69.789","40.5","2009","229",,"      110",,"        16","0","-22","0,0117,+","30"," ,0,0224,+","13.0"," ,0,0119, ","3.90"," ,0,1115, ","91","0,0819, ","7787","3","56.61"," ,0","80.2"," ,0","43.5","0","53.9","0","33.1","0"
