"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00185111","LAUREL 3 W, MD US","39.0847","-76.9002","121.9","2009","1238",,,,,,"4","0,0118,+",,,,,,,"95","0,0810, ","4551","4",,,,,"56.0","0","64.5","0","47.6","0"
"USC00182282","CUMBERLAND 2, MD US","39.6419","-78.7561","222.5","2009",,,"       36",,"        10","0",,,"14"," ,0,1220, ","8.5"," ,0,1220, ","1.95"," ,0,1209, ","96","0,0428, ",,,"39.07"," ,0","35.2"," ,0",,,"65.6","0",,
"USC00186800","OXON HILL, MD US","38.7955","-76.99481","57.9","2009","1261",,"       14",,"         4","0","7","0,0118,+","17"," ,0,1220, ","17.0"," ,0,1220, ",,,"95","0,0811, ","4482","9",,,"29.9"," ,0","56.2","0","65.4","0","47.0","0"
"USW00003757","ST INIGOES WEBSTER NAVAL OUTLYING FIELD, MD US","38.14167","-76.42917","6.4","2009","1439",,,,,,"7","W,0117, ",,,,,"3.44"," ,W,1112, ","103","W,0620, ","3966","2","57.19"," ,W",,,"58.2","W","66.8","W","49.5","W"
"US1MDCR0005","TANEYTOWN 4.1 NE, MD US","39.694167","-77.111667","169.8","2009",,,,,,,,,,,,,"1.55"," ,N,0421, ",,,,,"45.59"," ,N",,,,,,,,
"US1MDBL0015","JACKSONVILLE 1.0 SW, MD US","39.5113","-76.5743","153.0","2009",,,,,,,,,,,,,"2.96"," ,N,0912, ",,,,,"58.85"," ,N",,,,,,,,
"US1MDMG0029","CLARKSBURG 2.1 NE, MD US","39.249314","-77.243724","207.9","2009",,,"       28",,"        11","N",,,"24"," ,N,1220, ","14.8"," ,N,1220, ","2.75"," ,N,0822, ",,,,,"51.64"," ,N","50.5"," ,N",,,,,,
"USC00182325","DALECARLIA RESERVOIR, MD US","38.9385","-77.1134","45.7","2009","1232",,"        7",,"         4","0","5","0,0118,+","6"," ,0,0302, ","6.0"," ,0,0302, ","3.70"," ,0,0801, ","96","0,0811, ","4697","6","59.49"," ,0","10.9"," ,0","55.5","0","65.0","0","46.0","0"
"USC00183415","FROSTBURG 2, MD US","39.65971","-78.93601","661.4","2009","257",,"       64",,"        16","0","-9","0,0117, ","12"," ,0,1220, ","7.5"," ,0,1220, ","2.15"," ,0,1209, ","88","0,0428, ","6741","8","43.95"," ,0","51.8"," ,0","47.4","0","56.4","0","38.4","0"
"USC00188065","SAVAGE RIVER DAM, MD US","39.5099","-79.1401","455.7","2009","305",,,,,,"-10","0,0118, ",,,,,"2.37"," ,0,0618, ","89","0,0428, ","6162","6","40.68"," ,0",,,"48.7","0","57.9","0","39.5","0"
"US1MDPG0008","CAMP SPRINGS 0.1 ESE, MD US","38.802784","-76.918511","79.9","2009",,,,,"         5","N",,,,,"10.4"," ,N,1220, ","3.17"," ,N,0823, ",,,,,"60.81"," ,N","32.8"," ,N",,,,,,
"US1MDAA0004","SEVERN 2.0 W, MD US","39.1321","-76.728","68.3","2009",,,,,,,,,,,,,"3.11"," ,N,0526, ",,,,,"56.98"," ,N",,,,,,,,
"US1MDAL0003","CUMBERLAND 1.2 SE, MD US","39.638224","-78.748827","245.1","2009",,,,,,,,,,,,,"2.08"," ,N,1209, ",,,,,"41.76"," ,N",,,,,,,,
"US1MDAL0002","CRESAPTOWN BEL AIR 0.9 SSE, MD US","39.576776","-78.849789","230.1","2009",,,,,,,,,,,,,"2.34"," ,N,0618, ",,,,,"41.89"," ,N",,,,,,,,
"USC00181750","CHESTERTOWN, MD US","39.2166","-76.0519","12.2","2009",,,"       15",,"         6","0","5","0,0117, ","16"," ,0,1219, ","6.0"," ,0,0302, ","2.70"," ,0,0911, ","95","0,0810, ",,,"49.91"," ,0","15.5"," ,0","55.0","0","63.4","0","46.7","0"
"US1MDWC0002","SALISBURY 2.5 WSW, MD US","38.3599","-75.6333","11.9","2009",,,,,,,,,,,,,"2.81"," ,N,0803, ",,,,,"48.68"," ,N",,,,,,,,
"USW00093706","HAGERSTOWN REGIONAL AIRPORT, MD US","39.7062","-77.7304","214.9","2009","1278",,,,,,"2","W,0117, ",,,,,"1.47"," ,W,1209, ","96","W,0809,+","4938","4","34.01"," ,W",,,"55.7","W","64.5","W","46.9","W"
"USC00180700","BELTSVILLE, MD US","39.0302","-76.9315","44.2","2009","1109",,"       16",,"         6","0","3","0,0118,+","18"," ,0,1220, ","10.0"," ,0,1220, ","4.27"," ,0,0526, ","93","0,0819,+","4767","3","52.97"," ,0","28.8"," ,0","55.0","0","64.3","0","45.8","0"
"US1MDHR0004","HAVRE DE GRACE 4.0 WNW, MD US","39.57215","-76.16578","125.0","2009",,,,,,,,,,,,,"3.46"," ,N,0912, ",,,,,"59.13"," ,N",,,,,,,,
"USW00093784","MARYLAND SCIENCE CENTER, MD US","39.2814","-76.6111","6.1","2009","1506",,,,,,"8","0,0117, ",,,,,"2.28"," ,0,0723, ","97","0,0810, ","4258","8","52.86"," ,0",,,"57.8","0","65.2","0","50.4","0"
