"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00190666","BIRCH HILL DAM, MA US","42.6324","-72.1227","260.6","2008",,,,,,,,,,,,,,,,,"7542","3",,,,,,,,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","42.19083","-71.17361","15.2","2008","486",,,,,,"2","W,1223, ",,,,,"2.71"," ,W,0213, ","97","W,0610, ","6286","1","50.56"," ,W",,,"49.1","W","60.4","W","37.9","W"
"USC00194580","MAYNARD 2, MA US","42.4293","-71.4425","62.5","2008","540",,"       72",,"        16","0","-3","0,0104, ","14"," ,0,1224,+","9.0"," ,0,0223, ","5.18"," ,0,0907, ","99","0,0611, ","6473","0","72.79"," ,0","61.4"," ,0","48.8","0","59.5","0","38.1","0"
"USC00196486","PLYMOUTH KINGSTON, MA US","41.982","-70.696","13.7","2008","540",,"       11",,"         8","0","6","0,0104, ","8"," ,0,1221,+","6.0"," ,0,0128, ","3.39"," ,0,0906, ","97","0,0610, ","5468","8","63.63"," ,0","26.0"," ,0","49.9","0","61.8","0","38.0","0"
"USW00014775","WESTFIELD BARNES MUNICIPAL AIRPORT, MA US","42.15778","-72.71611","82.6","2008","555",,,,,,"-11","W,0104, ",,,,,"4.51"," ,W,0906, ","102","W,0610, ","6410","1","59.67"," ,W",,,"48.7","W","59.4","W","38.0","W"
"USC00194105","LAWRENCE, MA US","42.6993","-71.1659","15.2","2008",,,,,"        10","0",,,,,"10.0"," ,0,1222, ",,,,,,,,,"46.5"," ,0",,,,,,
"USR0000MCAP","CAPE COD MASSACHUSETTS, MA US","41.975","-70.0253","45.7","2008","630",,,,,,"11","U,1231, ",,,,,,,"93","U,0608, ","5438","1",,,,,"51.6","U","58.7","U","44.5","U"
"USC00194502","MARBLEHEAD, MA US","42.5007","-70.8644","25.6","2008","551",,"       24",,"         9","0","-1","0,0104, ","11"," ,0,1220, ","11.0"," ,0,1220, ","3.20"," ,0,0927, ","94","0,0720, ","5577","4","58.26"," ,0","39.5"," ,0","50.7","0","58.6","0","42.8","0"
"USC00194744","MIDDLETON, MA US","42.5934","-71.0187","33.5","2008","713",,,,"        14","0","1","0,0104, ",,,"11.2"," ,0,0114, ","3.30"," ,0,0724, ","95","0,0611, ","5583","6","58.83"," ,0","57.7"," ,0","51.3","0","61.3","0","41.3","0"
"USC00190860","BROCKTON, MA US","42.04756","-71.00819","22.9","2008","561",,"       17",,,,"4","0,0104,+","11"," ,0,1220, ",,,"3.10"," ,0,0213, ","97","0,0610, ","5884","1","54.53"," ,0",,,"50.1","0","59.9","0","40.2","0"
"USW00054756","ORANGE MUNICIPAL AIRPORT, MA US","42.57","-72.29111","169.2","2008","443",,,,,,"-13","W,0104, ",,,,,"3.89"," ,W,0906, ","97","W,0610, ","7058","2","56.82"," ,W",,,"46.7","W","57.8","W","35.6","W"
"USC00193624","HINGHAM, MA US","42.2269","-70.9125","10.7","2008","689",,"       39",,"        12","0","4","0,0104, ","15"," ,0,1221, ","9.0"," ,0,1231,+","3.28"," ,0,0213, ","100","0,0610, ","5765","7","59.10"," ,0","53.3"," ,0","51.1","0","60.5","0","41.7","0"
"USC00193229","GREENFIELD NUMBER 3, MA US","42.5719","-72.5975","39.6","2008","345",,"      101",,"        16","0","-9","0,0229, ","16"," ,0,0302,+","6.5"," ,0,0223,+","3.51"," ,0,0907, ","95","0,0611, ",,,"61.41"," ,0","60.4"," ,0","47.0","0","58.8","0","35.3","0"
"USC00196938","ROCHESTER, MA US","41.7849","-70.9176","19.8","2008","667",,,,"        11","0","4","0,0103, ",,,"11.0"," ,0,1220, ","3.42"," ,0,1212, ","97","0,0610, ","5481","2","65.83"," ,0","30.6"," ,0","51.0","0","60.8","0","41.2","0"
"USC00193505","HAVERHILL, MA US","42.7594","-71.0602","6.1","2008","450",,,,,,"-1","0,0103, ",,,,,,,"93","0,0608,+",,,,,,,"48.0","0","58.5","0","37.4","0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2008","763",,,,"        12","0","7","0,0103, ",,,"8.9"," ,0,0222, ","2.66"," ,0,0213, ","95","0,0719,+","5434","0","54.51"," ,0","49.6"," ,0","52.0","0","59.3","0","44.7","0"
"USC00190190","ASHBURNHAM, MA US","42.6178","-71.9159","337.7","2008","356",,"      111",,"        24","0","-1","0,0104,+","21"," ,0,1222, ","8.2"," ,0,1222, ","3.80"," ,0,0907, ","94","0,0611, ",,,"62.56"," ,0","83.3"," ,0","46.6","0","55.7","0","37.6","0"
"USC00195285","NEWBURYPORT, MA US","42.83203","-70.91518","16.8","2008",,,"       62",,"        19","0",,,"19"," ,0,1222, ","10.0"," ,0,1222, ","3.86"," ,0,0907, ",,,,,"63.23"," ,0","64.7"," ,0",,,,,,
