"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00201802","CORNELL 5 SE, MI US","45.8269","-87.1589","242.0","2009","153",,"       95",,"        12","0","-14","0,0128, ","16"," ,0,0123, ","5.0"," ,0,1209, ","1.60"," ,0,1007, ","93","0,0625, ","8687","3","23.76"," ,0","36.2"," ,0","41.5","0","52.3","0","30.7","0"
"USC00203429","GREENVILLE 2 NNE, MI US","43.2025","-85.2422","268.8","2009","277",,"       76",,"        21","0","-15","0,0115, ","11"," ,0,0131,+","5.2"," ,0,0221, ","2.38"," ,0,0426, ","96","0,0624, ","7599","9","37.57"," ,0","71.5"," ,0","44.9","0","56.8","0","33.1","0"
"USC00200718","BERGLAND DAM, MI US","46.5869","-89.5475","396.2","2009",,,,,"        55","0",,,,,"12.6"," ,0,1210, ",,,,,,,,,"182.8"," ,0",,,,,,
"USC00200032","ADRIAN 2 NNE, MI US","41.9163","-84.0158","231.6","2009","364",,"       48",,"         8","0","-16","0,0117, ","9"," ,0,0131,+","4.5"," ,0,0110, ","2.00"," ,0,0828, ","92","0,0816,+","6680","3","38.98"," ,0","24.7"," ,0","47.0","0","56.8","0","37.2","0"
"USC00201486","CHATHAM EXPERIMENT FARM 2, MI US","46.3414","-86.9242","265.2","2009","114",,"      121",,"        49","0","-26","0,0126, ","30"," ,0,0304,+","22.0"," ,0,0223, ","2.35"," ,0,1007, ","91","0,0624, ","9387","3","34.68"," ,0","167.4"," ,0","39.5","0","50.5","0","28.6","0"
"USC00203306","GRAND LEDGE 1 NW, MI US","42.7631","-84.7622","243.8","2009",,,"       71",,"        18","0",,,"12"," ,0,0130, ","4.0"," ,0,0111, ","1.77"," ,0,0809, ",,,,,"37.51"," ,0","43.2"," ,0",,,,,,
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","2009",,,,,"        39","0",,,,,"10.0"," ,0,0110, ",,,,,"6115","0",,,"118.0"," ,0",,,,,,
"USC00205603","MORENCI, MI US","41.7216","-84.2147","234.7","2009","414",,"       50",,"        12","0","-18","0,0117, ","11"," ,0,0131,+","6.0"," ,0,0110, ","2.67"," ,0,0311, ","95","0,0817,+",,,"36.72"," ,0","31.8"," ,0","47.4","0","58.6","0","36.2","0"
"US1MIAP0001","ALPENA 1.6 SSW, MI US","45.051565","-83.44876","178.9","2009",,,,,,,,,,,,,,,,,,,"31.21"," ,N",,,,,,,,
"USC00208443","VASSAR, MI US","43.3656","-83.5828","192.0","2009","255",,"       75",,"        15","0","-20","0,0205,+","13"," ,0,0119, ","6.2"," ,0,0118, ","1.83"," ,0,0428, ","93","0,0625, ","7584","2","32.95"," ,0","42.2"," ,0","45.3","0","56.3","0","34.2","0"
