"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00218247","THIEF RIVER FALLS 2, MN US","48.1328","-96.182","343.8","2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00212142","DETROIT LAKES 1 NNE, MN US","46.8373","-95.8375","413.0","2007",,,,,"        13","0","-28","0,0205, ",,,"6.0"," ,0,0225, ","2.50"," ,0,0523, ",,,,,"29.33"," ,0","45.0"," ,0",,,,,"32.0","0"
"USC00211174","BYRON 4NORTH, MN US","44.0909","-92.64","317.3","2007",,,"       90",,"        11","0",,,"19"," ,0,0302, ","10.4"," ,0,0302, ","2.30"," ,0,0907, ",,,,,"44.59"," ,0","49.1"," ,0",,,,,,
"USC00210075","ALBERT LEA 3 SE, MN US","43.6064","-93.3019","374.9","2007","720",,"       97",,"        19","0","-16","0,0209,+","20"," ,0,0302, ","12.0"," ,0,0302, ","3.15"," ,0,0819, ","94","0,0709, ","7664","6","41.78"," ,0","63.1"," ,0","45.5","0","55.2","0","35.8","0"
"USC00215400","MILAN 1 NW, MN US","45.1219","-95.9269","310.9","2007","912",,"       82",,"        15","0","-20","0,0210, ","19"," ,0,0303, ","8.0"," ,0,0225, ","3.53"," ,0,0920, ","99","0,0707, ","7450","9","28.46"," ,0","48.8"," ,0","46.5","0","58.0","0","35.0","0"
"USC00216612","POKEGAMA DAM, MN US","47.2508","-93.5861","390.1","2007",,,,,,,,,,,,,"2.02"," ,0,0907, ",,,,,"27.67"," ,0",,,,,,,,
"USC00217149","ROTHSAY, MN US","46.4808","-96.2869","367.0","2007",,,,,"        15","0","-24","0,0210,+",,,"7.0"," ,0,1202, ","3.27"," ,0,0523, ","95","0,0903,+",,,"25.00"," ,0","45.1"," ,0","41.9","0","52.2","0","31.6","0"
"USC00217941","SPRING VALLEY, MN US","43.6933","-92.3926","388.6","2007",,,"       97",,"        17","0",,,"23"," ,0,0303, ","6.0"," ,0,0302, ","5.55"," ,0,0819, ",,,,,"38.42"," ,0","47.2"," ,0",,,,,,
"USC00212015","DALTON 3 S, MN US","46.125","-95.90889","402.3","2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00213104","GEORGETOWN 1 E, MN US","47.0792","-96.7758","269.7","2007",,,,,"        15","0","-28","0,0207, ",,,"5.6"," ,0,0404, ","1.63"," ,0,0616, ","98","0,0707, ",,,"26.20"," ,0","49.8"," ,0","42.7","0","53.2","0","32.2","0"
"USC00215887","NEW ULM 2 SE, MN US","44.3006","-94.4896","271.3","2007","835",,"       91",,"        13","0","-17","0,0208, ","14"," ,0,0303,+","6.5"," ,0,0301, ","5.42"," ,0,0819, ","96","0,0707, ","7344","9","31.72"," ,0","42.2"," ,0","46.5","0","56.2","0","36.9","0"
"USC00214438","LAKE CITY, MN US","44.4363","-92.2793","213.4","2007",,,"       91",,"        15","0",,,"17"," ,0,0303, ","7.1"," ,0,0303, ","2.43"," ,0,0819, ",,,,,"42.07"," ,0","42.9"," ,0",,,,,,
"USC00218254","THORHULT, MN US","48.2109","-95.2475","377.0","2007",,,,,,,"-40","0,0205, ",,,,,,,,,,,,,,,,,,,"28.7","0"
"USW00094992","GRAND MARAIS, MN US","47.74722","-90.34444","185.9","2007","51",,,,,,"-20","W,0204, ",,,,,"2.31"," ,W,1018, ","89","W,0704, ","8844","6","31.56"," ,W",,,"39.8","W","47.6","W","31.9","W"
"USC00211063","BROWNS VALLEY, MN US","45.59595","-96.82841","298.1","2007",,,"       88",,"        12","0",,,"19"," ,0,0303,+","7.0"," ,0,0301, ","4.18"," ,0,0602, ",,,,,"31.32"," ,0","41.3"," ,0",,,,,,
