"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00226308","NEWTON EXPERIMENTAL STATION, MS US","32.3377","-89.0816","106.4","2007","1876",,,,,,"14","0,0130,+",,,,,"2.65"," ,0,1221, ","104","0,0815, ",,,"33.71"," ,0",,,"62.7","0","77.7","0","47.7","0"
"USC00224001","HICKORY FLAT, MS US","34.6189","-89.1912","121.9","2007",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0","T,0,0202,+","7.40"," ,0,1023, ",,,,,"45.94"," ,0","0.0","T,0",,,,,,
"USC00228445","STONEVILLE EXPERIMENTAL STATION, MS US","33.4311","-90.9108","38.7","2007","2600",,,,,,"21","0,0216, ",,,,,"2.97"," ,0,0707, ","103","0,0816,+","2577","7","42.74"," ,0",,,"65.4","0","76.2","0","54.6","0"
"USC00228053","SHUBUTA, MS US","31.85971","-88.69532","59.4","2007",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","3.62"," ,0,1023, ",,,,,"40.52"," ,0","0.0"," ,0",,,,,,
"USC00220290","ASHLAND, MS US","34.8491","-89.1598","183.8","2007",,,"        1",,"         1","0",,,"1"," ,0,0202, ","1.2"," ,0,0202, ","4.16"," ,0,1023, ",,,,,"42.37"," ,0","1.5"," ,0",,,,,,
"USR0000MHCK","HANCOCK MISSISSIPPI, MS US","30.6153","-89.4133","82.3","2007","2700",,,,,,"23","U,0129, ",,,,,,,"106","U,0811, ","1610","6",,,,,"68.2","U","80.1","U","56.3","U"
"USC00225062","LEXINGTON 2 NNW, MS US","33.12278","-90.05167","86.9","2007",,,,,"         0","0",,,,,"0.0"," ,0,1231,+","3.84"," ,0,0707, ",,,,,"39.27"," ,0","0.0"," ,0",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","32.3205","-90.0777","100.6","2007","2569",,"        0",,"         0","Z","19","0,0216, ","0"," ,Z,1231,+","0.0","T,Z,0117, ","2.43"," ,0,0104, ","106","0,0814, ","2241","3","34.83"," ,0","0.0","T,Z","66.3","0","77.8","0","54.7","0"
"USC00223667","GULFPORT 3 NW, MS US","30.45417","-89.125","7.6","2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00223700","GUNTOWN, MS US","34.4887","-88.7019","131.1","2007",,,"        0",,"         0","0",,,"0","T,0,0118, ","0.0","T,0,1125,+","3.43"," ,0,1023, ",,,,,"40.10"," ,0","0.0","T,0",,,,,,
"USC00221489","CARTHAGE, MS US","32.7505","-89.5388","112.8","2007",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+",,,,,,,"27.14"," ,0","0.0"," ,0",,,,,,
"USC00221880","COLUMBUS, MS US","33.4677","-88.3847","44.2","2007","2372",,"        0",,"         0","0","16","0,0129, ","0"," ,0,1231,+","0.0"," ,0,1231,+","2.08"," ,0,0708, ","107","0,0816, ","2701","5","32.40"," ,0","0.0"," ,0","64.5","0","76.7","0","52.2","0"
"USW00013927","JACKSON HAWKINS FIELD, MS US","32.33667","-90.22139","104.2","2007","2727",,,,,,"20","0,0216,+",,,,,"2.91"," ,0,0104, ","105","0,0814, ","2104","7","33.91"," ,0",,,"67.0","0","77.7","0","56.4","0"
"USC00220792","BILOXI, MS US","30.393","-89.0008","3.0","2007",,,,,,,,,,,,,,,,,"1456","8",,,,,,,,,,
"USC00221804","COFFEEVILLE, MS US","33.9802","-89.6713","73.5","2007",,,"        0",,"         0","0",,,"0","T,0,0202, ","0.3"," ,0,0202, ","2.87"," ,0,0927, ",,,,,"44.84"," ,0","0.3"," ,0",,,,,,
"USC00226256","NEW ALBANY, MS US","34.4738","-89.0022","115.8","2007",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0","T,0,1228, ","2.36"," ,0,0104, ",,,,,"36.77"," ,0","0.0","T,0",,,,,,
