"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1MODG0010","DORA 2.6 NNW, MO US","36.811558","-92.235813","326.1","2009",,,,,,,,,,,,,"2.74"," ,N,1009, ",,,,,"51.92"," ,N",,,,,,,,
"USC00236468","PACIFIC, MO US","38.4858","-90.77","172.2","2009",,,"        4",,"         2","0",,,"6"," ,0,0128, ","5.0"," ,0,0128, ",,,,,,,"50.87"," ,0","6.3"," ,0",,,,,,
"USR0000MSIN","SINKIN MISSOURI, MO US","37.5014","-91.2594","406.3","2009","1033",,,,,,"-3","U,0116, ",,,,,,,"95","U,0627,+",,,,,,,"55.1","U","65.1","U","45.1","U"
"USC00238524","UNITY VILLAGE, MO US","38.9482","-94.397","287.1","2009",,,,,"         4","0",,,,,"5.0"," ,0,0329, ","2.38"," ,0,0427, ",,,,,"45.47"," ,0","16.6"," ,0",,,,,,
"USC00238523","UNIONVILLE, MO US","40.475","-93.0031","323.1","2009",,,"       29",,"        11","0",,,"10"," ,0,1209, ","6.3"," ,0,1209, ","2.36"," ,0,0827, ",,,,,"49.09"," ,0","32.1"," ,0",,,,,,
"USC00233079","FULTON, MO US","38.84838","-91.94196","234.7","2009","760",,"        7",,"         2","0","-4","0,0115, ","2"," ,0,1230,+","1.8"," ,0,1230, ","3.43"," ,0,0704, ","96","0,0628, ","4927","5","59.62"," ,0","7.4"," ,0","52.3","0","62.6","0","42.0","0"
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","39.2972","-94.7306","306.3","2009","1052",,"       19",,"         9","0","-6","0,0115, ","8"," ,0,1227, ","5.2"," ,0,0228, ","3.15"," ,0,0817, ","97","0,0808,+","5199","2","44.96"," ,0","23.8"," ,0","53.8","0","63.5","0","44.0","0"
"USR0000MCHI","CHILLICOTHE MISSOURI, MO US","39.7683","-93.485","237.7","2009","919",,,,,,"-8","U,0115, ",,,,,,,"97","U,0623, ","5464","4",,,,,"52.6","U","62.1","U","43.1","U"
"USW00003945","COLUMBIA SNOW, MO US","38.8169","-92.2183","272.2","2009","920",,"        9",,"         1","0","-4","0,0115, ","1"," ,0,1230,+","3.0"," ,0,1230, ","4.88"," ,0,1008, ","95","0,0627,+","5160","9","50.47"," ,0","6.2"," ,0","53.6","0","63.5","0","43.8","0"
"USC00235492","MEMPHIS, MO US","40.4575","-92.1822","234.7","2009","650",,"       26",,"        14","0","-12","0,0116, ","5"," ,0,1231,+","4.0"," ,0,0221, ","2.89"," ,0,1030, ","96","0,0624, ","6158","2","50.96"," ,0","25.2"," ,0","49.9","0","60.2","0","39.6","0"
