"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00247248","RUDYARD 21 N, MT US","48.8539","-110.5969","914.4","2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USR0000MFOR","FORT BELKNAP MONTANA, MT US","48.3042","-108.7189","812.3","2019","366",,,,,,"-28","U,0208, ",,,,,,,"98","U,0802, ","8389","8",,,,,"41.9","U","52.6","U","31.2","U"
"USS0010D12S","MONUMENT PEAK, MT US","45.22","-110.24","2697.5","2019","1",,"      262",,,,"-15","T,1029, ","75"," ,T,0228, ",,,"0.80"," ,T,1208,+","83","T,0723, ","11109","6","41.21"," ,T",,,"34.1","T","44.6","T","23.6","T"
"USC00246157","NORRIS MADISON POWER HOUSE, MT US","45.4875","-111.6336","1446.3","2019","429",,,,,,"-10","7,0304, ",,,,,"1.18"," ,7,0421, ","94","7,0904, ","6870","9","23.76"," ,7",,,"46.7","7","56.9","7","36.6","7"
"USC00247247","RUDYARD 19 S, MT US","48.2774","-110.6022","877.2","2019","149",,,,,,"-38","7,0207, ",,,,,"0.87"," ,7,0622, ","96","7,0803, ","8768","4","12.90"," ,7",,,"37.6","7","50.8","7","24.3","7"
"USR0000MFOH","FORT HOWES MONTANA, MT US","45.2969","-106.1614","1030.2","2019","467",,,,,,"-27","U,0304, ",,,,,,,"97","U,0904, ","7922","0",,,,,"43.4","U","56.3","U","30.6","U"
"USS0011E38S","BEAVER CREEK, MT US","44.95","-111.36","2392.7","2019","0",,"      251",,,,"-20","T,0101, ","73"," ,T,0228, ",,,"1.30"," ,T,0225, ","78","T,0723, ",,,"37.73"," ,T",,,"33.2","T","44.2","T","22.1","T"
"USS0012E07S","DIVIDE, MT US","44.79","-112.06","2377.4","2019","4",,"      240",,,,"-13","T,0101, ","45"," ,T,0313, ",,,"0.90"," ,T,0224, ","83","T,0722, ",,,"25.32"," ,T",,,"36.0","T","46.0","T","26.1","T"
"USS0010D13S","LICK CREEK, MT US","45.5","-110.97","2090.9","2019",,,"      228",,,,,,"46"," ,T,0228, ",,,"1.30"," ,T,0920, ",,,"10138","5","29.82"," ,T",,,,,,,,
"USR0000MFOU","FOUR MILE MONTANA, MT US","45.3333","-110.2167","1737.4","2019","128",,,,,,"-21","U,0304, ",,,,,,,"94","U,0904, ","8358","5",,,,,"41.7","U","53.0","U","30.4","U"
"US1MTGV0002","RYEGATE 0.3 E, MT US","46.298986","-109.247105","1112.2","2019",,,,,,,,,,,,,"1.75"," ,N,0921, ",,,,,"19.79"," ,N",,,,,,,,
"USS0009C01S","CRYSTAL LAKE, MT US","46.79","-109.51","1844.0","2019","25",,"      245",,,,"-31","T,0303, ","50"," ,T,0301, ",,,"1.40"," ,T,0920, ","86","T,0802,+","9929","2","41.51"," ,T",,,"37.4","T","48.2","T","26.6","T"
"USR0000MPAR","PARDEE MONTANA, MT US","47.2697","-114.9161","1414.3","2019","253",,,,,,"-6","U,0210, ",,,,,,,"92","U,0808,+","7834","0",,,,,"43.3","U","51.6","U","35.0","U"
"USS0011D28S","ALBRO LAKE, MT US","45.6","-111.96","2529.8","2019","1",,"      270",,,,"-12","T,0303, ","69"," ,T,0410, ",,,"1.20"," ,T,0607, ","77","T,0711, ","10752","4","40.72"," ,T",,,"35.1","T","44.3","T","25.9","T"
"USC00247263","RYEGATE 18 NNW, MT US","46.5333","-109.3441","1353.3","2019","127",,"       85",,"        34","7","-32","7,0303, ","10"," ,7,0304,+","6.5"," ,7,0226, ","1.10"," ,7,0921, ","92","7,0905, ","9131","0","19.30"," ,7","73.4"," ,7","39.8","7","52.9","7","26.8","7"
