"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00247248","RUDYARD 21 N, MT US","48.8539","-110.5969","914.4","2020","207",,,,,,"-34","7,0116, ",,,,,"0.90"," ,7,0907, ","101","7,0818, ",,,"10.04"," ,7",,,"41.8","7","55.7","7","27.8","7"
"USR0000MFOR","FORT BELKNAP MONTANA, MT US","48.3042","-108.7189","812.3","2020","477",,,,,,"-20","U,0115,+",,,,,,,"99","U,0817, ","7790","6",,,,,"46.1","U","57.4","U","34.8","U"
"USS0010D12S","MONUMENT PEAK, MT US","45.22","-110.24","2697.5","2020","6",,"      244",,,,"-18","T,1025, ","80"," ,T,0331, ",,,"1.20"," ,T,0523, ","85","T,0817, ","11107","7","40.11"," ,T",,,"36.2","T","47.6","T","24.9","T"
"USC00246157","NORRIS MADISON POWER HOUSE, MT US","45.4875","-111.6336","1446.3","2020","528",,"       60",,"        18","7","5","7,0211, ","8"," ,7,0203, ","7.0"," ,7,0412, ","1.25"," ,7,0616, ","97","7,0906,+","6447","9","15.07"," ,7","52.6"," ,7","49.6","7","60.1","7","39.1","7"
"USC00247247","RUDYARD 19 S, MT US","48.2774","-110.6022","877.2","2020","283",,,,,,"-24","7,0115, ",,,,,"0.80"," ,7,0920, ","101","7,0818, ","8877","7","8.40"," ,7",,,"42.6","7","57.0","7","28.2","7"
"USR0000MFOH","FORT HOWES MONTANA, MT US","45.2969","-106.1614","1030.2","2020","641",,,,,,"-13","U,1026, ",,,,,,,"104","U,0722, ","7532","4",,,,,"47.1","U","61.7","U","32.6","U"
"USS0011E38S","BEAVER CREEK, MT US","44.95","-111.36","2392.7","2020","0",,"      229",,,,"-12","T,0219, ","67"," ,T,0331, ",,,"1.10"," ,T,0628,+","82","T,0802, ","11540","4","34.12"," ,T",,,"34.4","T","46.3","T","22.4","T"
"USC00240739","BIDDLE, MT US","45.10074","-105.31856","1009.5","2020",,,,,,,,,,,,,"0.98"," ,7,0729, ",,,,,"8.75"," ,7",,,,,,,,
"USS0012E07S","DIVIDE, MT US","44.79","-112.06","2377.4","2020","18",,"      203",,,,"-5","T,1025, ","52"," ,T,0415, ",,,"2.50"," ,T,0616, ","86","T,0817, ","10576","6","24.12"," ,T",,,"37.4","T","47.8","T","26.9","T"
"USS0010D13S","LICK CREEK, MT US","45.5","-110.97","2090.9","2020",,,"      225",,,,,,"55"," ,T,0401, ",,,"1.00"," ,T,0523,+",,,,,"26.72"," ,T",,,,,,,,
"USR0000MFOU","FOUR MILE MONTANA, MT US","45.3333","-110.2167","1737.4","2020","263",,,,,,"-2","U,1025,+",,,,,,,"97","U,0817, ","7914","7",,,,,"45.3","U","57.5","U","33.0","U"
"US1MTGV0002","RYEGATE 0.3 E, MT US","46.298986","-109.247105","1112.2","2020",,,,,,,,,,,,,"1.73"," ,N,0629, ",,,,,"13.33"," ,N",,,,,,,,
"US1MTGV0008","JUDITH GAP 20.0 E, MT US","46.641699","-109.3367547","1579.5","2020",,,,,,,,,,,,,"0.80"," ,N,0411, ",,,,,"14.69"," ,N",,,,,,,,
"USS0009C01S","CRYSTAL LAKE, MT US","46.79","-109.51","1844.0","2020","45",,"      230",,,,"-5","T,0110, ","61"," ,T,0415, ",,,"2.20"," ,T,0506, ","86","T,0817, ","9673","7","38.34"," ,T",,,"40.0","T","51.4","T","28.6","T"
"USR0000MPAR","PARDEE MONTANA, MT US","47.2697","-114.9161","1414.3","2020","348",,,,,,"4","U,1025, ",,,,,,,"97","U,0816,+","7776","0",,,,,"45.4","U","54.0","U","36.8","U"
"USC00240743","BIDDLE 8 SW, MT US","45.0429","-105.4799","1106.7","2020","781",,,,,,"-9","7,0114, ",,,,,,,"104","7,0905, ","7143","5",,,,,"48.7","7","62.9","7","34.4","7"
"USS0011D28S","ALBRO LAKE, MT US","45.6","-111.96","2529.8","2020","9",,"      248",,,,"-10","T,1025, ","70"," ,T,0415, ",,,"1.40"," ,T,0907, ","80","T,0817, ","10836","2","32.09"," ,T",,,"36.7","T","46.3","T","27.1","T"
"USC00247263","RYEGATE 18 NNW, MT US","46.5333","-109.3441","1353.3","2020","241",,"       76",,"        36","7","-21","7,0116,+","12"," ,7,1019, ","8.5"," ,7,1019, ","1.35"," ,7,0629, ","96","7,0818, ","8509","4","15.67"," ,7","79.3"," ,7","43.5","7","57.5","7","29.5","7"
"USS0010C27S","ELK PEAK, MT US","46.48","-110.71","2316.5","2020","20",,"      229",,,,"-7","T,1025, ","77"," ,T,0411, ",,,"0.80"," ,T,0628, ","80","T,0817, ","10361","2","16.43"," ,T",,,"38.2","T","46.3","T","30.1","T"
