"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00265353","MONTELLO 7 NE, NV US","41.32372","-114.07256","1471.6","2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USR0000NBUF","BUFFALO CREEK NEVADA, NV US","40.5819","-119.79","851.6","2019","1000",,,,,,"11","U,1031, ",,,,,,,"100","U,0828, ","5145","1",,,,,"53.1","U","65.6","U","40.6","U"
"USC00268989","WELLS 7 NNE, NV US","41.18434","-114.88018","1777.3","2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00264935","MCDERMITT, NV US","41.9954","-117.7201","1350.3","2019","297",,"       29",,"        16","7","-10","7,1030, ","10"," ,7,1201,+","7.0"," ,7,1127, ","0.59"," ,7,0214, ","97","7,0806,+","6979","0","9.69"," ,7","39.1"," ,7","46.5","7","62.5","7","30.5","7"
"US1NVWH0100","RENO 22.2 NNE, NV US","39.829434","-119.644547","1306.7","2019",,,,,,,,,,,,,"0.60"," ,N,0117, ",,,,,"10.20"," ,N",,,,,,,,
"USC00264016","JACKPOT, NV US","41.9829","-114.6586","1595.0","2019","267",,,,,,"-13","7,0102,+",,,,,,,"100","7,0723, ","7838","5",,,,,"44.3","7","59.2","7","29.3","7"
"USC00263960","INCLINE VILLAGE, NV US","39.2472","-119.9419","1937.3","2019","25",,,,"        32","7","4","7,0222, ",,,"12.0"," ,7,0215,+","2.10"," ,7,0214, ","85","7,0828, ",,,"24.64"," ,7","132.2"," ,7","44.0","7","53.5","7","34.5","7"
"USS0019K04S","MARLETTE LAKE, NV US","39.16","-119.9","2401.8","2019","2",,"      210",,,,"-12","T,0207, ","118"," ,T,0327, ",,,"2.00"," ,T,0213,+","78","T,0827, ","8344","8","47.07"," ,T",,,"40.9","T","50.5","T","31.4","T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2019","6",,"      162",,,,"-3","T,0219, ","61"," ,T,0306, ",,,"2.00"," ,T,0214, ","78","T,0729, ","8115","3","33.35"," ,T",,,"42.4","T","52.8","T","32.1","T"
"USS0014K10S","KALAMAZOO, NV US","39.56","-114.63","2360.4","2019","41",,"      160",,,,"-5","T,0101, ","48"," ,T,0310, ",,,"1.20"," ,T,0928, ","85","T,0722, ","8331","2","26.77"," ,T",,,"41.6","T","52.5","T","30.7","T"
"USC00266791","RENO WEATHER FORECAST OFFICE, NV US","39.5683","-119.7956","1520.0","2019","956",,"       30",,"        11","7","16","7,0222,+","8"," ,7,0106, ","7.7"," ,7,0106, ","0.94"," ,7,0214, ","98","7,0828,+","4957","0","11.71"," ,7","44.8"," ,7","53.5","7","65.2","7","41.7","7"
"USC00264391","LAMOILLE 2 N, NV US","40.7441","-115.4856","1752.6","2019","49",,,,,,"-19","7,0222, ",,,,,,,"90","7,0805,+","8891","6",,,,,"40.8","7","56.4","7","25.2","7"
"USR0000NCUR","CURRANT CREEK NEVADA, NV US","38.7586","-115.4128","1700.8","2019","979",,,,,,"6","U,0101, ",,,,,,,"96","U,0805,+","5647","5",,,,,"51.8","U","63.2","U","40.4","U"
"USR0000NCED","CEDAR PASS NEVADA, NV US","39.7569","-114.1658","2190.0","2019","498",,,,,,"-3","U,0101, ",,,,,,,"93","U,0722, ","7178","8",,,,,"46.2","U","57.5","U","34.9","U"
"USC00268186","TOPAZ LAKE, NV US","38.7395","-119.518","1613.0","2019","707",,"       27",,"        23","7","4","7,0219,+","10"," ,7,0222, ","7.5"," ,7,0210, ","1.15"," ,7,0307, ","98","7,0825,+","5353","8","8.00"," ,7","53.0"," ,7","51.5","7","66.3","7","36.6","7"
"US1NVCK0007","LAS VEGAS 7.8 SW, NV US","36.097164","-115.264185","744.9","2019",,,,,,,,,,,,,"1.08"," ,N,0215, ",,,,,"8.33"," ,N",,,,,,,,
"USC00268761","VIRGINIA CITY, NV US","39.3128","-119.6483","1932.4","2019",,,"       60",,"        18","7","8","7,0222, ","32"," ,7,0221,+","14.0"," ,7,0205, ",,,,,,,,,"91.7"," ,7",,,,,"40.2","7"
"USS0015H20S","MERRITT MOUNTAIN, NV US","41.89","-115.86","2133.6","2019",,,"      149",,,,,,"44"," ,T,0220, ",,,"1.10"," ,T,0527, ",,,,,"22.76"," ,T",,,,,,,,
"US1NVCK0002","LAS VEGAS 2.2 SW, NV US","36.183314","-115.250273","736.1","2019",,,,,,,,,,,,,"1.30"," ,N,0215, ",,,,,"7.26"," ,N",,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2019","512",,"        7",,"         7","7","-5","7,1030, ","5"," ,7,0211,+","5.0"," ,7,0210, ","0.84"," ,7,0214, ","103","7,0721, ","6311","9","11.17"," ,7","12.4"," ,7","49.0","7","65.6","7","32.4","7"
"USS0015L01S","WHITE RIVER NV, NV US","38.95","-115.38","2267.7","2019","9",,"      144",,,,"-11","T,0207, ","22"," ,T,0323,+",,,"1.60"," ,T,0205, ","85","T,0722, ","8203","2","24.74"," ,T",,,"41.2","T","55.4","T","27.0","T"
"USR0000NSTA","STAG MOUNTAIN NEVADA, NV US","41.5178","-115.3928","2069.6","2019","288",,,,,,"-1","U,0207, ",,,,,,,"91","U,0804, ","8016","5",,,,,"43.3","U","53.9","U","32.7","U"
"USS0015K04S","VACARRO SPRING, NV US","39.45","-115.98","2388.4","2019","162",,"      165",,,,"3","T,0207, ","50"," ,T,0310, ",,,"1.20"," ,T,1204,+","84","T,0722, ","7729","1","32.26"," ,T",,,"43.7","T","52.4","T","34.9","T"
"USW00003170","EUREKA AIRPORT, NV US","39.6013","-116.0055","1809.3","2019","307",,,,,,"-14","W,0207, ",,,,,"0.80"," ,W,0321, ","95","W,0821,+","7579","5","13.69"," ,W",,,"44.8","W","60.6","W","29.0","W"
"USC00264037","JARBIDGE, NV US","41.87543","-115.43082","1883.7","2019","125",,,,"        23","7","-4","7,0101, ",,,"9.0"," ,7,1214, ","1.01"," ,7,1214, ","97","7,0807, ","7837","0","24.26"," ,7","73.3"," ,7","43.2","7","55.7","7","30.8","7"
"USC00264950","MCGILL, NV US","39.4136","-114.7734","1911.1","2019",,,,,,,,,,,,,,,,,"6946","9",,,,,,,,,,
"US1NVWP0004","ELY 25.0 SSW, NV US","38.91694444","-115.0619444","1724.3","2019",,,,,,,,,,,,,"1.07"," ,N,0322, ",,,,,"17.92"," ,N",,,,,,,,
"USR0000NTEX","TEXAS SPRINGS NEVADA, NV US","41.8017","-118.4508","1755.6","2019","510",,,,,,"9","U,0222,+",,,,,,,"90","U,0828,+","6990","6",,,,,"46.6","U","54.5","U","38.8","U"
"US1NVCK0018","PARADISE 3.9 WSW, NV US","36.057962","-115.196886","709.0","2019",,,,,,,,,,,,,,,,,,,"7.74"," ,N",,,,,,,,
"USC00269168","WINNEMUCCA 3 SSW, NV US","40.9386","-117.7513","1327.4","2019","567",,"       29",,"        12","7","-1","7,0207, ","5"," ,7,0210, ","5.1"," ,7,0210, ","0.66"," ,7,0214, ","99","7,0723, ","6391","4","10.24"," ,7","32.3"," ,7","48.8","7","63.4","7","34.1","7"
"USW00004139","DENIO 52 WSW, NV US","41.8484","-119.6357","1981.2","2019","64",,,,,,"0","R,0222, ",,,,,"1.12"," ,R,1213, ","89","R,0828, ","8467","9","18.59"," ,R",,,"41.4","R","52.0","R","30.7","R"
"USR0000NCCP","CATTLE CAMP NEVADA, NV US","38.9036","-114.8142","2225.0","2019","137",,,,,,"-15","U,0218, ",,,,,,,"91","U,0722, ","7993","5",,,,,"42.5","U","57.9","U","27.0","U"
"USR0000NFIS","FISH SPRINGS NEVADA, NV US","38.9361","-119.6519","1560.6","2019","648",,,,,,"7","U,0222, ",,,,,,,"95","U,0815, ","5259","9",,,,,"51.2","U","64.0","U","38.5","U"
"USR0000NDES","DESATOYA MOUNTAIN NEVADA, NV US","39.3011","-117.5844","1889.8","2019","231",,,,,,"-11","U,0222, ",,,,,,,"95","U,0828,+","7252","1",,,,,"45.5","U","61.2","U","29.7","U"
"USS0017H02S","BUCKSKIN LOWER, NV US","41.75","-117.53","2107.7","2019","88",,"      154",,,,"-1","T,0206, ","51"," ,T,0313, ",,,"1.00"," ,T,0409, ","86","T,0828, ","8066","1","27.25"," ,T",,,"42.7","T","53.3","T","32.1","T"
"US1NVCK0017","MESQUITE 1.5 S, NV US","36.780792","-114.104814","480.1","2019",,,,,,,,,,,,,"1.58"," ,N,1120, ",,,,,"13.18"," ,N",,,,,,,,
"USC00260800","BEOWAWE 49 S U OF N RANCH, NV US","39.9004","-116.5876","1749.6","2019",,,"       18",,"         9","7",,,"7"," ,7,0207,+","7.0"," ,7,0205, ","1.25"," ,7,0206, ",,,,,"8.51"," ,7","32.5"," ,7",,,,,,
"USS0015K03S","DIAMOND PEAK, NV US","39.56","-115.84","2448.5","2019",,,"      164",,,,,,"33"," ,T,0323, ",,,"1.70"," ,T,0121, ",,,"8271","8","29.03"," ,T",,,,,,,,
"USR0000NDEA","DEAD CAMEL MOUNTAIN NEVADA, NV US","39.2636","-118.9433","1368.6","2019","937",,,,,,"4","U,1030, ",,,,,,,"99","U,0728, ","5310","0",,,,,"52.6","U","65.9","U","39.2","U"
"USC00263512","HAWTHORNE, NV US","38.5155","-118.6208","1341.1","2019","1120",,"        4",,"         3","7","12","7,0211, ","2"," ,7,0217,+","2.0"," ,7,0217, ","0.51"," ,7,0214, ","102","7,0721, ",,,"4.37"," ,7","4.9"," ,7","55.7","7","68.6","7","42.7","7"
"USW00003160","MERCURY DESERT ROCK AIRPORT, NV US","36.6206","-116.0278","984.5","2019","2181",,"        0",,"         0","W","21","W,0223, ","0","T,W,1127, ","0.0","T,W,1127,+","1.18"," ,W,0306, ","108","W,0729, ","2935","4","7.50"," ,W","0.0","T,W","62.5","W","75.5","W","49.5","W"
"USS0015J06S","LAMOILLE NUMBER 3, NV US","40.65","-115.38","2347.0","2019","24",,"      183",,,,"-5","T,0101, ","70"," ,T,0308, ",,,"1.80"," ,T,0421, ","82","T,0722, ","8384","0","37.24"," ,T",,,"41.4","T","51.3","T","31.5","T"
"USR0000NBAR","BARREL SPRINGS NEVADA, NV US","41.9111","-119.9389","1778.5","2019","180",,,,,,"-5","U,0222, ",,,,,,,"90","U,0828, ","7573","3",,,,,"44.3","U","55.7","U","33.0","U"
"USS0016H11S","SNOWSTORM MOUNTAIN, NV US","41.34","-116.98","2261.6","2019","121",,"      171",,,,"3","T,0207, ","59"," ,T,0221, ",,,"0.90"," ,T,1213,+","85","T,0828, ","7879","1","28.07"," ,T",,,"42.8","T","50.8","T","34.8","T"
"USR0000NANT","ANTELOPE LAKE NEVADA, NV US","41.6847","-116.7644","1664.2","2019","448",,,,,,"-1","U,1030,+",,,,,,,"96","U,0806,+","7159","5",,,,,"46.4","U","58.6","U","34.1","U"
"USC00267612","SMITH 6 N, NV US","38.8822","-119.3511","1524.0","2019","593",,"        0",,"         0","7","1","7,0222, ","0"," ,7,1231,+","0.0"," ,7,1231,+","0.88"," ,7,0214, ","100","7,0722, ","5702","7","9.28"," ,7","0.0"," ,7","50.3","7","66.3","7","34.2","7"
"US1NVWH0144","RENO 6.8 SE, NV US","39.48238","-119.7174","1380.1","2019",,,,,,,,,,,,,"1.18"," ,N,0214, ",,,,,"12.96"," ,N",,,,,,,,
"USS0017H08S","GRANITE PEAK, NV US","41.67","-117.57","2603.9","2019","7",,"      206",,,,"2","T,0222, ","89"," ,T,0313, ",,,"1.40"," ,T,1213, ","78","T,0828, ","9164","3","36.16"," ,T",,,"39.2","T","46.4","T","32.0","T"
"USS0015J09S","GREEN MOUNTAIN, NV US","40.38","-115.53","2438.4","2019","15",,"      193",,,,"-2","T,0222, ","69"," ,T,0220,+",,,"1.40"," ,T,0410, ","80","T,0722, ","8226","1","40.98"," ,T",,,"41.7","T","50.7","T","32.8","T"
"USS0016H02S","JACK CREEK UPPER, NV US","41.55","-116.01","2209.8","2019","119",,"      188",,,,"1","T,0207, ","59"," ,T,0220, ",,,"1.40"," ,T,0517, ","85","T,0806, ","8074","6","30.95"," ,T",,,"42.6","T","51.8","T","33.4","T"
"USS0014K02S","BERRY CREEK, NV US","39.32","-114.62","2773.7","2019","0",,"      220",,,,"-8","T,0207, ","82"," ,T,0421, ",,,"1.70"," ,T,0421, ","76","T,0722, ","9941","0","37.54"," ,T",,,"37.1","T","46.9","T","27.2","T"
"USS0019K08S","BIG MEADOW, NV US","39.46","-119.94","2514.3","2019","1",,"      203",,,,"-3","T,0222, ","116"," ,T,0217, ",,,"2.40"," ,T,0117, ","77","T,0827, ","8367","6","45.65"," ,T",,,"40.9","T","50.0","T","31.9","T"
"USC00269229","YERINGTON, NV US","38.9991","-119.1575","1335.0","2019",,,"        1",,"         0","7",,,"1"," ,7,1129, ","0.5"," ,7,1129, ","0.50"," ,7,1120,+",,,,,"6.76"," ,7","0.5"," ,7",,,,,,
"USR0000NCRA","CRANE SPRINGS NEVADA, NV US","40.4597","-115.85","1950.7","2019","489",,,,,,"0","U,0222, ",,,,,,,"93","U,0828,+","7212","5",,,,,"46.1","U","57.0","U","35.1","U"
"USC00266514","RACHEL, NV US","37.6467","-115.746","1469.1","2019","755",,"       11",,"         4","7","4","7,1130,+","8"," ,7,1129, ","6.2"," ,7,1129, ","1.90"," ,7,0524, ","99","7,0829,+",,,"12.17"," ,7","15.5"," ,7","51.7","7","68.2","7","35.2","7"
"USS0017J02S","GOLCONDA, NV US","40.88","-117.59","2010.5","2019","252",,"      145",,,,"5","T,0222, ","38"," ,T,0221, ",,,"1.50"," ,T,0409, ","85","T,0806,+","6978","6","29.16"," ,T",,,"46.0","T","54.9","T","37.2","T"
"USR0000NCAT","CATNIP MOUNTAIN NEVADA, NV US","41.92","-119.495","1749.6","2019","240",,,,,,"0","U,1128, ",,,,,,,"92","U,0828, ","7441","0",,,,,"44.9","U","56.7","U","33.0","U"
"USR0000NKAN","KANE SPRINGS NEVADA, NV US","37.2506","-114.7075","1399.0","2019","2128",,,,,,"21","U,0102, ",,,,,,,"101","U,0729, ","3424","4",,,,,"61.1","U","68.9","U","53.3","U"
"US1NVWH0019","RENO 9.0 W, NV US","39.518429","-119.9935","1493.5","2019",,,,,,,,,,,,,"2.42"," ,N,0214, ",,,,,"27.19"," ,N",,,,,,,,
"USS0015L02S","CORDUROY FLAT, NV US","39.0","-115.42","2657.9","2019","67",,"      167",,,,"2","T,0219, ","24"," ,T,0323, ",,,"1.20"," ,T,0208, ","77","T,0825, ","7832","2","25.57"," ,T",,,"42.6","T","49.5","T","35.6","T"
"USC00264349","LAHONTAN DAM, NV US","39.4688","-119.0644","1270.1","2019","1314",,,,"         0","7","12","7,1029, ",,,"0.0"," ,7,1231,+","1.21"," ,7,0214, ","102","7,0815, ","4539","5","8.76"," ,7","0.0"," ,7","55.8","7","68.6","7","43.0","7"
"US1NVWH0011","RENO 2.4 SSW, NV US","39.508411","-119.844181","1393.9","2019",,,,,,,,,,,,,"1.18"," ,N,0214, ",,,,,"14.54"," ,N",,,,,,,,
"USR0000NROC","ROCK SPRING CREEK NEVADA, NV US","41.6431","-114.4375","1645.9","2019","268",,,,,,"-13","U,0211, ",,,,,,,"99","U,0722, ","8078","6",,,,,"43.2","U","58.6","U","27.9","U"
