"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00272842","ERROL, NH US","44.7888","-71.123","387.1","2009",,,,,"         9","0",,,,,"7.0"," ,0,1210, ","2.22"," ,0,1115, ",,,,,"43.06"," ,0","25.1"," ,0",,,,,,
"USC00273415","GLENCLIFF 2, NH US","43.9847","-71.8947","329.2","2009",,,"      107",,"        23","0",,,"36"," ,0,0225,+","15.0"," ,0,0129, ","3.05"," ,0,0730, ",,,,,"49.47"," ,0","76.3"," ,0",,,,,,
"USC00272800","EPPING, NH US","43.03043","-71.08337","46.9","2009","350",,"      101",,"        19","0","-21","0,0116, ","24"," ,0,0119, ","8.0"," ,0,0302,+","2.08"," ,0,1115, ","92","0,0819,+",,,"50.43"," ,0","68.0"," ,0","46.1","0","56.6","0","35.5","0"
"USC00273658","GREENVILLE 1 NNE, NH US","42.78273","-71.79853","274.3","2009",,,"      105",,,,,,"22"," ,0,0130,+",,,"2.18"," ,0,1115, ",,,,,"47.09"," ,0",,,,,,,,
"USC00273850","HANOVER, NH US","43.7052","-72.2855","178.0","2009","370",,"      105",,"        13","0","-22","0,0116, ","22"," ,0,0128, ","11.2"," ,0,0128, ","2.77"," ,0,1024, ","93","0,0818, ","7353","2","46.39"," ,0","58.8"," ,0","45.8","0","55.7","0","35.9","0"
"USC00275712","NASHUA 2 NNW, NH US","42.7913","-71.4735","41.1","2009","386",,,,"        17","0","-15","0,0117,+",,,"8.0"," ,0,1210,+","2.40"," ,0,1115, ","94","0,0819, ","6320","2","51.32"," ,0","70.4"," ,0","47.1","0","58.3","0","35.8","0"
"USC00275995","NORTH CONWAY, NH US","44.0562","-71.1297","159.1","2009","178",,"      124",,"        18","0","-19","0,0117,+","34"," ,0,0223, ","12.2"," ,0,0129,+","2.81"," ,0,1025, ","92","0,0429, ","8046","3","60.64"," ,0","86.9"," ,0","43.3","0","53.7","0","32.8","0"
"USC00273055","FRANCESTOWN, NH US","42.9849","-71.796","228.6","2009","228",,,,"        18","0","-12","0,0101, ",,,"13.0"," ,0,0301, ","2.18"," ,0,1115, ","91","0,0819, ","7388","3","55.17"," ,0","93.3"," ,0","44.3","0","55.0","0","33.5","0"
"USC00277253","ROCHESTER, NH US","43.3002","-70.9827","70.1","2009",,,"       96",,"        21","0",,,"16"," ,0,0129, ","12.0"," ,0,0119, ","2.15"," ,0,1115, ",,,,,"55.54"," ,0","74.1"," ,0",,,,,,
"USC00275350","MEREDITH 3 NNE, NH US","43.69307","-71.47342","262.4","2009",,,"      114",,"        16","0",,,"31"," ,0,0224,+","10.5"," ,0,0118, ",,,,,,,,,"79.7"," ,0",,,,,,
"USC00279278","WEST HAMPSTEAD, NH US","42.91083","-71.20205","87.8","2009","363",,"      103",,"        21","0","-10","0,0116, ","22"," ,0,0119, ","9.3"," ,0,0302,+","1.91"," ,0,1115, ","93","0,0819,+","6970","3","50.38"," ,0","97.2"," ,0","46.7","0","57.1","0","36.2","0"
"USR0000NWMT","WHITE MOUNTAIN NF NEW HAMPSHIR, NH US","43.9806","-71.1406","140.2","2009","282",,,,,,"-24","U,0116, ",,,,,,,"93","U,0817, ","7479","8",,,,,"45.1","U","56.8","U","33.4","U"
"USW00054791","ROCHESTER SKYHAVEN AIRPORT, NH US","43.27806","-70.92222","98.5","2009","348",,,,,,"-15","W,0116, ",,,,,"2.30"," ,W,0811, ","93","W,0428, ","7001","3","48.94"," ,W",,,"46.7","W","56.5","W","36.9","W"
"USC00270706","BETHLEHEM 2, NH US","44.3063","-71.6575","359.7","2009","175",,"      110",,"        32","0","-29","0,0116, ","28"," ,0,0202,+","10.2"," ,0,1128, ","2.07"," ,0,1025, ","89","0,0819, ","8764","7","41.09"," ,0","114.1"," ,0","41.2","0","53.3","0","29.1","0"
"USW00054794","DURHAM 2 N, NH US","43.1716","-70.9277","36.3","2009","268",,,,,,"-17","R,0116, ",,,,,"2.57"," ,R,1114, ","92","R,0428, ","7150","3","50.92"," ,R",,,"45.9","R","55.6","R","36.3","R"
"USW00054795","DURHAM 2 SSW, NH US","43.1092","-70.9484","19.2","2009","268",,,,,,"-20","R,0116, ",,,,,"2.43"," ,R,1114, ","93","R,0428, ","7229","2","50.94"," ,R",,,"45.7","R","56.1","R","35.4","R"
"USC00272999","FIRST CONNECTICUT LAKE, NH US","45.0899","-71.2906","502.9","2009","75",,"      135",,"        42","0","-36","0,0116, ","38"," ,0,0227,+","12.0"," ,0,0129, ","2.01"," ,0,1115, ","85","0,0819,+","10058","6","45.78"," ,0","125.9"," ,0","37.8","0","48.6","0","27.1","0"
"USC00275868","NEWPORT, NH US","43.3772","-72.1812","234.7","2009","183",,"      112",,"        19","0","-23","0,0117,+","22"," ,0,0129, ","8.5"," ,0,0129, ","2.63"," ,0,1025, ","90","0,0819, ","8114","8","41.70"," ,0","66.9"," ,0","42.7","0","54.4","0","31.1","0"
"USC00278858","WALPOLE 3, NH US","43.0739","-72.4053","283.5","2009","284",,"      104",,"        19","0","-8","0,0117,+","28"," ,0,0129, ","12.0"," ,0,0129, ","2.12"," ,0,0801, ","88","0,0819,+","7191","9","49.16"," ,0","68.0"," ,0","45.2","0","54.8","0","35.7","0"
"USC00273487","GORHAM 3, NH US","44.3863","-71.1802","249.9","2009",,,"      110",,"        22","0",,,"28"," ,0,0129, ","15.0"," ,0,0129, ","1.91"," ,0,1128, ",,,,,"46.72"," ,0","96.6"," ,0",,,,,,
"USC00278614","TAMWORTH 4, NH US","43.86434","-71.26628","164.9","2009","137",,"      120",,"        19","0","-21","0,0117,+","31"," ,0,0303,+","14.5"," ,0,0119, ","2.35"," ,0,1115, ","89","0,0429, ","8299","7","61.94"," ,0","92.9"," ,0","42.3","0","53.7","0","30.9","0"
"USC00270690","BERLIN, NH US","44.4535","-71.18552","280.4","2009","154",,"      111",,"        23","0","-26","0,0118,+","32"," ,0,0129, ","14.0"," ,0,1210, ","2.63"," ,0,1128, ","89","0,0819, ","8610","2","41.93"," ,0","86.9"," ,0","41.5","0","52.1","0","30.9","0"
"USC00276234","NORTH STRATFORD, NH US","44.68199","-71.58575","289.6","2009","180",,"      106",,"        12","0","-35","0,0117,+","29"," ,0,0226,+","4.1"," ,0,0220, ","1.61"," ,0,0730, ","89","0,0819, ","8965","8","40.98"," ,0","41.7"," ,0","40.8","0","52.2","0","29.4","0"
"USC00275150","MARLOW, NH US","43.1175","-72.2004","359.7","2009","179",,"      112",,"        22","0","-24","0,0117,+","24"," ,0,0129, ","8.0"," ,0,0129, ","2.32"," ,0,0730, ","89","0,0819, ",,,"50.69"," ,0","71.0"," ,0","42.8","0","53.7","0","31.9","0"
"USW00014745","CONCORD ASOS, NH US","43.2049","-71.50274","104.5","2009","311",,,,"        15","0","-24","0,0116, ",,,"11.0"," ,0,0302, ","1.92"," ,0,1114, ","93","0,0818,+","7407","9","47.26"," ,0","77.1"," ,0","45.2","0","56.5","0","34.0","0"
"USW00094700","BERLIN MUNICIPAL AIRPORT, NH US","44.57611","-71.17861","353.0","2009","111",,,,,,"-39","W,0116, ",,,,,"2.11"," ,W,1024, ","90","W,0818, ","9210","5","36.74"," ,W",,,"39.7","W","52.3","W","27.1","W"
"USC00275629","MOUNT SUNAPEE, NH US","43.3325","-72.0791","388.6","2009","226",,,,"        24","0","-5","0,0116, ",,,"12.0"," ,0,0223,+","3.02"," ,0,1025, ","88","0,0819, ",,,"50.39"," ,0","83.9"," ,0","44.3","0","53.2","0","35.4","0"
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","2009",,,"      119",,"        25","0",,,"32"," ,0,0120,+","17.2"," ,0,0129, ","3.65"," ,0,1025, ",,,,,"65.69"," ,0","119.7"," ,0",,,,,,
"USC00274329","JEFFERSON, NH US","44.4169","-71.5008","376.4","2009",,,"      126",,"        20","0",,,"23"," ,0,0224, ","8.9"," ,0,1128, ","2.17"," ,0,1025, ",,,,,"40.65"," ,0","80.6"," ,0",,,,,,
"USW00054728","WHITEFIELD MOUNT WASHINGTON REGIONAL AIRPORT, NH US","44.3675","-71.545","327.4","2009","137",,,,,,"-38","W,0116, ",,,,,"2.14"," ,W,1024, ","88","W,0818, ","8990","7","36.47"," ,W",,,"40.4","W","52.3","W","28.4","W"
"USC00272302","EAST MILFORD, NH US","42.8266","-71.626","73.2","2009","385",,"      104",,"        17","0","-16","0,0117,+","16"," ,0,0119, ","7.7"," ,0,0302, ","2.13"," ,0,1115, ","93","0,0819,+","7026","4","53.78"," ,0","64.7"," ,0","46.7","0","57.6","0","35.7","0"
"USC00270681","BENTON 5 SW, NH US","44.0341","-71.9486","365.8","2009","157",,"      101",,"        17","0","-20","0,0117,+","18"," ,0,0223, ","10.0"," ,0,0220, ","1.87"," ,0,1025, ","87","0,0819, ","8620","0","42.62"," ,0","67.3"," ,0","41.5","0","51.4","0","31.6","0"
"USC00275211","MASSABESIC LAKE, NH US","42.9891","-71.3932","77.1","2009","417",,"      105",,"        20","0","-19","0,0116, ","27"," ,0,0119, ","7.5"," ,0,0302, ","1.85"," ,0,0801, ","92","0,0819,+","7062","3","45.52"," ,0","63.2"," ,0","46.7","0","57.0","0","36.4","0"
"USC00274480","LAKEPORT 2, NH US","43.54914","-71.46456","152.4","2009","361",,"      104",,"        18","0","-13","0,0116, ","19"," ,0,0223, ","11.0"," ,0,0119, ","2.19"," ,0,1025, ","93","0,0819, ","7231","4","52.33"," ,0","80.1"," ,0","46.0","0","55.9","0","36.0","0"
"USW00014710","MANCHESTER AIRPORT, NH US","42.92963","-71.43566","67.4","2009","529",,,,,,"-11","W,0116, ",,,,,"2.00"," ,W,1224, ","94","W,0818, ","6346","4","46.27"," ,W",,,"48.6","W","57.8","W","39.5","W"
"USW00014755","MOUNT WASHINGTON, NH US","44.27018","-71.30336","1911.7","2009",,,"      185",,"        53","0",,,"23"," ,0,0303,+","18.5"," ,0,1127, ","2.44"," ,0,1127, ","65","0,0818, ","13700","1","84.31"," ,0","215.2"," ,0",,,"34.3","0",,
"USC00276070","NORTH HAMPTON, NH US","42.9588","-70.8227","18.3","2009",,,"       83",,"        17","0",,,"17"," ,0,0120,+","8.0"," ,0,0302,+","3.13"," ,0,1115, ",,,,,"59.16"," ,0","75.7"," ,0",,,,,,
"USW00054770","JAFFREY MUNICIPAL AIRPORT SILVER RANCH, NH US","42.805","-72.00361","317.0","2009","249",,,,,,"-22","W,0116, ",,,,,"2.83"," ,W,0724, ","90","W,0428, ","7357","1","47.09"," ,W",,,"44.6","W","54.5","W","34.8","W"
"USC00273626","GREENLAND, NH US","43.021","-70.8257","29.0","2009","357",,"       87",,"        19","0","-14","0,0116, ","25"," ,0,0128, ","12.0"," ,0,0118, ","3.51"," ,0,0724, ","94","0,0428, ","6791","9","56.20"," ,0","79.8"," ,0","47.1","0","57.1","0","37.1","0"
"USC00270315","BARNSTEAD 5 N, NH US","43.38333","-71.25028","211.8","2009",,,"      122",,"        17","0",,,"29"," ,0,0303, ","11.3"," ,0,0302, ","1.89"," ,0,0829, ",,,,,"51.20"," ,0","80.9"," ,0",,,,,,
