"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00282768","ESSEX FELLS SERV BUILDING, NJ US","40.8314","-74.2858","106.7","2008",,,,,,,,,,,,,,,,,"4820","0",,,,,,,,,,
"USC00282805","ESTELL MANOR, NJ US","39.38293","-74.82932","25.9","2008","965",,"        5",,"         3","0","7","0,0121,+","2"," ,0,0222, ","2.7"," ,0,0222, ","3.45"," ,0,1212, ","96","0,0719,+","4803","6","44.87"," ,0","7.4"," ,0","54.0","0","66.2","0","41.8","0"
"USC00287936","SEABROOK FARMS, NJ US","39.4871","-75.2201","31.7","2008",,,"        3",,"         1","0",,,"2"," ,0,0222, ","1.5"," ,0,0222, ","2.73"," ,0,1212, ","97","0,0611, ",,,"40.00"," ,0","3.1"," ,0",,,"65.0","0",,
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","40.6825","-74.1694","2.1","2008","1220",,"       11",,"         4","0","10","0,0211, ","4"," ,0,1221,+","6.8"," ,0,0222, ","3.64"," ,0,0906, ","99","0,0610,+","4580","7","48.84"," ,0","18.7"," ,0","55.4","0","64.0","0","46.9","0"
"USC00284229","INDIAN MILLS 2 W, NJ US","39.79952","-74.78042","30.5","2008","970",,"        3",,"         2","0","8","0,0104, ","2"," ,0,0222, ","3.0"," ,0,0222, ","2.54"," ,0,0810, ","97","0,0610, ","4530","9","49.67"," ,0","4.0"," ,0","54.5","0","65.8","0","43.2","0"
"USC00286964","PHILADELPHIA MT. HOLLY WEATHER FORECAST OFFICE, NJ US","40.01369","-74.81753","19.2","2008","1033",,"        3",,"         3","Z","10","Z,0212,+","3"," ,Z,0223,+","2.5"," ,Z,0222, ","2.83"," ,Z,1212, ","98","Z,0611, ","4848","4","40.65"," ,Z","6.3"," ,Z","54.0","Z","64.7","Z","43.3","Z"
"USW00013724","ATLANTIC CITY MARINA, NJ US","39.37778","-74.42361","3.0","2008","1058",,,,,,"13","0,0211, ",,,,,"4.12"," ,0,1211, ","96","0,0609, ","4265","5","44.91"," ,0",,,"55.9","0","62.2","0","49.7","0"
"USW00054793","SUSSEX AIRPORT, NJ US","41.19924","-74.62599","125.0","2008","585",,,,,,"4","W,0224, ",,,,,"2.81"," ,W,0906, ","95","W,0609, ","5917","3","46.27"," ,W",,,"49.9","W","60.9","W","38.9","W"
"USC00281351","CAPE MAY 2 NW, NJ US","38.95341","-74.93611","6.1","2008","1091",,"        2",,"         3","0","15","0,0211,+","2"," ,0,0220,+","2.3"," ,0,0220, ","4.13"," ,0,1211, ","96","0,0609, ","4144","2","42.72"," ,0","5.3"," ,0","56.2","0","64.8","0","47.6","0"
"USR0000JEBF","EB FORSYTHE NEW JERSEY, NJ US","39.5","-74.5","396.2","2008","1053",,,,,,"11","U,0211,+",,,,,,,"97","U,0609, ","4511","4",,,,,"55.1","U","63.9","U","46.3","U"
