"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00298834","THOREAU 12 SE, NM US","35.3","-108.1472","2263.1","2007",,,"       34",,"        12","0",,,"10"," ,0,0131, ","6.0"," ,0,0131, ","1.23"," ,0,0804, ","97","0,0703, ",,,"12.25"," ,0","24.9"," ,0",,,"62.2","0",,
"US1NMVL0016","LOS LUNAS 2.8 SE, NM US","34.7903","-106.6971","1474.9","2007",,,,,"         1","N",,,,,"1.3"," ,N,0120, ","1.00"," ,N,0520, ",,,,,"8.42"," ,N","2.6"," ,N",,,,,,
"USC00293265","FORT BAYARD, NM US","32.7938","-108.1515","1859.0","2007","1088",,"        0",,"         0","0","14","0,0116, ","0"," ,0,1231,+","0.0"," ,0,1231,+","1.49"," ,0,0729, ","97","0,0703,+",,,"16.52"," ,0","0.0"," ,0","59.4","0","71.9","0","46.8","0"
"USC00294112","HOPE, NM US","32.80954","-104.73791","1245.1","2007",,,,,"         1","0",,,,,"1.5"," ,0,1124, ","1.50"," ,0,0324, ",,,,,"16.41"," ,0","1.5"," ,0",,,,,,
"US1NMLU0023","DEMING 0.7 SE, NM US","32.2533","-107.7426","400.2","2007",,,,,"         1","N",,,,,"1.4"," ,N,0123, ","1.00"," ,N,0711, ",,,,,"8.35"," ,N","1.4"," ,N",,,,,,
"USC00299806","WINSTON, NM US","33.3497","-107.6491","1888.5","2007",,,"        8",,"         5","0",,,"10"," ,0,0122, ","10.0"," ,0,0122, ","0.75"," ,0,0824, ","97","0,0625, ",,,"12.06"," ,0","20.0"," ,0",,,"69.4","0",,
"USC00291883","CLAYTON 1 N, NM US","36.4594","-103.1997","1524.0","2007",,,"       43",,"        11","0",,,"22"," ,0,0101, ","3.1"," ,0,1222, ","2.11"," ,0,0517, ","99","0,0821,+",,,"16.03"," ,0","23.1"," ,0",,,"68.5","0",,
"US1NMSN0002","BERNALILLO 0.7 NE, NM US","35.323722","-106.547444","1539.8","2007",,,,,"         3","N",,,,,"6.5"," ,N,0214, ","0.72"," ,N,1211, ",,,,,"10.15"," ,N","11.7"," ,N",,,,,,
"USC00292854","ELIDA, NM US","33.9402","-103.6572","1339.6","2007","1199",,"       19",,"         5","0","5","0,0123, ","12"," ,0,0120, ","8.0"," ,0,0120, ","2.96"," ,0,0619, ","106","0,0820, ",,,"18.36"," ,0","20.3"," ,0","58.0","0","73.4","0","42.6","0"
"USC00297867","SAN JON, NM US","35.1086","-103.3283","1289.3","2007","1524",,,,"        12","0","1","0,0115, ",,,"6.0"," ,0,0120, ","1.28"," ,0,0324, ","107","0,0820, ","3849","6","13.00"," ,0","28.2"," ,0","58.9","0","73.4","0","44.4","0"
