"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1NYOS0015","MINETTO 0.1 SE, NY US","43.397711","-76.479583","107.0","2019",,,"      100",,"        30","N",,,"19"," ,N,0121, ","13.2"," ,N,0210, ","3.08"," ,N,0621, ",,,,,"51.98"," ,N","137.5"," ,N",,,,,,
"US1NYER0060","BLASDELL 1.5 SSW, NY US","42.776573","-78.844437","192.0","2019",,,,,,,,,,,,,"1.88"," ,N,1101, ",,,,,"45.97"," ,N",,,,,,,,
"USC00304808","LITTLE VALLEY, NY US","42.2473","-78.8125","495.3","2019","244",,,,"        40","7","-13","7,0201, ",,,"13.0"," ,7,0120, ",,,"89","7,0711, ","7655","9",,,"129.1"," ,7","44.6","7","55.0","7","34.1","7"
"US1NYTM0023","FREEVILLE 3.7 W, NY US","42.502107","-76.417953","352.0","2019",,,,,"        28","N",,,,,"9.0"," ,N,0120, ","1.72"," ,N,1101, ",,,,,"44.00"," ,N","74.5"," ,N",,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77944","-73.88035","3.4","2019","1443",,"        6",,"         6","W","3","W,0131, ","4"," ,W,0304, ","3.8"," ,W,0302, ","2.67"," ,W,0717, ","100","W,0721, ","4604","6","50.87"," ,W","15.6"," ,W","56.2","W","63.0","W","49.4","W"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL, NY US","42.93997","-78.73615","218.2","2019","581",,"       68",,"        30","W","-4","W,0201,+","25"," ,W,0131, ","17.2"," ,W,0125, ","2.14"," ,W,0911, ","90","W,0710, ","6782","9","47.84"," ,W","120.1"," ,W","48.2","W","56.3","W","40.2","W"
"US1NYDL0028","FLEISCHMANNS 5.7 N, NY US","42.237796","-74.523357","760.8","2019",,,,,,,,,,,,,"2.41"," ,N,1017, ",,,,,"50.69"," ,N",,,,,,,,
"US1NYSR0004","SARATOGA SPRINGS 0.5 S, NY US","43.06032","-73.780087","94.5","2019",,,,,"        20","N",,,,,"12.8"," ,N,0120, ","2.97"," ,N,0415, ",,,,,"56.83"," ,N","84.5"," ,N",,,,,,
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","42.74722","-73.79912","85.3","2019","744",,"       69",,"        17","W","-8","W,0201, ","18"," ,W,1203, ","13.3"," ,W,1201, ","1.63"," ,W,1017, ","95","W,0720, ","6360","1","46.09"," ,W","72.0"," ,W","49.5","W","58.9","W","40.2","W"
"USC00300317","ATTICA 7 SW, NY US","42.8107","-78.3979","416.1","2019",,,"      106",,"        41","7",,,"22"," ,7,0128, ","14.0"," ,7,0131, ","1.55"," ,7,0902, ",,,,,"55.69"," ,7","161.4"," ,7",,,,,,
"US1NYDL0025","HOBART 4.8 ESE, NY US","42.3523","-74.5783","676.7","2019",,,,,,,,,,,,,"2.57"," ,N,1017, ",,,,,"52.04"," ,N",,,,,,,,
"USC00309389","WHITEHALL, NY US","43.5575","-73.4011","36.3","2019",,,,,,,,,,,,,,,,,,,"45.17"," ,7",,,,,,,,
"US1NYOS0020","FULTON 0.2 W, NY US","43.3165","-76.41855","121.0","2019",,,,,,,,,,,,,"2.34"," ,N,0621, ",,,,,"58.11"," ,N",,,,,,,,
"USC00302610","ELMIRA, NY US","42.0997","-76.8358","288.6","2019","552",,"       51",,"         8","7","-11","7,0201,+","9"," ,7,0121, ","8.0"," ,7,0120, ","1.47"," ,7,0729, ","94","7,0722, ","6741","2","40.87"," ,7","29.8"," ,7","47.7","7","58.8","7","36.6","7"
"USC00307520","SCHOHARIE, NY US","42.665","-74.3036","223.7","2019","527",,"       74",,"        18","7","-9","7,0122,+","19"," ,7,1203, ","11.7"," ,7,1202, ","2.25"," ,7,1017, ","93","7,0731,+","6596","6","41.08"," ,7","68.3"," ,7","47.8","7","59.0","7","36.5","7"
"USC00303025","FRANKLINVILLE, NY US","42.32943","-78.46352","481.0","2019","289",,"      103",,"        40","7","-21","7,0122, ","14"," ,7,0122,+","10.0"," ,7,0120,+","1.80"," ,7,1101, ","88","7,0720, ","7412","8","45.16"," ,7","99.8"," ,7","45.2","7","55.8","7","34.7","7"
"US1NYER0075","ELMA CENTER 0.7 SE, NY US","42.81935408","-78.62138546","265.8","2019",,,,,,,,,,,,,"2.19"," ,N,1101, ",,,,,"56.34"," ,N",,,,,,,,
"USC00306314","OSWEGO, NY US","43.44991","-76.53685","98.8","2019","505",,,,"        34","7","-3","7,0121, ",,,"10.5"," ,7,0120, ","3.00"," ,7,0620, ","90","7,0720, ","6897","8","47.20"," ,7","124.2"," ,7","47.5","7","54.9","7","40.1","7"
"USW00054757","WELLSVILLE MUNICIPAL AIRPORT, NY US","42.10944","-77.99194","647.4","2019","252",,,,,,"-12","W,0131, ",,,,,"1.58"," ,W,1031, ","88","W,0719, ","7292","9","38.95"," ,W",,,"45.3","W","54.2","W","36.4","W"
"US1NYSV0008","WURTSBORO 0.2 SSW, NY US","41.573911","-74.487106","163.7","2019",,,,,,,,,,,,,"3.55"," ,N,1017, ",,,,,"56.59"," ,N",,,,,,,,
"US1NYWR0010","WARRENSBURG 2.1 WNW, NY US","43.5178451538086","-73.8106918334961","202.4","2019",,,,,,,,,,,,,,,,,,,"50.26"," ,N",,,,,,,,
