"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00317319","ROANOKE RAPIDS, NC US","36.47893","-77.67141","64.0","2019","1982",,,,,,"15","7,0123,+",,,,,"2.05"," ,7,1214, ","100","7,1004, ","3314","4","46.97"," ,7",,,"61.4","7","71.8","7","51.0","7"
"USC00316349","OCRACOKE, NC US","35.1075","-75.9872","1.2","2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00317202","REIDSVILLE 2 NW, NC US","36.3796","-79.6944","271.3","2019","1610",,"        0",,"         0","7","12","7,0122,+","0","T,7,0114,+","0.0","T,7,0118, ","2.70"," ,7,0613, ","96","7,1004, ","3821","9","49.67"," ,7","0.0","T,7","59.4","7","69.7","7","49.1","7"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","35.2236","-80.9552","221.9","2019","2215",,"        0",,"         0","W","19","W,0121, ","0"," ,W,1231,+","0.1"," ,W,0402, ","2.12"," ,W,0719, ","99","W,1002, ","2904","2","54.06"," ,W","0.1"," ,W","63.5","W","74.2","W","52.7","W"
"USC00314055","HIGHLANDS, NC US","35.05646","-83.19822","1173.5","2019","248",,"        0",,"         0","7","8","7,0122, ","0","T,7,0130,+","0.1"," ,7,0130,+","5.03"," ,7,1031, ","84","7,0703, ","4925","3","111.77"," ,7","0.2"," ,7","52.5","7","62.4","7","42.5","7"
"US1NCHW0058","CRABTREE 1.7 ENE, NC US","35.60944","-82.91278","864.4","2019",,,,,,,,,,,,,"2.65"," ,N,0420, ",,,,,"58.78"," ,N",,,,,,,,
"USW00013766","MANTEO AIRPORT, NC US","35.9173","-75.7","4.0","2019","2022",,,,,,"22","7,0122, ",,,,,"2.52"," ,7,0906, ","95","7,0529, ","2594","0","38.26"," ,7",,,"63.8","7","71.2","7","56.4","7"
"USW00093782","LAURINBURG MAXTON AIRPORT, NC US","34.79167","-79.36611","67.1","2019","2454",,,,,,"21","W,0122,+",,,,,"2.89"," ,W,1213, ","102","W,0704,+",,,"38.07"," ,W",,,"65.1","W","76.5","W","53.7","W"
"USW00093783","BURLINGTON ALAMANCE REGIONAL AIRPORT, NC US","36.04667","-79.47694","188.1","2019",,,,,,,,,,,,,"1.84"," ,W,0412, ",,,,,"38.28"," ,W",,,,,,,,
"US1NCCR0049","EMERALD ISLE 2.3 WSW, NC US","34.6543711423874","-77.0671257376671","5.2","2019",,,,,,,,,,,,,"2.50"," ,N,0818, ",,,,,"46.92"," ,N",,,,,,,,
"USC00316236","NORTH FORK 2, NC US","35.66308","-82.34446","755.9","2019","1048",,,,,,"11","7,0121, ",,,,,"3.71"," ,7,0419, ","90","7,1003,+","3665","2","59.65"," ,7",,,"58.2","7","68.6","7","47.9","7"
"USC00318778","TURNERSBURG, NC US","35.9065","-80.8142","261.5","2019",,,,,,,,,,,,,,,,,,,"53.30"," ,7",,,,,,,,
"USR0000NRCK","ROCKINGHAM NORTH CAROLINA, NC US","34.96","-79.69","121.9","2019","2480",,,,,,"19","U,0122, ",,,,,,,"101","U,1003,+","2587","2",,,,,"64.8","U","76.1","U","53.4","U"
"USC00316001","MURPHY 4 ESE, NC US","35.0714","-83.9684","487.7","2019","1273",,"        0",,"         0","7","13","7,0131,+","0"," ,7,1231,+","0.0"," ,7,1231,+","2.34"," ,7,1217, ","95","7,0913, ","3571","8","64.46"," ,7","0.0"," ,7","58.9","7","72.2","7","45.6","7"
"USC00316122","NEW HILL, NC US","35.68107","-78.91557","97.5","2019",,,,,,,,,,,,,,,"99","7,1004, ",,,,,,,,,"72.4","7",,
"USR0000NHOF","HOFMANN FOREST NORTH CAROLINA, NC US","34.825","-77.3219","12.8","2019","2134",,,,,,"14","U,0122, ",,,,,,,"101","U,0630, ","2542","2",,,,,"63.8","U","75.9","U","51.7","U"
"USC00314063","HIGH POINT, NC US","35.96743","-79.97086","274.3","2019",,,"        0",,"         0","7",,,"0"," ,7,1231,+","0.0"," ,7,1231,+","5.89"," ,7,0608, ",,,"3092","8","56.94"," ,7","0.0"," ,7",,,,,,
"US1NCML0001","BAKERSVILLE 5.4 N, NC US","36.092","-82.175","1168.0","2019",,,,,,,,,,,,,"2.87"," ,N,0420, ",,,,,"60.34"," ,N",,,,,,,,
"US1NCDP0025","ALBERTSON 1.2 WNW, NC US","35.12012","-77.83897","30.2","2019",,,,,,,,,,,,,"6.60"," ,N,0906, ",,,,,"49.69"," ,N",,,,,,,,
"USW00013776","LUMBERTON REGIONAL AIRPORT, NC US","34.608","-79.0591","36.9","2019","2474",,,,,,"21","W,0122, ",,,,,"3.73"," ,W,0905, ","101","W,0528, ","2340","3","41.59"," ,W",,,"65.3","W","75.9","W","54.7","W"
"US1NCCR0012","MOREHEAD CITY 0.6 NW, NC US","34.73","-76.74","4.0","2019",,,,,,,,,,,,,"5.70"," ,N,0906, ",,,,,"52.05"," ,N",,,,,,,,
"USC00316256","NORTH WILKESBORO, NC US","36.1638","-81.1536","341.4","2019","1495",,"        0",,"         0","7","14","7,0122,+","0","T,7,1213,+","0.1"," ,7,0220, ","3.00"," ,7,0415, ","94","7,1004,+","3718","8","60.14"," ,7","0.1"," ,7","59.2","7","70.5","7","47.8","7"
"USC00317344","ROBBINSVILLE AG 5 NE, NC US","35.3763","-83.70013","710.2","2019","927",,"        1",,"         1","7","11","7,0121, ","2"," ,7,1202, ","2.0"," ,7,1202, ",,,"90","7,1004, ","4020","6","79.65"," ,7","3.1"," ,7","56.9","7","67.6","7","46.3","7"
"US1NCML0011","SPRUCE PINE 3.7 ESE, NC US","35.88905","-82.012514","833.9","2019",,,,,,,,,,,,,"3.98"," ,N,0608, ",,,,,"66.17"," ,N",,,,,,,,
"US1NCRB0017","LUMBERTON 8.6 SSE, NC US","34.512735","-78.975122","33.5","2019",,,,,,,,,,,,,"4.74"," ,N,0818, ",,,,,"49.93"," ,N",,,,,,,,
"US1NCML0014","SPRUCE PINE 4.5 WSW, NC US","35.900646","-82.147713","782.4","2019",,,,,,,,,,,,,"3.50"," ,N,0608, ",,,,,"56.64"," ,N",,,,,,,,
"US1NCWN0006","SIMS 4.0 SW, NC US","35.7208","-78.1108","68.9","2019",,,,,,,,,,,,,"2.85"," ,N,0805, ",,,,,"48.02"," ,N",,,,,,,,
