"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1NDRC0008","ABERCROMBIE 0.2 NW, ND US","46.449","-96.728","285.6","2019",,,,,,,,,,,,,"1.16"," ,N,0310, ",,,,,"28.96"," ,N",,,,,,,,
"USC00322193","DICKINSON RANCH HQ, ND US","47.1944","-102.8413","725.4","2019","316",,,,,,"-31","7,0208, ",,,,,"2.00"," ,7,0908, ","94","7,0715, ","9715","2","25.90"," ,7",,,"38.9","7","49.5","7","28.3","7"
"USC00325186","LIDGERWOOD, ND US","46.0725","-97.1461","342.9","2019","499",,"      135",,"        22","7","-33","7,0131,+","35"," ,7,0227, ","11.0"," ,7,0412, ","2.45"," ,7,0704, ","92","7,0608, ","9728","7","30.55"," ,7","82.1"," ,7","39.7","7","48.6","7","30.8","7"
"USW00024012","DICKINSON THEODORE ROOSEVELT REGIONAL AIRPORT, ND US","46.7994","-102.7972","786.4","2019","317",,,,,,"-28","W,0208, ",,,,,,,"94","W,0916,+","9426","6",,,,,"39.6","W","50.6","W","28.7","W"
"USW00094084","NORTHGATE 5 ESE, ND US","48.9676","-102.1702","561.4","2019","154",,,,,,"-39","R,0130, ",,,,,"1.83"," ,R,0709, ","93","R,0603, ","10882","7","16.95"," ,R",,,"35.6","R","46.7","R","24.5","R"
"USC00325220","LISBON, ND US","46.4444","-97.6928","350.2","2019","390",,"      133",,"        21","7","-47","7,0131, ","23"," ,7,0311,+","9.3"," ,7,0412, ","1.49"," ,7,1011, ","92","7,0608, ","10303","2","29.11"," ,7","87.6"," ,7","37.6","7","48.1","7","27.2","7"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.2552","-101.2733","507.5","2019","438",,,,,,"-29","W,0130, ",,,,,"1.89"," ,W,0629, ","94","W,0603, ","9490","0","20.88"," ,W",,,"40.1","W","50.0","W","30.1","W"
"US1NDBT0008","MAXBASS 4.9 ENE, ND US","48.744588","-101.038884","456.0","2019",,,,,,,,,,,,,"2.76"," ,N,0921, ",,,,,"26.13"," ,N",,,,,,,,
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.7825","-100.7572","503.2","2019","510",,"      129",,"        23","W","-33","W,0130, ","13"," ,W,0314,+","9.5"," ,W,0309, ","2.33"," ,W,0825, ","94","W,0806, ","9260","5","29.63"," ,W","84.7"," ,W","40.5","W","50.6","W","30.4","W"
"USC00324091","HEART BUTTE DAM, ND US","46.5916","-101.8074","650.4","2019",,,,,,,,,,,,,,,,,,,"21.89"," ,7",,,,,,,,
"USR0000NARR","ARROWWOOD 2 NORTH DAKOTA, ND US","47.2667","-98.8667","463.3","2019","365",,,,,,"-33","U,0130, ",,,,,,,"93","U,0607, ","9509","6",,,,,"38.2","U","47.3","U","29.2","U"
"USW00094080","MEDORA 7 E, ND US","46.8946","-103.3769","844.6","2019","366",,,,,,"-23","R,0208, ",,,,,"1.80"," ,R,0907, ","93","R,0731, ","9230","7","24.15"," ,R",,,"40.3","R","50.0","R","30.6","R"
"US1NDMT0005","NEW SALEM 13.7 SSE, ND US","46.6684325784445","-101.277933865786","634.3","2019",,,,,,,,,,,,,"2.03"," ,N,0921, ",,,,,"30.51"," ,N",,,,,,,,
"USC00322860","FARGO 3 S, ND US","46.8293","-96.7962","276.8","2019","486",,"      133",,"        20","7","-31","7,0131,+","25"," ,7,0310, ","9.0"," ,7,0309, ","1.62"," ,7,0708, ","94","7,0607, ","9884","2","28.81"," ,7","80.3"," ,7","39.5","7","48.9","7","30.0","7"
"USC00322188","DICKINSON, ND US","46.89138","-102.77916","749.8","2019",,,,,"        20","7",,,,,"4.0"," ,7,1201,+",,,,,,,,,"53.6"," ,7",,,,,,
"USC00324646","KENMARE 1 WSW, ND US","48.6691","-102.0975","551.7","2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NDLM0004","LA MOURE 4.6 ESE, ND US","46.3444683","-98.2020494","427.6","2019",,,,,,,,,,,,,,,,,,,"36.41"," ,N",,,,,,,,
"USC00325730","MC HENRY 3 W, ND US","47.5808","-98.6422","474.0","2019","348",,,,,,"-38","7,0130, ",,,,,"3.42"," ,7,0921, ","93","7,0608,+","10153","7","30.63"," ,7",,,"37.7","7","46.7","7","28.6","7"
"USC00322588","ELGIN, ND US","46.4088","-101.8419","731.5","2019",,,,,,,,,,,,,"1.31"," ,7,0913, ",,,,,"24.93"," ,7",,,,,,,,
"USC00325230","LITCHVILLE 2 NW, ND US","46.6612","-98.2268","451.7","2019",,,,,"        31","7",,,,,"17.0"," ,7,1230, ","1.99"," ,7,0709, ",,,,,"32.53"," ,7","131.7"," ,7",,,,,,
"USC00328065","SHIELDS, ND US","46.233","-101.1291","550.5","2019",,,,,,,,,,,,,"2.10"," ,7,1020, ",,,,,"23.94"," ,7",,,,,,,,
"USR0000NLOS","LOSTWOOD NORTH DAKOTA, ND US","48.6333","-102.4","691.9","2019","221",,,,,,"-33","U,0208,+",,,,,,,"93","U,0603, ","10004","9",,,,,"37.1","U","47.5","U","26.7","U"
"US1NDMR0002","HAZEN 0.4 SW, ND US","47.29558","-101.630102","533.1","2019",,,,,,,,,,,,,"1.58"," ,N,0921, ",,,,,"26.11"," ,N",,,,,,,,
"USR0000NJCL","J. CLARK SALYER NORTH DAKOTA, ND US","48.37","-100.43","381.0","2019",,,,,,,"-39","U,0130, ",,,,,,,"91","U,0731,+",,,,,,,"37.6","U","48.1","U","27.1","U"
"CA005020881","EMERSON AUTO, MB CA","49.0","-97.2333","242.0","2019",,,,,,,,,,,,,"1.20"," ,C,0709, ",,,,,"16.08"," ,C",,,,,,,,
"USC00324418","JAMESTOWN STATE HOSPITAL, ND US","46.8844","-98.685","447.1","2019","402",,,,,,"-32","7,0131, ",,,,,"1.59"," ,7,0921, ","93","7,0608, ","10016","6","27.59"," ,7",,,"38.3","7","47.7","7","28.8","7"
"US1NDMR0007","HAZEN 0.4 ESE, ND US","47.298303413373","-101.617834704981","531.9","2019",,,,,,,,,,,,,"1.87"," ,N,0921, ",,,,,"25.63"," ,N",,,,,,,,
"USC00323287","FULLERTON 1 ESE, ND US","46.15833","-98.39888","437.4","2019","431",,,,,,"-33","7,0130, ",,,,,,,"92","7,0607, ","9654","3",,,,,"39.3","7","48.3","7","30.3","7"
"US1NDBT0003","UPHAM 7.5 NNW, ND US","48.67696667","-100.8025667","438.9","2019",,,,,"        13","N",,,,,"7.5"," ,N,1012, ","2.02"," ,N,0709, ",,,,,"26.24"," ,N","41.5"," ,N",,,,,,
"USC00326315","NEW ENGLAND, ND US","46.54055","-102.86916","792.5","2019","324",,,,,,"-32","7,0208, ",,,,,"2.85"," ,7,0811, ","94","7,0806, ","9231","4","23.89"," ,7",,,"39.6","7","51.1","7","28.0","7"
"USC00325002","LANSFORD, ND US","48.6273","-101.3764","490.7","2019",,,"      139",,"        15","7",,,"22"," ,7,0212, ","9.4"," ,7,0204, ","2.01"," ,7,0630, ",,,,,"23.53"," ,7","59.3"," ,7",,,,,,
"USC00328872","UNDERWOOD, ND US","47.455","-101.1461","623.3","2019","348",,,,,,"-31","7,0131,+",,,,,,,"92","7,0715, ","10185","6",,,,,"37.7","7","47.4","7","28.1","7"
"USC00328990","VELVA, ND US","48.06","-100.9413","460.2","2019",,,,,,,,,,,,,,,,,,,"22.06"," ,7",,,,,,,,
"USC00322768","ESMOND 9 NNW, ND US","48.1582","-99.8285","497.4","2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00325638","MAX, ND US","47.8213","-101.2922","643.1","2019","309",,"      129",,"        29","7","-35","7,0130, ","24"," ,7,0212, ","8.0"," ,7,0204, ","2.05"," ,7,0921, ","90","7,0917,+","10320","2","24.45"," ,7","58.7"," ,7","37.3","7","46.8","7","27.9","7"
"USC00320626","BELCOURT KEYA RADIO, ND US","48.8411","-99.75138","597.4","2019","214",,"      168",,"        10","7","-42","7,0201, ","24"," ,7,1014,+","20.0"," ,7,1012, ",,,"91","7,0807, ",,,,,"51.0"," ,7","35.8","7","46.5","7","25.0","7"
"USC00322365","DUNN CENTER 1 E, ND US","47.3466","-102.5869","666.6","2019","295",,,,,,"-31","7,0220,+",,,,,,,"95","7,0804,+","9229","0",,,,,"38.6","7","51.0","7","26.1","7"
"USC00325993","MINOT EXPERIMENTAL STATION, ND US","48.1802","-101.2963","539.2","2019","289",,,,,,"-32","7,0131,+",,,,,"1.76"," ,7,0913, ","90","7,0801,+","10319","9","23.62"," ,7",,,"37.4","7","46.9","7","27.8","7"
"USC00321435","CAVALIER 7 NW, ND US","48.8624","-97.7015","274.0","2019","303",,"      142",,"        16","7","-37","7,0131, ","24"," ,7,0316,+","10.0"," ,7,1011, ","3.00"," ,7,0921, ","97","7,0608, ","10968","2","20.49"," ,7","54.7"," ,7","35.8","7","45.6","7","26.0","7"
"USC00320189","AMBROSE 3 N, ND US","48.9975","-103.4877","617.8","2019",,,,,,,,,,,,,"3.10"," ,7,0709, ",,,,,"19.06"," ,7",,,,,,,,
"USC00325479","MANDAN EXPERIMENT STATION, ND US","46.8127","-100.9097","533.4","2019","320",,,,,,"-31","7,0130, ",,,,,,,"92","7,0806, ",,,,,,,"38.6","7","48.6","7","28.7","7"
"USC00325754","MC LEOD 3 E, ND US","46.3911","-97.2391","327.7","2019","484",,"      140",,"        19","7","-35","7,0130, ","33"," ,7,0311,+","12.0"," ,7,1229, ","1.51"," ,7,0910, ","90","7,0608,+","9875","0","32.83"," ,7","88.5"," ,7","39.0","7","48.5","7","29.5","7"
"USC00328366","STEELE 4 N, ND US","46.8948","-99.9482","564.8","2019","386",,,,,,"-38","7,0130, ",,,,,,,"93","7,0607, ","10024","1",,,,,"38.2","7","48.3","7","28.0","7"
