"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1NDRC0008","ABERCROMBIE 0.2 NW, ND US","46.449","-96.728","285.6","2020",,,,,,,,,,,,,"1.94"," ,N,0708, ",,,,,"21.59"," ,N",,,,,,,,
"USC00322193","DICKINSON RANCH HQ, ND US","47.1944","-102.8413","725.4","2020","430",,,,,,"-23","7,0116, ",,,,,"0.98"," ,7,0828, ","97","7,0819,+","8778","6","11.02"," ,7",,,"43.3","7","55.7","7","30.9","7"
"USC00325186","LIDGERWOOD, ND US","46.0725","-97.1461","342.9","2020","654",,"       92",,"         9","7","-20","7,0117,+","16"," ,7,0122,+","4.5"," ,7,0403, ","2.61"," ,7,0708, ","97","7,0608, ","8685","0","19.78"," ,7","34.8"," ,7","43.9","7","54.1","7","33.7","7"
"USW00024012","DICKINSON THEODORE ROOSEVELT REGIONAL AIRPORT, ND US","46.7994","-102.7972","786.4","2020","469",,,,,,"-22","W,0213, ",,,,,"0.95"," ,W,0907, ","99","W,0819, ","8457","1","7.85"," ,W",,,"44.5","W","57.6","W","31.5","W"
"USW00094084","NORTHGATE 5 ESE, ND US","48.9676","-102.1702","561.4","2020","203",,,,,,"-26","R,0116, ",,,,,"1.35"," ,R,0606, ","99","R,0819, ","9884","3","9.37"," ,R",,,"39.5","R","52.0","R","26.9","R"
"USC00325220","LISBON, ND US","46.4444","-97.6928","350.2","2020","536",,"       98",,"        10","7","-27","7,0117, ","23"," ,7,0119,+","4.8"," ,7,0403, ","1.67"," ,7,0721, ","96","7,0602, ","9218","4","19.89"," ,7","30.4"," ,7","42.3","7","53.8","7","30.8","7"
"USW00024013","MINOT INTERNATIONAL AIRPORT, ND US","48.2552","-101.2733","507.5","2020","504",,,,,,"-23","W,0116, ",,,,,,,"99","W,0819, ","8557","1",,,,,"44.1","W","55.6","W","32.6","W"
"USC00329421","WILLISTON, ND US","48.15","-103.63","570.6","2020",,,,,"         9","7",,,,,"1.7"," ,7,0316, ","0.76"," ,7,0708, ",,,,,"7.01"," ,7","16.7"," ,7",,,,,,
"US1NDBT0008","MAXBASS 4.9 ENE, ND US","48.744588","-101.038884","456.0","2020",,,,,,,,,,,,,"1.19"," ,N,0701, ",,,,,"14.62"," ,N",,,,,,,,
"USW00024011","BISMARCK MUNICIPAL AIRPORT, ND US","46.7825","-100.7572","503.2","2020","767",,"       60",,"         8","W","-22","W,0116, ","7"," ,W,0101, ","5.0"," ,W,0402, ","1.79"," ,W,0630, ","100","W,0819, ","8320","5","8.46"," ,W","22.8"," ,W","45.7","W","58.0","W","33.4","W"
"USC00324091","HEART BUTTE DAM, ND US","46.5916","-101.8074","650.4","2020","431",,,,,,"-21","7,0116, ",,,,,"1.20"," ,7,0708, ","97","7,0821,+",,,"10.07"," ,7",,,"43.4","7","56.0","7","30.8","7"
"USR0000NARR","ARROWWOOD 2 NORTH DAKOTA, ND US","47.2667","-98.8667","463.3","2020",,,,,,,,,,,,,,,,,"8867","4",,,,,,,,,,
"USW00094080","MEDORA 7 E, ND US","46.8946","-103.3769","844.6","2020","519",,,,,,"-19","R,0213, ",,,,,"0.98"," ,R,0907, ","98","R,0818, ","8328","9","10.14"," ,R",,,"44.8","R","56.4","R","33.2","R"
"USC00321816","COURTENAY 1 NW, ND US","47.24","-98.58472","464.5","2020",,,,,,,,,,,,,"2.76"," ,7,0701, ",,,,,"15.71"," ,7",,,,,,,,
"USC00328608","SYKESTON, ND US","47.4647","-99.3983","498.0","2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NDBH0034","BISMARCK 1.3 WNW, ND US","46.8114599","-100.792962","526.1","2020",,,,,,,,,,,,,"0.84"," ,N,0701, ",,,,,"9.41"," ,N",,,,,,,,
"USC00322860","FARGO 3 S, ND US","46.8293","-96.7962","276.8","2020","663",,"      104",,"        10","7","-25","7,0213, ","19"," ,7,0124,+","4.8"," ,7,0402, ","2.26"," ,7,0814, ","98","7,0607,+","8996","6","20.57"," ,7","32.5"," ,7","43.0","7","53.7","7","32.4","7"
"USC00322188","DICKINSON, ND US","46.89138","-102.77916","749.8","2020",,,,,,,,,,,,,"0.92"," ,7,0828, ",,,,,"10.82"," ,7",,,,,,,,
"USC00324646","KENMARE 1 WSW, ND US","48.6691","-102.0975","551.7","2020","327",,,,,,"-25","7,0115, ",,,,,,,"97","7,0819, ","9615","5",,,,,"40.5","7","52.0","7","29.0","7"
"US1NDLM0004","LA MOURE 4.6 ESE, ND US","46.3444683","-98.2020494","427.6","2020",,,,,,,,,,,,,"1.40"," ,N,0718, ",,,,,"16.97"," ,N",,,,,,,,
"USC00325730","MC HENRY 3 W, ND US","47.5808","-98.6422","474.0","2020","546",,,,,,"-26","7,0116, ",,,,,"2.70"," ,7,0701, ","95","7,0820, ","9464","8","14.81"," ,7",,,"42.3","7","52.3","7","32.4","7"
"USC00322588","ELGIN, ND US","46.4088","-101.8419","731.5","2020",,,,,,,,,,,,,"1.85"," ,7,0630, ",,,,,"11.63"," ,7",,,,,,,,
"USC00325230","LITCHVILLE 2 NW, ND US","46.6612","-98.2268","451.7","2020",,,,,"        10","7",,,,,"8.7"," ,7,0403, ","2.19"," ,7,0618, ",,,,,"21.83"," ,7","31.7"," ,7",,,,,,
