"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1OHWL0005","ALVORDTON 0.5 E, OH US","41.6654","-84.4244","253.0","2020",,,,,,,,,,,,,"3.25"," ,N,0519, ",,,,,"34.00"," ,N",,,,,,,,
"USW00004804","COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US","40.07806","-83.07806","275.8","2020","1079",,,,,,"8","W,0120, ",,,,,"2.51"," ,W,0518, ","95","W,0706, ","5155","8","38.96"," ,W",,,"53.9","W","63.5","W","44.4","W"
"US1OHHM0024","CHEVIOT 3.4 W, OH US","39.151487","-84.677134","257.9","2020",,,,,"         5","N",,,,,"2.1"," ,N,1217, ","2.37"," ,N,0519, ",,,,,"49.84"," ,N","11.6"," ,N",,,,,,
"USC00335786","NEW CARLISLE, OH US","39.9317","-84.0329","266.4","2020","899",,,,,,"7","7,0215, ",,,,,"2.24"," ,7,0519, ","93","7,0720,+","5338","8","44.56"," ,7",,,"52.5","7","63.0","7","42.0","7"
"USC00336630","PIKETON, OH US","39.07011","-83.01956","173.7","2020",,,,,,,,,,,,,"2.40"," ,7,0903,+",,,,,"48.66"," ,7",,,,,,,,
"US1OHVN0003","ALBANY 4.5 WNW, OH US","39.251218","-82.274717","271.9","2020",,,,,"         6","N",,,,,"5.3"," ,N,1225, ","3.64"," ,N,0604, ",,,,,"48.58"," ,N","16.7"," ,N",,,,,,
"USC00338810","WATERLOO, OH US","38.7008","-82.473","190.5","2020","957",,"        8",,"         3","7","10","7,1227,+","5"," ,7,1226,+","4.6"," ,7,1225, ","2.00"," ,7,0731, ","98","7,0722, ",,,"49.30"," ,7","9.7"," ,7","54.2","7","66.1","7","42.2","7"
"USC00335667","NAPOLEON 1 SW, OH US","41.3816","-84.1513","204.2","2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014852","YOUNGSTOWN WARREN REGIONAL AIRPORT, OH US","41.2548","-80.6737","355.7","2020","771",,"       46",,"        17","W","1","W,0215, ","9"," ,W,1226, ","7.7"," ,W,1201, ","2.48"," ,W,0710, ","94","W,0709, ","5633","7","48.69"," ,W","65.5"," ,W","52.0","W","61.4","W","42.6","W"
"USC00338025","STEUBENVILLE, OH US","40.3765","-80.6283","302.4","2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHMY0039","CENTERVILLE 3.9 S, OH US","39.585429","-84.149543","305.4","2020",,,,,"         3","N",,,,,"3.4"," ,N,1201, ","3.12"," ,N,0519, ",,,,,"43.51"," ,N","13.2"," ,N",,,,,,
"USC00331072","BUCYRUS, OH US","40.8126","-82.9698","291.1","2020","906",,"       14",,"         6","7","7","7,0215, ","4"," ,7,1226,+","3.0"," ,7,1201, ","1.92"," ,7,0908, ","96","7,0710, ","5173","8","41.63"," ,7","16.4"," ,7","53.3","7","62.8","7","43.8","7"
"USC00332160","DENNISON WATER WORKS, OH US","40.4056","-81.3435","262.1","2020","895",,,,"         7","7","9","7,1228,+",,,"4.5"," ,7,1225, ","1.67"," ,7,0329, ","95","7,0710, ","5515","7","44.43"," ,7","20.5"," ,7","52.4","7","62.8","7","42.0","7"
"US1OHTR0004","NEWTON FALLS 0.6 N, OH US","41.197735","-80.972115","275.2","2020",,,"       36",,"        19","N",,,"12"," ,N,1227,+","9.8"," ,N,1225, ","2.38"," ,N,0829, ",,,,,"46.54"," ,N","59.7"," ,N",,,,,,
"US1OHMY0034","UNION 1.0 WSW, OH US","39.897945","-84.3284","299.0","2020",,,,,,,,,,,,,"3.10"," ,N,0519, ",,,,,"40.39"," ,N",,,,,,,,
"US1OHFR0083","WESTERVILLE 0.7 N, OH US","40.13056183","-82.91999817","273.4","2020",,,,,,,,,,,,,"3.65"," ,N,0519, ",,,,,"53.24"," ,N",,,,,,,,
"USC00333915","HUNTSVILLE 3 N, OH US","40.47996","-83.81278","315.2","2020","902",,,,,,"4","7,0215, ",,,,,"4.44"," ,7,0908, ","94","7,0720,+","5346","9","45.36"," ,7",,,"52.8","7","63.4","7","42.2","7"
"US1OHAL0005","LIMA 2.7 NE, OH US","40.7739","-84.08","264.3","2020",,,,,,,,,,,,,"2.58"," ,N,0908, ",,,,,"42.15"," ,N",,,,,,,,
"USC00331057","BUCKEYE LAKE 1 N, OH US","39.9522","-82.482","270.7","2020",,,,,,,,,,,,,"2.42"," ,7,0320, ",,,,,"46.52"," ,7",,,,,,,,
"USC00333356","GREENFIELD WWTP, OH US","39.3418","-83.3766","261.5","2020",,,,,,,,,,,,,"3.30"," ,7,0519, ",,,,,"47.33"," ,7",,,,,,,,
