"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000OBAL","BALD MOUNTAIN OREGON, OR US","43.5556","-118.4042","1670.3","2019","373",,,,,,"6","U,0207,+",,,,,,,"91","U,0804, ","7371","2",,,,,"45.4","U","54.2","U","36.6","U"
"USC00354622","LA GRANDE, OR US","45.3167","-118.0747","839.7","2019","483",,,,,,"1","7,0208,+",,,,,,,"98","7,0830, ",,,,,,,"48.9","7","61.4","7","36.4","7"
"USC00350265","ARLINGTON, OR US","45.7212","-120.2064","84.4","2019","949",,,,,,"7","7,0305, ",,,,,"0.54"," ,7,0119, ","103","7,0808, ","5104","6","9.15"," ,7",,,"52.8","7","62.4","7","43.1","7"
"USC00350145","ALSEA FH FALL CREEK, OR US","44.4044","-123.7533","70.1","2019","32",,,,,,"23","7,1201,+",,,,,"2.60"," ,7,0407, ","91","7,0613, ","5558","0","70.07"," ,7",,,"49.4","7","58.6","7","40.2","7"
"USR0000OFIS","FISH FIN RIM OREGON, OR US","42.4722","-119.1783","1493.5","2019","423",,,,,,"-3","U,1129, ",,,,,,,"96","U,0805, ","6669","9",,,,,"47.2","U","60.3","U","34.2","U"
"US1ORMN0060","KEIZER 1.4 SSW, OR US","44.986689","-123.034049","43.3","2019",,,,,,,,,,,,,"1.50"," ,N,0407, ",,,,,"31.88"," ,N",,,,,,,,
"USC00353770","HEADWORKS PORTLAND WATER B, OR US","45.4486","-122.1547","228.0","2019","149",,"        1",,"         4","7","22","7,0210, ","1"," ,7,0306, ","3.0"," ,7,0209, ","1.45"," ,7,0118, ","100","7,0828,+","5171","7","58.16"," ,7","8.5"," ,7","50.7","7","57.5","7","43.8","7"
"USS0020G12S","CRAZYMAN FLAT, OR US","42.64","-120.95","1883.7","2019","0",,"      163",,,,"-16","T,0222, ","72"," ,T,0309,+",,,"1.50"," ,T,0225, ","85","T,0827, ","9067","4","34.93"," ,T",,,"39.9","T","55.1","T","24.7","T"
"USR0000OBAS","BASQUE HILLS OREGON, OR US","42.2547","-118.9792","1548.4","2019","576",,,,,,"7","U,1128, ",,,,,,,"95","U,0828,+","6302","9",,,,,"48.7","U","59.1","U","38.4","U"
"US1ORJS0024","CAVE JUNCTION 0.4 ENE, OR US","42.170737","-123.637524","424.3","2019",,,,,,,,,,,,,"3.84"," ,N,0120, ",,,,,"58.36"," ,N",,,,,,,,
"USC00352325","DILLEY 2 S, OR US","45.4633","-123.1135","59.1","2019",,,"        1",,"         3","7",,,"1"," ,7,0210, ","2.1"," ,7,0210, ","3.02"," ,7,0212, ",,,,,"32.31"," ,7","5.2"," ,7",,,,,,
"USR0000OVIL","VILLAGE CREEK OREGON, OR US","44.2525","-123.4639","457.2","2019","270",,,,,,"20","U,0304, ",,,,,,,"96","U,0827,+","4817","3",,,,,"51.9","U","60.7","U","43.2","U"
"US1ORJS0017","MERLIN 1.7 N, OR US","42.542016","-123.426328","324.6","2019",,,,,,,,,,,,,"2.62"," ,N,0120, ",,,,,"41.21"," ,N",,,,,,,,
"USS0021G17S","SUN PASS, OR US","42.79","-121.98","1645.9","2019","17",,"      161",,,,"7","T,0222, ","89"," ,T,0227,+",,,"2.50"," ,T,0119, ","85","T,0827, ","7682","6","41.03"," ,T",,,"43.3","T","53.9","T","32.7","T"
"US1ORJS0016","GRANTS PASS 9.5 W, OR US","42.4489","-123.5106","342.0","2019",,,,,,,,,,,,,"3.70"," ,N,0225, ",,,,,"50.05"," ,N",,,,,,,,
"US1ORLA0038","SPRINGFIELD 8.3 NNE, OR US","44.1603","-122.9017","186.5","2019",,,,,,,,,,,,,"2.08"," ,N,0408, ",,,,,"51.50"," ,N",,,,,,,,
"US1ORLA0036","CRESWELL 0.4 SE, OR US","43.9147","-123.0119","165.5","2019",,,,,,,,,,,,,"2.43"," ,N,0407, ",,,,,"39.24"," ,N",,,,,,,,
"USR0000OFIE","FIELDS OREGON, OR US","43.6806","-122.3019","1028.1","2019","185",,,,,,"16","U,0210, ",,,,,,,"96","U,0827, ","5519","1",,,,,"49.9","U","59.5","U","40.4","U"
"US1ORJS0018","APPLEGATE 8.3 SSW, OR US","42.139896","-123.236251","711.4","2019",,,,,,,,,,,,,"2.45"," ,N,0120, ",,,,,"40.04"," ,N",,,,,,,,
"USR0000OBAD","BADGER CREEK OREGON, OR US","44.03","-120.4","1731.3","2019","114",,,,,,"4","U,0210,+",,,,,,,"90","U,0828, ","8023","2",,,,,"42.8","U","53.2","U","32.4","U"
"USR0000OFIN","FINELY NWR OREGON, OR US","44.4183","-123.3253","93.9","2019","314",,,,,,"20","U,1130, ",,,,,,,"99","U,0827, ","4636","5",,,,,"52.9","U","63.0","U","42.8","U"
"USC00353542","GRIZZLY, OR US","44.5175","-120.9389","1107.9","2019",,,,,,,"0","H,0227,+",,,,,,,"96","H,0808, ",,,,,,,"45.1","H","59.8","H","30.4","H"
"USS0019F01S","SNOW MOUNTAIN, OR US","43.95","-119.54","1898.9","2019","23",,,,,,"2","T,0207, ",,,,,"1.10"," ,T,0519, ","85","T,0828, ","8976","6","30.75"," ,T",,,"40.0","T","49.3","T","30.8","T"
"USC00352693","ESTACADA 2 SE, OR US","45.2695","-122.3168","156.7","2019","310",,,,,,"22","7,0208,+",,,,,"1.49"," ,7,0408,+","101","7,0828, ",,,"40.81"," ,7",,,"53.1","7","63.5","7","42.8","7"
"US1ORJS0010","GRANTS PASS 6.1 SSE, OR US","42.35725","-123.2899667","489.5","2019",,,,,,,,,,,,,"2.68"," ,N,0120, ",,,,,"35.24"," ,N",,,,,,,,
