"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1PABR0002","READING 3.5 SW, PA US","40.316251","-75.988661","97.5","2019",,,"       22",,"         8","N",,,"6"," ,N,0304, ","5.4"," ,N,0304, ","4.60"," ,N,0620, ",,,,,"66.60"," ,N","24.4"," ,N",,,,,,
"USC00361838","COWANESQUE DAM, PA US","41.99059","-77.15655","350.5","2019","407",,"       47",,"         8","7","-18","7,0123,+","10"," ,7,0121, ","8.0"," ,7,1202,+","2.00"," ,7,0912, ","89","7,0722,+","6949","7","42.30"," ,7","36.2"," ,7","46.9","7","57.1","7","36.7","7"
"USC00360868","BRADFORD 4 SW RES 5, PA US","41.89801","-78.71431","506.0","2019","310",,"       89",,"        28","7","-15","7,0201, ","14"," ,7,0120, ","9.3"," ,7,0120, ","1.78"," ,7,0510, ","89","7,0711, ","7344","8","54.41"," ,7","59.6"," ,7","45.5","7","56.4","7","34.7","7"
"US1PABR0008","READING 1.2 SW, PA US","40.3277","-75.9432","64.0","2019",,,,,,,,,,,,,"4.66"," ,N,0620, ",,,,,"65.47"," ,N",,,,,,,,
"US1PAJF0003","BROOKVILLE 5.3 SSW, PA US","41.0871619731188","-79.1032395511866","460.6","2019",,,,,,,,,,,,,"1.98"," ,N,1101, ",,,,,"50.37"," ,N",,,,,,,,
"USC00367931","SELINSGROVE 2 S, PA US","40.7831","-76.8617","128.0","2019","844",,"       26",,"         6","7","-6","7,0201, ","4"," ,7,0304,+","4.3"," ,7,0120, ","1.70"," ,7,0322, ","97","7,0722, ","5864","6","43.86"," ,7","21.7"," ,7","51.1","7","61.3","7","40.9","7"
"USC00368469","STEVENSON DAM, PA US","41.4039","-78.0183","284.1","2019","420",,"       48",,"         9","7","-8","7,0201,+","6"," ,7,0304,+","4.7"," ,7,0120, ","2.13"," ,7,0621, ","90","7,0721, ","6827","0","54.74"," ,7","24.3"," ,7","47.4","7","58.0","7","36.8","7"
"USR0000PALL","ALLEGHENY PENNSYLVANIA, PA US","41.4864","-79.1025","539.5","2019","394",,,,,,"-16","U,0131, ",,,,,,,"89","U,0721,+","6483","6",,,,,"47.8","U","58.7","U","36.9","U"
"USC00366289","NEW PARK, PA US","39.73427","-76.50399","243.8","2019",,,,,,,,,,,,,"2.30"," ,7,0722, ",,,,,"49.39"," ,7",,,,,,,,
"USW00014736","ALTOONA BLAIR CO AIRPORT, PA US","40.29639","-78.32028","451.1","2019","738",,,,,,"-4","W,0131, ",,,,,"1.59"," ,W,0528, ","92","W,0721,+","5728","1","39.15"," ,W",,,"51.4","W","60.6","W","42.2","W"
