"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1RIKN0002","EAST GREENWICH 2.3 ESE, RI US","41.662511","-71.415929","8.8","2009",,,,,,,,,,,,,"2.62"," ,N,0724, ",,,,,"55.09"," ,N",,,,,,,,
"US1RIPR0014","WOONSOCKET 1.3 ESE, RI US","41.9913","-71.4784","107.9","2009",,,"       67",,"        14","N",,,"13"," ,N,1221, ","10.8"," ,N,1220, ","3.15"," ,N,0724, ",,,,,"57.39"," ,N","57.8"," ,N",,,,,,
"US1RIWS0009","CHARLESTOWN 3.9 NNW, RI US","41.4412","-71.6552","51.8","2009",,,,,,,,,,,,,"3.87"," ,N,0702, ",,,,,"60.22"," ,N",,,,,,,,
"US1RIKN0001","COVENTRY CENTER, RI US","41.673","-71.617","118.0","2009",,,,,,,,,,,,,"2.77"," ,N,0702, ",,,,,"63.20"," ,N",,,,,,,,
"US1RIPR0010","WOONSOCKET 0.3 W, RI US","41.999303","-71.506984","75.6","2009",,,,,,,,,,,,,"2.78"," ,N,0724, ",,,,,"54.07"," ,N",,,,,,,,
"USC00374266","KINGSTON, RI US","41.4903","-71.543","35.7","2009","516",,"       54",,"        12","0","-7","0,0116, ","17"," ,0,1220, ","17.7"," ,0,1220, ","4.61"," ,0,0724, ","90","0,0823,+","5778","3","59.62"," ,0","50.7"," ,0","50.6","0","61.1","0","40.1","0"
"USC00379423","WOONSOCKET, RI US","41.9844","-71.4907","33.5","2009","456",,"       65",,"        10","0","-4","0,0116, ","16"," ,0,1221, ","9.0"," ,0,0119, ","2.50"," ,0,0724, ","92","0,0819,+","6211","5","54.51"," ,0","39.1"," ,0","49.3","0","59.2","0","39.4","0"
"USW00014765","PROVIDENCE, RI US","41.7225","-71.4325","16.8","2009","566",,"       42",,"        13","0","1","0,0125, ","14"," ,0,1221, ","14.3"," ,0,1220, ","2.13"," ,0,1114, ","94","0,0818, ","5825","3","54.89"," ,0","52.1"," ,0","50.7","0","59.0","0","42.5","0"
"USW00014787","NEWPORT STATE AIRPORT, RI US","41.53333","-71.28333","52.4","2009","434",,,,,,"6","W,0116, ",,,,,"2.66"," ,W,0829, ","89","W,0811, ","5655","9","42.33"," ,W",,,"50.6","W","57.8","W","43.5","W"
"USC00377581","TIVERTON, RI US","41.6268","-71.2093","27.4","2009","692",,"        2",,"        12","0","5","0,0117, ","2"," ,0,0301, ","12.0"," ,0,1220, ","2.74"," ,0,0829, ","96","0,0818,+","5644","4","52.56"," ,0","47.5"," ,0","51.2","0","60.1","0","42.3","0"
"US1RIPR0007","CRANSTON 1.9 E, RI US","41.765267","-71.444802","7.0","2009",,,,,,,,,,,,,"3.17"," ,N,0724, ",,,,,"59.38"," ,N",,,,,,,,
"USW00054796","KINGSTON 1 NW, RI US","41.4911","-71.5413","35.1","2009","319",,,,,,"-6","R,0116, ",,,,,"2.93"," ,R,0724, ","88","R,0818, ","6303","8","59.33"," ,R",,,"48.4","R","57.4","R","39.5","R"
"USW00054797","KINGSTON 1 W, RI US","41.4782","-71.5417","32.3","2009","336",,,,,,"-7","R,0116, ",,,,,"2.89"," ,R,0724, ","90","R,0818, ","6415","1","58.98"," ,R",,,"48.3","R","57.7","R","39.0","R"
"USC00375270","NORTH FOSTER 1 E, RI US","41.8564","-71.7333","192.0","2009","377",,"       77",,"        15","0","-3","0,0117,+","16"," ,0,1220, ","15.1"," ,0,1220, ","2.71"," ,0,0724, ","88","0,0818,+","6500","4","53.11"," ,0","68.0"," ,0","48.2","0","57.0","0","39.3","0"
"USW00014794","WESTERLY STATE AIRPORT, RI US","41.34972","-71.79889","24.7","2009","443",,,,,,"-8","W,0116, ",,,,,"5.21"," ,W,0701, ","90","W,0811, ","5887","6","49.16"," ,W",,,"50.1","W","58.3","W","42.0","W"
"US1RINW0004","MIDDLETOWN 1.1 SW, RI US","41.530757","-71.299749","31.1","2009",,,,,,,,,,,,,"2.81"," ,N,0830, ",,,,,"49.51"," ,N",,,,,,,,
