"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094085","PIERRE 24 S, SD US","44.0194","-100.353","647.4","2008","627",,,,,,"-14","R,1214, ",,,,,"1.83"," ,R,0625, ","98","R,0830, ","7463","1","21.47"," ,R",,,"45.6","R","57.3","R","34.0","R"
"USR0000SRED","RED CANYON SOUTH DAKOTA, SD US","43.4258","-103.7589","1415.5","2008","670",,,,,,"-20","U,1215, ",,,,,,,"99","U,0801, ","6842","2",,,,,"47.5","U","58.9","U","36.1","U"
"USW00094081","BUFFALO 13 ESE, SD US","45.516","-103.3017","878.7","2008","353",,,,,,"-23","R,0119, ",,,,,"2.88"," ,R,0501, ","101","R,0830, ","8709","1","18.82"," ,R",,,"41.3","R","55.3","R","27.3","R"
"US1SDBR0009","ABERDEEN 1.5 SW, SD US","45.470023","-98.480901","398.1","2008",,,,,"        11","N",,,,,"10.8"," ,N,0321, ","2.78"," ,N,0719, ",,,,,"25.42"," ,N","43.5"," ,N",,,,,,
"USC00394516","KENNEBEC, SD US","43.9024","-99.8582","512.4","2008","711",,"       26",,"        15","0","-16","0,0124, ","3"," ,0,1224,+","3.0"," ,0,1107,+","2.22"," ,0,0605, ","98","0,0731,+","6994","4","20.35"," ,0","27.6"," ,0","46.7","0","60.4","0","33.1","0"
"USC00393302","GETTYSBURG 13 W, SD US","45.0136","-100.2175","568.5","2008",,,,,"        13","0",,,,,"9.0"," ,0,0327, ",,,,,,,,,"38.8"," ,0",,,,,,
"USC00395048","LUDLOW 3 SSE, SD US","45.7849","-103.3719","911.4","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","44.04584","-103.05443","963.2","2008","463",,"       49",,"        19","0","-19","0,1215, ","8"," ,0,1107,+","11.0"," ,0,0502, ","2.09"," ,0,0522, ","99","0,0831,+","7427","4","20.56"," ,0","54.6"," ,0","45.0","0","58.2","0","31.7","0"
"USC00395281","MARTIN, SD US","43.1802","-101.7386","1015.0","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094990","WINNER WILEY FIELD, SD US","43.39056","-99.84222","619.4","2008","807",,,,,,"-13","W,1215, ",,,,,"2.76"," ,W,0605, ","100","W,0730, ","6811","9","18.71"," ,W",,,"47.7","W","59.3","W","36.1","W"
"USW00094993","SISSETON MUNICIPAL AIRPORT, SD US","45.66889","-96.99139","353.9","2008","425",,,,,,"-23","W,0220, ",,,,,"2.14"," ,W,0611, ","93","W,0711, ","8537","8","24.63"," ,W",,,"41.7","W","52.8","W","30.6","W"
"USC00397007","RAYMOND 3 NE, SD US","44.9438","-97.9247","452.6","2008",,,,,"         3","0",,,,,"3.0"," ,0,1209, ","4.57"," ,0,0902, ",,,,,"22.83"," ,0","6.0"," ,0",,,,,,
"USC00392209","DEADWOOD 2 NE, SD US","44.39","-103.7005","1405.7","2008","268",,"      165",,"        48","0","-22","0,1215, ","35"," ,0,1106, ","33.4"," ,0,1106, ","3.10"," ,0,0605, ","94","0,0830, ","7774","8","45.21"," ,0","244.8"," ,0","43.5","0","55.3","0","31.6","0"
"USR0000SBEA","BEAR CREEK SOUTH DAKOTA, SD US","45.0572","-101.4767","698.0","2008","560",,,,,,"-18","U,1215, ",,,,,,,"99","U,0831,+","7872","2",,,,,"43.9","U","56.6","U","31.2","U"
"USC00392446","DUPREE 15 SSE, SD US","44.8658","-101.4672","640.1","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
