"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00380074","AIKEN 5 SE, SC US","33.4925","-81.69583","150.0","2008",,,,,,,,,,,,,,,,,"2253","9",,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2008","2285",,"        0",,"         0","0","19","0,0104, ","0"," ,0,1231,+","0.0","T,0,0419, ","6.57"," ,0,1024, ","100","0,0806, ","1619","2","47.35"," ,0","0.0","T,0","66.2","0","76.6","0","55.7","0"
"USC00387666","SANDHILL RESEARCH ELGIN, SC US","34.13112","-80.86852","134.1","2008","1969",,"        0",,"         0","0","18","0,0121, ","0"," ,0,1231,+","0.0"," ,0,1231,+","2.00"," ,0,1211, ","102","0,0807,+","2193","1","44.97"," ,0","0.0"," ,0","63.6","0","74.9","0","52.2","0"
"USC00389327","WINNSBORO, SC US","34.3706","-81.0825","161.5","2008","1818",,"        0",,"         0","0","16","0,0121, ","0"," ,0,1231,+","0.0"," ,0,1231,+","1.97"," ,0,1211, ","102","0,0610, ",,,"44.08"," ,0","0.0"," ,0","61.9","0","73.2","0","50.6","0"
"USC00386616","PAGELAND, SC US","34.76056","-80.37278","158.5","2008","1867",,"        0",,"         0","0","13","0,0121,+","0"," ,0,1231,+","0.0"," ,0,1231,+","1.90"," ,0,0826, ","102","0,0807,+","2843","2","43.43"," ,0","0.0"," ,0","62.5","0","74.5","0","50.4","0"
"USW00013886","GREENVILLE DOWNTOWN AIRPORT, SC US","34.84611","-82.34611","319.4","2008","1802",,,,,,"17","W,0121,+",,,,,"2.97"," ,W,0826, ","106","W,0713, ","2754","2","31.36"," ,W",,,"61.6","W","72.0","W","51.2","W"
"USC00380635","BENNETTSVILLE, SC US","34.6488","-79.6822","33.5","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","3.93"," ,0,0906, ",,,,,"55.21"," ,0","0.0"," ,0",,,,,,
"USW00013883","COLUMBIA METROPOLITAN AIRPORT, SC US","33.94228","-81.11803","68.6","2008","2041",,"        0",,"         0","0","16","0,0104, ","0"," ,0,1231,+","0.3"," ,0,0116, ","1.96"," ,0,0825, ","102","0,0806, ","2181","6","44.30"," ,0","0.3"," ,0","63.9","0","75.2","0","52.6","0"
"USC00381277","CALHOUN FALLS, SC US","34.0905","-82.5883","161.5","2008","1714",,"        0",,"         0","0","14","0,0104, ","0"," ,0,1231,+","0.0"," ,0,1231,+","3.40"," ,0,0706, ","102","0,0807, ","2879","5","41.58"," ,0","0.0"," ,0","61.1","0","73.2","0","49.0","0"
"USC00380184","ANDREWS, SC US","33.4408","-79.5672","10.7","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","3.97"," ,0,1025, ",,,,,"52.61"," ,0","0.0"," ,0",,,,,,
