"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1TNLC0006","FAYETTEVILLE 7.9 WNW, TN US","35.202825","-86.777736","224.9","2009",,,,,,,,,,,,,"2.88"," ,N,0729, ",,,,,"63.96"," ,N",,,,,,,,
"USC00406271","MORRISTOWN RADIO WCRK, TN US","36.2067","-83.3325","409.7","2009",,,,,"         5","0",,,,,"3.5"," ,0,1219, ","3.58"," ,0,0927, ","92","0,0811, ",,,"59.01"," ,0","10.6"," ,0",,,"67.9","0",,
"USC00408450","SOMERVILLE 10 N, TN US","35.3884","-89.3717","112.8","2009",,,"        5",,"         1","0",,,"10"," ,0,0301, ","10.0"," ,0,0301, ","2.54"," ,0,0731, ",,,,,"57.61"," ,0","10.6"," ,0",,,,,,
"US1TNMA0003","JASPER 1.7 N, TN US","35.0841","-85.6289","199.0","2009",,,,,,,,,,,,,,,,,,,"64.92"," ,N",,,,,,,,
"US1TNMT0041","CLARKSVILLE 3.3 SSE, TN US","36.516009","-87.327041","164.9","2009",,,,,,,,,,,,,"5.00"," ,N,0509, ",,,,,"63.95"," ,N",,,,,,,,
"USC00406272","MORRISTOWN WEATHER FORECAST OFFICE, TN US","36.1682","-83.4027","402.3","2009","1048",,"        5",,"         7","0","4","0,0116, ","2"," ,0,1218,+","2.0"," ,0,1219,+","3.36"," ,0,0926, ","89","0,0627, ","4012","1","59.25"," ,0","13.5"," ,0","56.9","0","65.8","0","48.1","0"
"US1TNMA0005","WHITWELL 0.4 NNE, TN US","35.206334","-85.514757","216.1","2009",,,,,,,,,,,,,"2.80"," ,N,0917, ",,,,,"66.69"," ,N",,,,,,,,
"USC00404771","KENTON, TN US","36.1946","-89.0117","93.0","2009",,,"        1",,"         0","0",,,"1"," ,0,0128, ","0.0","T,0,0127, ","5.50"," ,0,0502, ",,,,,"61.23"," ,0","0.0","T,0",,,,,,
"USC00407369","PORT ROYAL, TN US","36.5342","-87.2195","155.4","2009",,,"        1",,"         1","0",,,"1"," ,0,0313, ","1.0"," ,0,0313, ","3.40"," ,0,0128, ",,,,,"53.12"," ,0","1.3"," ,0",,,,,,
"US1TNRB0001","RIDGETOP 3.8 SW, TN US","36.365004","-86.828682","263.0","2009",,,,,,,,,,,,,"3.32"," ,N,0502, ",,,,,"62.83"," ,N",,,,,,,,
"US1TNML0007","CORNERSVILLE 3.3 SSW, TN US","35.318334","-86.872815","235.0","2009",,,,,,,,,,,,,"2.87"," ,N,0713, ",,,,,"59.41"," ,N",,,,,,,,
"USC00406274","MOSCOW, TN US","35.0711","-89.4117","102.1","2009","1569",,"        3",,"         2","0","8","0,0116,+","4"," ,0,0302, ","2.0"," ,0,0302,+","2.52"," ,0,0713, ","96","0,0628,+","3208","2","71.17"," ,0","4.9"," ,0","60.2","0","70.9","0","49.4","0"
"US1TNLC0005","FAYETTEVILLE 5.9 W, TN US","35.1625","-86.6683","249.9","2009",,,,,,,,,,,,,"3.08"," ,N,0705, ",,,,,"60.91"," ,N",,,,,,,,
"USC00405187","LEWISBURG EXPERIMENTAL STATION, TN US","35.414","-86.8086","239.9","2009","1253",,,,"         0","0","4","0,0117,+",,,"0.0"," ,0,1231,+","3.75"," ,0,0502, ","97","0,0627,+","4118","8","56.26"," ,0","0.0"," ,0","57.1","0","69.3","0","44.8","0"
"USC00402589","DOVER 1 W, TN US","36.48194","-87.86278","144.8","2009",,,"        0",,"         0","0",,,"0","T,0,0313,+","0.5"," ,0,0313, ",,,,,,,"61.31"," ,0","0.5"," ,0",,,,,,
"USC00403679","GREENEVILLE EXPERIMENTAL STATION, TN US","36.1056","-82.8436","402.3","2009","971",,"        5",,"         3","0","4","0,0117,+","2"," ,0,0205,+","1.5"," ,0,0204, ",,,"91","0,0628, ","4251","6",,,"4.3"," ,0","56.0","0","67.6","0","44.4","0"
"USW00013882","CHATTANOOGA AIRPORT, TN US","35.03362","-85.20044","204.2","2009","1781",,"        0",,"         0","0","9","0,0116, ","0"," ,0,1231,+","0.7"," ,0,1205, ","3.79"," ,0,0106, ","98","0,0628,+","3211","9","62.62"," ,0","0.7"," ,0","61.0","0","71.0","0","51.1","0"
"US1TNML0004","LEWISBURG 6.2 SSE, TN US","35.369576","-86.731447","289.9","2009",,,,,,,,,,,,,"3.64"," ,N,0502, ",,,,,"55.70"," ,N",,,,,,,,
"USC00402108","COVINGTON 3 SW, TN US","35.5497","-89.7","117.3","2009","1379",,,,"         2","0","7","0,0117,+",,,"14.0"," ,0,0301, ","2.27"," ,0,0717, ","96","0,0628,+","3939","4","63.49"," ,0","16.0"," ,0","58.2","0","67.7","0","48.7","0"
"USC00400049","ALAMO 1 N, TN US","35.7977","-89.1176","100.6","2009","1480",,,,"         2","0","8","0,0116, ",,,"6.0"," ,0,0301, ","4.53"," ,0,0731, ","97","0,0623, ","3821","8","54.63"," ,0","7.0"," ,0","58.7","0","68.0","0","49.4","0"
"USC00406829","ONEIDA, TN US","36.5027","-84.5308","438.9","2009","663",,"        0",,"         2","0","-1","0,0116, ","0"," ,0,1231,+","1.0"," ,0,0203,+","3.75"," ,0,0504, ","90","0,0624, ","4561","9","71.65"," ,0","3.3"," ,0","53.9","0","65.3","0","42.5","0"
"US1TNAN0008","NORRIS 0.6 NW, TN US","36.1997","-84.0765","353.0","2009",,,,,,,,,,,,,,,,,,,"63.91"," ,N",,,,,,,,
"US1TNBL0002","PIKEVILLE 7.5 SW, TN US","35.54419","-85.30465","637.0","2009",,,,,,,,,,,,,"2.70"," ,N,0921, ",,,,,"60.93"," ,N",,,,,,,,
"USC00407359","PORTLAND SEWAGE PLANT, TN US","36.5877","-86.5258","242.0","2009","1323",,"        0",,"         1","0","2","0,0117, ","0"," ,0,1231,+","1.0"," ,0,0119, ","3.81"," ,0,0128, ","94","0,0628,+","4232","0","60.67"," ,0","1.0"," ,0","57.1","0","66.2","0","48.0","0"
"US1TNLC0011","ARDMORE 10.8 E, TN US","35.012355","-86.666785","278.0","2009",,,,,,,,,,,,,"3.58"," ,N,1209, ",,,,,"68.25"," ,N",,,,,,,,
"USC00408445","SODDY DAISY MOWBRAY MOUNTAIN, TN US","35.2802","-85.2414","518.2","2009","865",,"        2",,"         2","0","6","0,0205,+","1"," ,0,0203,+","2.0"," ,0,1205, ","3.65"," ,0,1209, ","90","0,0628, ","4075","0","71.51"," ,0","4.2"," ,0","55.1","0","64.7","0","45.5","0"
"US1TNLC0012","FAYETTEVILLE 8.6 S, TN US","35.026","-86.554","280.1","2009",,,,,,,,,,,,,"2.84"," ,N,1209, ",,,,,"59.41"," ,N",,,,,,,,
"US1TNMS0001","TEN MILE 2.2 NW, TN US","35.68447","-84.70573","238.0","2009",,,,,,,,,,,,,"3.81"," ,N,1209, ",,,,,"57.74"," ,N",,,,,,,,
