"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00412950","ESCOBAS, TX US","27.0267","-98.9808","125.0","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+",,,"106","0,0524, ",,,,,"0.0"," ,0",,,"85.2","0",,
"USW00003951","LONGVIEW 11 SE, TX US","32.3466","-94.6533","124.1","2008","2375",,"        1",,"         0","0","22","0,0103, ","1"," ,0,0307, ","0.8"," ,0,0307, ","3.80"," ,0,0812, ","103","0,0804,+","2044","5","52.96"," ,0","0.8"," ,0","65.5","0","76.3","0","54.7","0"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","2008",,,"        1",,"         1","0",,,"2"," ,0,0308, ","1.5"," ,0,0308, ","5.54"," ,0,0331, ",,,"2091","6","48.98"," ,0","1.6"," ,0",,,,,,
"USC00410655","BELLVILLE 6 NNE, TX US","30.0316","-96.2166","85.3","2008",,,,,"         0","0",,,,,"0.0"," ,0,1231,+","4.21"," ,0,1112, ",,,,,"33.44"," ,0","0.0"," ,0",,,,,,
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00413926","HAPPY 4 NW, TX US","34.7861","-101.8953","1126.8","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","2.50"," ,0,0621, ",,,,,"18.49"," ,0","0.0"," ,0",,,,,,
"USC00411625","CHALK MOUNTAIN, TX US","32.1561","-97.9369","345.3","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","2.87"," ,0,0423, ",,,,,"22.78"," ,0","0.0"," ,0",,,,,,
"USC00417172","PORT ARTHUR CITY, TX US","29.9044","-93.9708","1.5","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","5.00"," ,0,0913, ",,,,,"46.93"," ,0","0.0"," ,0",,,,,,
"USC00419593","WEST, TX US","31.8112","-97.0796","196.6","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","3.36"," ,0,0514, ",,,,,"26.32"," ,0","0.0"," ,0",,,,,,
"US1TXGP0014","NEW BERLIN 6.7 SE, TX US","29.40624","-98.01159","185.3","2008",,,,,,,,,,,,,"2.25"," ,N,0725, ",,,,,"14.27"," ,N",,,,,,,,
"USC00417170","PORT ARANSAS, TX US","27.8381","-97.0593","3.7","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","4.50"," ,0,0723, ",,,,,"28.31"," ,0","0.0"," ,0",,,,,,
"USC00417179","PORT ISABEL, TX US","26.0941","-97.3094","5.2","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+",,,,,"420","2",,,"0.0"," ,0",,,,,,
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","4.10"," ,0,0629, ",,,,,"15.13"," ,0","0.0"," ,0",,,,,,
"USC00411990","COPPERAS COVE 5 NW, TX US","31.1602","-97.9563","374.9","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","4.00"," ,0,1015, ",,,,,"20.63"," ,0","0.0"," ,0",,,,,,
"US1TXCML004","NEW BRAUNFELS 2.4 SSW, TX US","29.670093","-98.127538","202.7","2008",,,,,,,,,,,,,"4.48"," ,N,0725, ",,,,,"18.27"," ,N",,,,,,,,
"USC00411875","COLEMAN, TX US","31.82766","-99.43192","523.6","2008","2497",,"        0",,"         0","0","19","0,1217, ","0","T,0,0307,+","0.1"," ,0,0307, ","1.88"," ,0,0318, ","108","0,0729, ","2247","4","18.24"," ,0","0.1"," ,0","65.6","0","79.6","0","51.6","0"
"US1TXCML009","NEW BRAUNFELS 7.0 NNE, TX US","29.79541","-98.06798","253.9","2008",,,,,,,,,,,,,"1.51"," ,N,0817, ",,,,,"15.11"," ,N",,,,,,,,
"USC00410305","ARANSAS WILDLIFE REFUGE, TX US","28.30806","-96.80472","4.6","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","3.31"," ,0,0819, ",,,,,"25.87"," ,0","0.0"," ,0",,,,,,
"USC00414903","LA GRANGE, TX US","29.9176","-96.8769","108.8","2008","3106",,"        0",,"         0","0","24","0,0102, ","0"," ,0,1231,+","0.0"," ,0,1231,+","2.70"," ,0,0216, ","103","0,0715, ","1528","1","27.16"," ,0","0.0"," ,0","69.0","0","81.4","0","56.7","0"
"US1TXWM0009","ROUND ROCK 3.6 ENE, TX US","30.5486","-97.6261","216.1","2008",,,,,,,,,,,,,"3.77"," ,N,0515, ",,,,,"19.96"," ,N",,,,,,,,
"US1TXGP0007","MARION 2.2 SSW, TX US","29.5435","-98.1573","194.5","2008",,,,,,,,,,,,,"4.11"," ,N,0819, ",,,,,"18.15"," ,N",,,,,,,,
"USC00419361","VICTORIA FIRE DEPARTMENT NUMBER 5, TX US","28.8608","-97.0181","30.8","2008","2899",,"        0",,"         0","0","27","0,0103,+","0"," ,0,1231,+","0.0"," ,0,1231,+","3.30"," ,0,0307, ","99","0,0903,+","1113","3","27.58"," ,0","0.0"," ,0","69.6","0","81.3","0","58.0","0"
"USC00417183","PORT LAVACA, TX US","28.6079","-96.6416","5.5","2008",,,,,,,,,,,,,,,,,"822","5",,,,,,,,,,
"USC00417184","PORT MANSFIELD, TX US","26.5577","-97.4263","2.7","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","3.51"," ,0,0724, ",,,"533","9","25.53"," ,0","0.0"," ,0",,,,,,
"USC00418274","SHERMAN, TX US","33.7033","-96.6419","231.6","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","4.50"," ,0,0306, ",,,,,"36.80"," ,0","0.0"," ,0",,,,,,
"USC00417060","PITCHFORK RANCH, TX US","33.5992","-100.5319","592.8","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","1.85"," ,0,1014,+",,,,,"20.43"," ,0","0.0"," ,0",,,,,,
"USC00419007","THREE RIVERS 8 NE, TX US","28.5816","-98.1444","76.2","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","3.84"," ,0,0724, ",,,,,"13.46"," ,0","0.0"," ,0",,,,,,
"USC00417186","PORT O CONNOR, TX US","28.4342","-96.4277","1.5","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00417066","PITTSBURG 5 SSE, TX US","32.9263","-94.9392","111.3","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","3.25"," ,0,0812, ","105","0,0804, ",,,"48.26"," ,0","0.0"," ,0",,,"77.4","0",,
"USC00419001","THORNDALE, TX US","30.6146","-97.2085","144.8","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","2.72"," ,0,0820, ",,,,,"25.37"," ,0","0.0"," ,0",,,,,,
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2008",,,,,,,"26","U,0103,+",,,,,,,,,"1041","1",,,,,,,,,"59.8","U"
"USC00411880","COLETO CREEK RESERVOIR, TX US","28.7156","-97.1742","36.0","2008","3106",,"        0",,"         0","0","28","0,0201,+","0"," ,0,1231,+","0.0"," ,0,1231,+","1.50"," ,0,0307, ","103","0,0915,+","1165","3","16.05"," ,0","0.0"," ,0","70.2","0","82.2","0","58.1","0"
"USC00419004","THORNTON 1 SSE, TX US","31.3916","-96.5655","144.8","2008",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","5.18"," ,0,0819, ",,,,,"30.57"," ,0","0.0"," ,0",,,,,,
