"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00003951","LONGVIEW 11 SE, TX US","32.3466","-94.6533","124.1","2019",,,"        0",,"         0","7",,,"0"," ,7,1231,+","0.0"," ,7,1231,+","3.66"," ,7,0502, ",,,,,"49.08"," ,7","0.0"," ,7",,,,,,
"US1TXZV0015","CRYSTAL CITY 0.5 ESE, TX US","28.68591","-99.81848","184.1","2019",,,,,,,,,,,,,"2.17"," ,N,0531, ",,,,,"12.75"," ,N",,,,,,,,
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","2019","2443",,"        0",,"         0","7","17","7,0305, ","0"," ,7,1231,+","0.0"," ,7,1231,+","3.09"," ,7,0413, ","104","7,0828,+","2421","3","17.25"," ,7","0.0"," ,7","65.2","7","78.1","7","52.4","7"
"USC00419593","WEST, TX US","31.8112","-97.0796","196.6","2019",,,,,,,,,,,,,"2.90"," ,7,0407, ",,,,,"35.24"," ,7",,,,,,,,
"US1TXGP0014","NEW BERLIN 6.7 SE, TX US","29.40624","-98.01159","185.3","2019",,,,,,,,,,,,,"2.37"," ,N,0407, ",,,,,"23.26"," ,N",,,,,,,,
"US1TXWM0235","GEORGETOWN 10.2 W, TX US","30.63479","-97.857386","288.6","2019",,,,,,,,,,,,,"2.04"," ,N,0425, ",,,,,"31.30"," ,N",,,,,,,,
"USC00417170","PORT ARANSAS, TX US","27.8381","-97.0593","3.7","2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXFR0010","PEARSALL 21.1 WNW, TX US","29.05","-99.389","206.0","2019",,,,,,,,,,,,,"1.91"," ,N,0605, ",,,,,"16.98"," ,N",,,,,,,,
"USC00417176","PORT ARANSAS 11 SSW, TX US","27.6998","-97.158","1.8","2019","3561",,,,,,"33","7,1113, ",,,,,"3.80"," ,7,1221, ","95","7,0712, ","937","4","28.62"," ,7",,,"72.3","7","77.9","7","66.7","7"
"US1TXJJ0009","BEAUMONT 3.3 SW, TX US","30.052703","-94.181985","6.7","2019",,,,,,,,,,,,,"14.33"," ,N,0919, ",,,,,"92.28"," ,N",,,,,,,,
"USC00410781","BIG SPRING 5 NE, TX US","32.3738","-101.4177","791.3","2019",,,"        0",,"         0","7",,,"0"," ,7,1231,+","0.0"," ,7,1231,+","2.15"," ,7,0529, ",,,,,"15.36"," ,7","0.0"," ,7",,,,,,
"US1TXCML003","NEW BRAUNFELS 3.1 WNW, TX US","29.720969","-98.165542","252.1","2019",,,,,,,,,,,,,"2.79"," ,N,1025, ",,,,,"22.56"," ,N",,,,,,,,
"USC00410784","BIG SPRING FIELD STATION, TX US","32.2683","-101.4858","764.7","2019",,,"        0",,"         0","7",,,"0","T,7,0103, ","0.3"," ,7,0103, ","2.12"," ,7,1107, ",,,,,"19.09"," ,7","0.3"," ,7",,,,,,
"US1TXCML008","NEW BRAUNFELS 7.2 NW, TX US","29.77794","-98.203083","326.7","2019",,,,,,,,,,,,,"1.85"," ,N,1025, ",,,,,"23.26"," ,N",,,,,,,,
"USC00419361","VICTORIA FIRE DEPARTMENT NUMBER 5, TX US","28.8608","-97.0181","30.8","2019",,,"        0",,"         0","7",,,"0"," ,7,1231,+","0.0"," ,7,1231,+","2.10"," ,7,1016, ",,,,,"23.93"," ,7","0.0"," ,7",,,,,,
"USC00417184","PORT MANSFIELD, TX US","26.5577","-97.4263","2.7","2019",,,,,,,,,,,,,"2.53"," ,H,0625, ",,,,,"23.20"," ,H",,,,,,,,
"USC00418274","SHERMAN, TX US","33.7033","-96.6419","231.6","2019","2307",,,,,,"15","7,0304, ",,,,,"2.20"," ,7,1024, ","99","7,0812,+","3029","0","48.50"," ,7",,,"63.0","7","72.4","7","53.6","7"
"US1TXHDL046","MCALLEN 2.7 NNE, TX US","26.25268","-98.225176","35.1","2019",,,,,,,,,,,,,"2.65"," ,N,0625, ",,,,,"18.72"," ,N",,,,,,,,
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2019","3228",,,,,,"31","U,1113,+",,,,,,,"97","U,0814,+","1173","8",,,,,"70.6","U","79.3","U","62.0","U"
