"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00420336","ARCHES NATIONAL PARK HQS, UT US","38.6163","-109.6191","1247.5","2020",,,"       27",,"         7","7",,,"3"," ,7,0122,+","3.0"," ,7,0122, ","0.74"," ,7,0607, ",,,,,"3.89"," ,7","10.1"," ,7",,,,,,
"USR0000FTOP","FLATTOP MOUNTAIN CLEVELAND 1, UT US","39.3375","-110.6","1865.4","2020","1408",,,,,,"6","U,0107, ",,,,,,,"100","U,0819,+","5853","5",,,,,"53.5","U","64.5","U","42.5","U"
"USS0011K36S","REES FLAT, UT US","39.5","-111.73","2197.9","2020","82",,"      177",,,,"-11","T,0204, ","44"," ,T,0203, ",,,"0.80"," ,T,1217, ","91","T,0818,+","8461","8","14.07"," ,T",,,"42.6","T","58.2","T","27.1","T"
"USS0011K12S","MOUNT BALDY, UT US","39.14","-111.51","2893.8","2020","18",,"      217",,,,"-7","T,0205, ","79"," ,T,0329, ",,,"1.30"," ,T,0206, ","81","T,0818, ","9657","2","21.56"," ,T",,,"39.9","T","49.2","T","30.6","T"
"USC00428978","UTAH TEST RANGE, UT US","41.0498","-112.9367","1353.3","2020","1023",,"       20",,"         3","7","0","7,0204, ","4"," ,7,0205,+","5.0"," ,7,0203, ","0.90"," ,7,1011, ","101","7,0803,+","6542","6","6.23"," ,7","9.7"," ,7","50.8","7","65.0","7","36.6","7"
"USC00423600","HANS FLAT RANGER STATION, UT US","38.25495","-110.17991","2011.7","2020","1292",,"       54",,"         7","7","5","7,0205, ","9"," ,7,0102,+","4.8"," ,7,1229, ","0.73"," ,7,0328, ","97","7,0821,+","6088","3","5.14"," ,7","21.1"," ,7","52.4","7","62.1","7","42.7","7"
"USC00427408","ROSETTE, UT US","41.8187","-113.4134","1732.8","2020","726",,"       75",,"        13","7","5","7,1230,+","8"," ,7,0101, ","3.0"," ,7,1218,+","0.77"," ,7,0321, ","98","7,0802, ",,,"6.81"," ,7","28.0"," ,7","47.7","7","59.8","7","35.6","7"
"USS0011J70S","CASCADE MOUNTAIN, UT US","40.28","-111.61","2369.5","2020","338",,"      182",,,,"5","T,0204, ","52"," ,T,0216,+",,,"1.10"," ,T,1107,+","85","T,0802, ","7531","2","19.95"," ,T",,,"46.3","T","53.9","T","38.8","T"
"US1UTIR0005","CEDAR CITY 4.4 SW, UT US","37.6431","-113.1284","1738.9","2020",,,"       19",,"         9","N",,,"4"," ,N,0223,+","4.0"," ,N,0223, ","0.70"," ,N,0223, ",,,,,"6.74"," ,N","24.9"," ,N",,,,,,
"USS0010J23S","BUCK PASTURE, UT US","40.84","-110.66","2956.6","2020","0",,"      210",,,,"-30","T,0204, ","60"," ,T,0416,+",,,"1.30"," ,T,0606, ","80","T,0818,+","11672","7","22.82"," ,T",,,"33.9","T","49.4","T","18.4","T"
"USS0012M23S","MIDWAY VALLEY, UT US","37.57","-112.84","2987.0","2020","0",,"      196",,,,"-1","T,0204, ","87"," ,T,0323, ",,,"1.60"," ,T,0314, ","79","T,0818, ","9423","9","17.57"," ,T",,,"40.4","T","51.0","T","29.8","T"
"USS0010J35S","LILY LAKE, UT US","40.86","-110.8","2790.7","2020","4",,"      192",,,,"-13","T,0204, ","50"," ,T,0326, ",,,"1.20"," ,T,0606, ","80","T,0818, ","10082","2","18.13"," ,T",,,"38.6","T","50.4","T","26.8","T"
"USS0012M11S","YANKEE RESERVOIR, UT US","37.75","-112.78","2654.2","2020","93",,"      162",,,,"-8","T,0205, ","36"," ,T,0222, ",,,"0.80"," ,T,0222, ","84","T,0818, ","7899","2","11.08"," ,T",,,"44.7","T","55.9","T","33.5","T"
"USS0011H08S","BEN LOMOND PEAK, UT US","41.38","-111.94","2438.4","2020",,,"      203",,,,,,"78"," ,T,0325, ",,,"1.60"," ,T,0101, ",,,,,"27.45"," ,T",,,,,,,,
"USS0013M04S","LITTLE GRASSY, UT US","37.49","-113.85","1859.3","2020","796",,"       77",,,,"12","T,0205, ","8"," ,T,1109, ",,,"1.90"," ,T,0313, ","96","T,0818,+","5493","8","11.08"," ,T",,,"52.9","T","63.9","T","41.9","T"
"USC00429045","VALLEY OF THE GODS, UT US","37.2681","-109.9272","1611.5","2020","1945",,"        2",,"         2","7","17","7,1224, ","1"," ,7,1213,+","1.0"," ,7,1228,+","0.58"," ,7,0606, ","101","7,0819,+","4143","5","3.85"," ,7","3.0"," ,7","58.9","7","70.4","7","47.4","7"
"USC00429165","WANSHIP DAM, UT US","40.7908","-111.4077","1810.5","2020","329",,,,"        23","7","-8","7,0220, ",,,"5.0"," ,7,0326, ","0.60"," ,7,1217,+","98","7,0731, ","7533","9","9.13"," ,7","51.2"," ,7","45.9","7","61.9","7","29.9","7"
