"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00441955","CONCORD 4 SSW, VA US","37.2819","-78.9591","248.4","2008",,,"        4",,"         1","0",,,"1"," ,0,1207,+","1.0"," ,0,0118, ","3.91"," ,0,0509, ",,,,,"41.04"," ,0","3.3"," ,0",,,,,,
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","39.50932","-78.29739","292.0","2008",,,,,"         5","0",,,,,"3.0"," ,0,0222, ",,,,,,,"46.55"," ,0","11.0"," ,0",,,,,,
"USC00442245","DANVILLE 2 SE, VA US","36.56269","-79.36331","119.5","2008","1403",,"        1",,"         1","0","13","0,0122,+","2"," ,0,0214, ","2.0"," ,0,0214, ","4.62"," ,0,0828, ","100","0,0610,+","3502","5","42.43"," ,0","2.0"," ,0","58.5","0","70.0","0","47.0","0"
"USC00443213","FREE UNION, VA US","38.09079","-78.58937","179.8","2008",,,"        1",,"         1","0",,,"2"," ,0,0118, ","4.0"," ,0,0118, ",,,,,,,,,"4.0"," ,0",,,,,,
"USC00466212","MORGANTOWN LOCK AND DAM, WV US","39.6203","-79.9698","251.5","2008","610",,"        8",,"         3","0","5","0,0221, ","6"," ,0,0102, ","1.0"," ,0,1216,+","2.27"," ,0,0705, ","90","0,0613,+","5068","6","50.08"," ,0","4.3"," ,0","51.6","0","62.1","0","41.0","0"
"USC00467785","ROWLESBURG 1, WV US","39.3419","-79.6697","433.7","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00445756","MOUNTAIN GROVE, VA US","38.1025","-79.8871","541.0","2008",,,"        0",,"         0","0",,,"0","T,0,1231,+","0.3"," ,0,1119, ","1.80"," ,0,1212, ",,,,,"31.21"," ,0","0.3"," ,0",,,,,,
"USC00465002","LAKE LYNN, WV US","39.7204","-79.8561","274.3","2008",,,"        4",,"         2","0",,,"2"," ,0,0222, ","2.0"," ,0,0222, ","2.15"," ,0,0910, ",,,,,"48.33"," ,0","3.0"," ,0",,,,,,
"USC00465365","LONDON LOCKS, WV US","38.19345","-81.37007","192.6","2008",,,"        7",,"         0","0",,,"4"," ,0,0103, ","0.0"," ,0,1231,+",,,,,,,,,"0.0"," ,0",,,,,,
"USC00441159","BUENA VISTA, VA US","37.7268","-79.3629","256.0","2008",,,"        1",,"         0","0",,,"2"," ,0,0118, ","0.0"," ,0,1231,+","3.28"," ,0,0828, ",,,,,"32.59"," ,0","0.0"," ,0",,,,,,
"USC00440982","BREAKS INTERSTATE PARK, VA US","37.2889","-82.2928","577.0","2008","568",,,,"        12","0","5","0,0126,+",,,"3.5"," ,0,1121,+","1.70"," ,0,0320, ","93","0,0607, ","4628","4","44.40"," ,0","30.0"," ,0","52.5","0","64.2","0","40.9","0"
"USC00440860","BOSTON 4 SE, VA US","38.5459","-78.0981","179.8","2008","717",,"        1",,"         1","0","3","0,0121, ","3"," ,0,0118, ","2.6"," ,0,0118, ","3.51"," ,0,0907, ","95","0,0608, ",,,"42.63"," ,0","2.6"," ,0","53.2","0","65.0","0","41.4","0"
