"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00437612","SOUTH LINCOLN, VT US","44.0725","-72.9736","408.7","2007",,,"      140",,"        38","0",,,"34"," ,0,0215, ","22.0"," ,0,0215, ",,,,,,,,,"173.1"," ,0",,,,,,
"USC00434261","JEFFERSONVILLE, VT US","44.5843","-72.787","354.5","2007",,,"      145",,"        52","0",,,"33"," ,0,0216, ","16.0"," ,0,0215, ","1.97"," ,0,0215, ",,,,,"59.43"," ,0","175.8"," ,0",,,,,,
"USC00435273","MONTPELIER 2, VT US","44.2553","-72.6006","161.5","2007","457",,,,,,"-24","0,0308,+",,,,,"2.78"," ,0,0712, ","99","0,0628, ",,,"45.69"," ,0",,,"43.9","0","56.5","0","31.3","0"
"USR0000VSWE","SWEEZY VERMONT, VT US","43.3333","-73.0333","203.6","2007","356",,,,,,"-15","U,0309, ",,,,,,,"94","U,0825, ","7126","1",,,,,"45.4","U","57.4","U","33.3","U"
"USC00431705","DANBY FOUR CORNERS, VT US","43.3442","-73.0521","404.2","2007",,,"      101",,"        23","0",,,"17"," ,0,0215, ","8.0"," ,0,0317, ",,,,,,,"50.86"," ,0","80.2"," ,0",,,,,,
"USC00433769","HANKSVILLE, VT US","44.2379","-72.9655","330.1","2007",,,"      136",,"        48","0",,,"39"," ,0,0215, ","24.6"," ,0,0215, ",,,,,,,,,"187.4"," ,0",,,,,,
"USC00436893","ROCHESTER, VT US","43.8578","-72.8044","253.0","2007",,,"      115",,"        19","0",,,"30"," ,0,0216,+","20.0"," ,0,0215, ",,,,,,,"46.58"," ,0","114.4"," ,0",,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","2007","254",,"      142",,"        37","0","-22","0,0309, ","34"," ,0,0215, ","23.5"," ,0,0215, ","2.33"," ,0,0215, ","91","0,0803, ","8648","4","48.45"," ,0","161.5"," ,0","41.0","0","51.2","0","30.8","0"
"USC00433341","GILMAN, VT US","44.4112","-71.7186","256.0","2007",,,,,"        29","0",,,,,"14.5"," ,0,0215, ","1.34"," ,0,0215, ",,,,,"38.42"," ,0","109.3"," ,0",,,,,,
"USC00436995","RUTLAND, VT US","43.6253","-72.9781","189.0","2007","346",,"      117",,"        34","0","-19","0,0307, ","27"," ,0,0215, ","18.0"," ,0,0215, ","2.23"," ,0,0215, ","94","0,0628, ","7245","3","43.45"," ,0","107.5"," ,0","44.2","0","54.9","0","33.5","0"
"USC00439988","WORCESTER 2 W, VT US","44.3747","-72.5822","414.5","2007","247",,"      143",,"        51","0","-13","0,0307,+","40"," ,0,0215, ","28.6"," ,0,0215, ","3.29"," ,0,0712, ","89","0,0727, ","8108","5","49.95"," ,0","209.3"," ,0","42.2","0","51.4","0","33.0","0"
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","2007",,,"      100",,"        19","0",,,"18"," ,0,0215,+","14.0"," ,0,0214, ","1.59"," ,0,1027, ","94","0,0627, ",,,"39.30"," ,0","79.6"," ,0",,,"54.6","0",,
"USR0000VMAR","MARLBORO COLLEGE VERMONT, VT US","42.8378","-72.735","513.9","2007","274",,,,,,"-12","U,0309, ",,,,,,,"90","U,0802, ","7231","3",,,,,"44.3","U","54.6","U","34.0","U"
