"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00458034","STARTUP 1 E, WA US","47.8663","-121.7175","51.8","2019","102",,,,,,"15","7,0211,+",,,,,"2.92"," ,7,1220, ","92","7,0613, ","4975","0","52.60"," ,7",,,"51.3","7","60.9","7","41.7","7"
"US1WAPR0028","GRAHAM 2.7 SW, WA US","47.0169983","-122.314003","224.3","2019",,,,,,,,,,,,,,,,,,,"24.69"," ,N",,,,,,,,
"USC00458278","TACOMA NUMBER 1, WA US","47.2472","-122.4122","7.6","2019","257",,,,,,"19","7,0210, ",,,,,"3.18"," ,7,1220, ","86","7,0726, ","4304","3","32.06"," ,7",,,"53.5","7","60.7","7","46.3","7"
"USC00457185","ROSS DAM, WA US","48.7272","-121.0722","376.7","2019","274",,,,,,"10","7,0211,+",,,,,"2.80"," ,7,1220, ","94","7,0807,+","6097","1","45.26"," ,7",,,"48.5","7","56.1","7","40.9","7"
"USC00457180","ROSALIA, WA US","47.23446","-117.36364","737.6","2019","315",,,,,,"1","7,0207, ",,,,,,,"99","7,0808,+",,,,,,,"47.2","7","58.2","7","36.1","7"
"USS0019A13S","MOSES MOUNTAIN, WA US","48.36","-119.08","1527.0","2019","25",,"      193",,,,"-4","T,0206, ","41"," ,T,0312, ",,,"1.50"," ,T,0908, ","80","T,0807, ","8856","2","23.44"," ,T",,,"40.1","T","46.2","T","33.9","T"
"US1WABT0015","RICHLAND 3.4 SSW, WA US","46.250598","-119.324279","175.9","2019",,,,,,,,,,,,,"0.73"," ,N,0210, ",,,,,"8.57"," ,N",,,,,,,,
"USS0022D01S","CALAMITY, WA US","45.9","-122.22","762.0","2019","79",,"       72",,,,"16","T,0304, ","38"," ,T,0312, ",,,"2.60"," ,T,1220, ","86","T,0612, ","6374","4","73.12"," ,T",,,"47.1","T","52.1","T","42.0","T"
"US1WABT0013","RICHLAND 0.8 SW, WA US","46.287","-119.305","121.9","2019",,,,,,,,,,,,,"0.69"," ,N,0210, ",,,,,"8.33"," ,N",,,,,,,,
"US1WABT0010","PROSSER 0.4 SSE, WA US","46.20094","-119.76163","235.0","2019",,,,,,,,,,,,,"0.57"," ,N,0517, ",,,,,"7.70"," ,N",,,,,,,,
"US1WACK0027","WASHOUGAL 3.7 NNW, WA US","45.62971","-122.369771","125.3","2019",,,,,,,,,,,,,"1.33"," ,N,0407, ",,,,,"39.94"," ,N",,,,,,,,
"USS0021B04S","FISH LAKE, WA US","47.54","-121.09","1045.5","2019","17",,"      176",,,,"-4","T,0304, ","87"," ,T,0212, ",,,"3.00"," ,T,1220, ","88","T,0807, ","8117","7","49.46"," ,T",,,"42.1","T","50.8","T","33.4","T"
"US1WACK0029","CAMAS 2.4 E, WA US","45.584519","-122.373998","17.7","2019",,,,,,,,,,,,,"1.37"," ,N,0407, ",,,,,"40.19"," ,N",,,,,,,,
"US1WAPC0006","OCEAN PARK 2.2 N, WA US","46.526454","-124.050999","6.7","2019",,,,,,,,,,,,,"3.01"," ,N,1220, ",,,,,"56.94"," ,N",,,,,,,,
"US1WAPR0031","TACOMA 3.1 NW, WA US","47.286704","-122.50247","82.6","2019",,,,,,,,,,,,,,,,,,,"31.41"," ,N",,,,,,,,
"USC00456768","PROSSER, WA US","46.2014","-119.758","253.0","2019","800",,"       40",,"         4","7","1","7,0208,+","7"," ,7,0228, ","3.0"," ,7,0228,+","0.63"," ,7,0517, ","104","7,0808, ","5554","5","7.46"," ,7","9.2"," ,7","50.8","7","61.8","7","39.8","7"
"USS0021A07S","EASY PASS, WA US","48.86","-121.44","1606.3","2019","6",,,,,,"-2","T,0204, ",,,,,,,"75","T,0806, ","9145","6",,,,,"38.8","T","44.3","T","33.3","T"
"USC00457059","RITZVILLE 1 SSE, WA US","47.1175","-118.37146","568.1","2019","349",,,,,,"2","7,0207,+",,,,,"0.71"," ,7,1020, ","100","7,0808, ","6698","1","12.74"," ,7",,,"46.7","7","58.0","7","35.5","7"
"USC00451630","COLVILLE, WA US","48.56784","-117.93545","473.7","2019","197",,,,,,"-15","7,0305, ",,,,,"1.33"," ,7,1007, ","100","7,0808, ","7286","8","14.83"," ,7",,,"45.2","7","58.0","7","32.4","7"
"USC00459238","WILBUR, WA US","47.768","-118.7239","689.5","2019","178",,"       57",,"        11","7","-4","7,0304, ","12"," ,7,0313,+","7.0"," ,7,0212, ","1.88"," ,7,0517, ","97","7,0808, ","7178","9","11.03"," ,7","41.8"," ,7","44.5","7","56.2","7","32.8","7"
"USC00456880","QUINCY, WA US","47.22353","-119.8524","392.0","2019",,,,,,,,,,,,,,,,,"5948","3",,,,,,,,,,
"USW00094197","OMAK, WA US","48.464444","-119.516944","396.2","2019","738",,,,,,"5","W,0207, ",,,,,"1.32"," ,W,0516, ","104","W,0807, ","6193","6","9.83"," ,W",,,"49.4","W","60.1","W","38.6","W"
"USS0021C35S","PARADISE, WA US","46.78","-121.75","1563.6","2019","10",,,,,,"7","T,0206, ",,,,,"3.60"," ,T,1231, ","78","T,0806, ","8653","4","89.85"," ,T",,,"40.5","T","47.1","T","33.9","T"
"USC00454338","LACROSSE, WA US","46.8167","-117.883","449.9","2019","419",,,,,,"-6","7,0304, ",,,,,"1.20"," ,7,1019, ","103","7,0806, ",,,"10.85"," ,7",,,"49.0","7","61.1","7","36.8","7"
"US1WAYK0024","YAKIMA 0.9 WNW, WA US","46.59894","-120.545198","369.7","2019",,,,,,,,,,,,,"0.55"," ,N,0205, ",,,,,"7.24"," ,N",,,,,,,,
"USC00451504","CLE ELUM, WA US","47.189","-120.913","579.1","2019","239",,,,,,"-3","7,0304, ",,,,,,,"97","7,0807, ","6991","9","13.44"," ,7",,,"45.7","7","56.5","7","34.9","7"
"US1WACK0038","VANCOUVER 5.4 N, WA US","45.71841","-122.682709","58.2","2019",,,,,,,,,,,,,"1.79"," ,N,0212, ",,,,,"34.32"," ,N",,,,,,,,
"USS0020B11S","GROUSE CAMP, WA US","47.28","-120.49","1642.9","2019","22",,"      170",,,,"5","T,0206, ","49"," ,T,0212,+",,,"2.60"," ,T,0526, ","81","T,0806, ","8608","5","27.54"," ,T",,,"40.8","T","48.7","T","32.9","T"
"USC00454572","LEAVENWORTH 3 S, WA US","47.55862","-120.67493","343.8","2019",,,,,,,,,,,,,,,,,"6606","8",,,,,,,,,,
"USC00455305","MERWIN DAM, WA US","45.9547","-122.5638","68.3","2019",,,"        3",,"         1","7",,,"2"," ,7,0209, ","2.5"," ,7,0209, ","2.25"," ,7,0212, ",,,,,"48.86"," ,7","2.6"," ,7",,,,,,
"USS0018A21S","SENTINEL BUTTE, WA US","48.86","-118.4","1426.5","2019","68",,"      204",,,,"-6","T,0205, ","41"," ,T,0312, ",,,"2.10"," ,T,0810, ","84","T,0807, ","8344","6","25.63"," ,T",,,"41.6","T","48.2","T","34.9","T"
"USC00452157","DIABLO DAM, WA US","48.7141","-121.143","271.6","2019","209",,"       48",,"        12","7","11","7,0211,+","16"," ,7,0213, ","7.0"," ,7,0212, ","4.09"," ,7,1220, ","95","7,0613, ","5843","3","55.60"," ,7","33.2"," ,7","49.1","7","57.7","7","40.4","7"
"USR0000WGRE","GRAYBACK WASHINGTON, WA US","45.9917","-121.0833","1158.2","2019","206",,,,,,"7","U,0303, ",,,,,,,"93","U,0806, ","7208","4",,,,,"45.0","U","51.9","U","38.1","U"
"USC00452030","DAYTON 1 WSW, WA US","46.3152","-118.0022","474.6","2019","453",,,,,,"4","7,0305, ",,,,,"0.80"," ,7,0517, ","99","7,0808,+",,,"17.33"," ,7",,,"48.8","7","59.4","7","38.3","7"
"USS0020B25S","TROUGH, WA US","47.23","-120.29","1670.3","2019","29",,"      185",,,,"3","T,0304, ","57"," ,T,0227,+",,,"2.30"," ,T,0526, ","82","T,0807, ","8699","7","28.76"," ,T",,,"40.6","T","47.1","T","34.1","T"
"USR0000WGRN","GREENWATER WASHINGTON, WA US","47.1556","-121.6114","640.1","2019","114",,,,,,"13","U,0206, ",,,,,,,"94","U,0905,+","6189","3",,,,,"47.7","U","56.5","U","39.0","U"
"USC00455659","MOUNT ADAMS RANGER STATION, WA US","45.9997","-121.5403","594.4","2019","161",,,,,,"-3","7,0305, ",,,,,,,"95","7,0808, ",,,,,,,"46.6","7","58.0","7","35.2","7"
"USC00455774","NASELLE 2 ENE, WA US","46.3725","-123.753","15.2","2019","62",,,,,,"21","7,1130,+",,,,,"5.80"," ,7,1219, ","93","7,0827, ","5111","3","70.15"," ,7",,,"50.7","7","60.8","7","40.6","7"
"USS0020B24S","POPE RIDGE, WA US","47.99","-120.57","1094.2","2019","108",,"      138",,,,"5","T,0211, ","55"," ,T,0214, ",,,"1.70"," ,T,1220, ","89","T,0807, ","7272","9","26.26"," ,T",,,"44.6","T","53.0","T","36.2","T"
"USS0021C39S","LOST HORSE, WA US","46.36","-121.08","1560.6","2019","40",,"      172",,,,"6","T,0304,+","63"," ,T,0225, ",,,"1.30"," ,T,1220, ","84","T,0807, ","8307","2","28.83"," ,T",,,"41.7","T","48.6","T","34.8","T"
"US1WAAD0011","RITZVILLE 7.1 WNW, WA US","47.165523","-118.51653","569.1","2019",,,,,"         9","N",,,,,"4.4"," ,N,0228, ","0.55"," ,N,1020, ",,,,,"10.04"," ,N","28.3"," ,N",,,,,,
"USS0021A09S","MARTEN RIDGE, WA US","48.76","-121.7","1072.9","2019","29",,"      177",,,,"12","T,0210, ","98"," ,T,0313,+",,,"4.10"," ,T,1220, ","80","T,0612, ","7251","1","111.36"," ,T",,,"42.7","T","48.5","T","37.0","T"
"USS0017B04S","QUARTZ PEAK, WA US","47.88","-117.09","1432.6","2019",,,"      193",,,,,,"67"," ,T,0312, ",,,"2.50"," ,T,0810, ",,,"7849","7","40.14"," ,T",,,,,,,,
"USS0021C13S","SURPRISE LAKES, WA US","46.09","-121.76","1307.6","2019","25",,"      196",,,,"8","T,0303, ","110"," ,T,0212, ",,,"2.90"," ,T,1220, ","83","T,0828, ",,,"73.27"," ,T",,,"42.3","T","49.2","T","35.5","T"
"US1WAKG0033","SHERIDAN BEACH 3.7 S, WA US","47.692402","-122.298027","102.1","2019",,,,,"         5","N",,,,,"5.0"," ,N,0209,+","2.96"," ,N,1220, ",,,,,"31.94"," ,N","14.7"," ,N",,,,,,
"USS0020A05S","HARTS PASS, WA US","48.72","-120.66","1978.2","2019","0",,"      251",,,,"-15","T,0209, ","89"," ,T,0312, ",,,"1.90"," ,T,1220, ","71","T,0808, ","11126","9","38.72"," ,T",,,"33.8","T","41.5","T","26.1","T"
"USW00004136","SPOKANE 17 SSW, WA US","47.4174","-117.5264","691.0","2019","70",,,,,,"-12","R,0304, ",,,,,"0.86"," ,R,0928, ","99","R,0807, ","7767","8","17.65"," ,R",,,"43.5","R","56.8","R","30.2","R"
"USS0021B60S","SKOOKUM CREEK, WA US","47.68","-121.61","1008.9","2019","28",,"      163",,,,"16","T,0206, ","71"," ,T,0313,+",,,"6.50"," ,T,1021, ","84","T,0612, ","6972","4","124.17"," ,T",,,"45.2","T","50.8","T","39.6","T"
"USR0000WELR","ELK ROCK WASHINGTON, WA US","46.3522","-122.6058","762.0","2019","65",,,,,,"15","U,0226,+",,,,,,,"88","U,0612, ","6415","0",,,,,"46.5","U","53.9","U","39.2","U"
"USC00454679","LIND 3 NE, WA US","47.00216","-118.5657","496.8","2019","533",,,,"        10","7","4","7,0301,+",,,"4.0"," ,7,0211, ","0.91"," ,7,1019, ","101","7,0807,+","5940","2","9.31"," ,7","24.1"," ,7","49.6","7","60.9","7","38.3","7"
"USR0000WELL","ELLIS MOUNT WASHINGTION, WA US","48.1578","-124.315","609.6","2019","34",,,,,,"16","U,0209,+",,,,,,,"87","U,0612, ","6853","2",,,,,"45.6","U","51.0","U","40.2","U"
"USC00452253","DRYAD, WA US","46.6363","-123.2597","92.0","2019",,,,,,,,,,,,,,,,,,,"39.20"," ,7",,,,,,,,
