"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00476380","PADDOCK LAKE, WI US","42.5805","-88.0902","236.2","2007","727",,"       79",,"        18","0","-15","0,0205, ","11"," ,0,1216,+","7.2"," ,0,1216, ","2.62"," ,0,0805, ","91","0,0710,+","6759","8","39.96"," ,0","59.3"," ,0","48.1","0","57.9","0","38.2","0"
"USW00004803","RHINELANDER ONEIDA CO AIRPORT, WI US","45.6314","-89.4823","495.0","2007","405",,,,,,"-27","W,0206, ",,,,,"1.65"," ,W,0726, ","93","W,0708, ","8577","3","26.57"," ,W",,,"42.3","W","52.5","W","32.1","W"
"USC00474080","JUMP RIVER 3 E, WI US","45.3497","-90.7484","385.6","2007","379",,"       95",,"        18","0","-27","0,0205, ","28"," ,0,1228, ","11.5"," ,0,1223, ","2.17"," ,0,0921, ","90","0,0708,+","8078","6","31.78"," ,0","72.3"," ,0","42.7","0","53.1","0","32.4","0"
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2007","670",,,,,,"-15","0,0206,+",,,,,,,"93","0,0709, ","6812","3","41.93"," ,0","58.1"," ,0","47.4","0","57.5","0","37.3","0"
"USC00473661","HINGHAM WWTP, WI US","43.6409","-87.90967","232.6","2007","601",,"       93",,"        17","0","-14","0,0205, ","12"," ,0,1220,+","6.2"," ,0,0224, ","3.22"," ,0,0727, ","96","0,0709, ","7112","4","33.36"," ,0","65.0"," ,0","46.7","0","55.7","0","37.7","0"
"USC00475286","MELLEN 4 NE, WI US","46.3689","-90.6417","396.2","2007",,,,,,,,,,,,,,,,,"8745","1",,,,,,,,,,
"USC00475164","MATHER 3 NW, WI US","44.1746","-90.3482","298.1","2007","493",,"       90",,"        20","0","-20","0,0206, ","20"," ,0,0307, ","9.0"," ,0,0224, ","1.68"," ,0,0819, ","95","0,0709, ","7843","5","30.80"," ,0","81.6"," ,0","44.4","0","55.3","0","33.5","0"
"USC00471923","CUMBERLAND, WI US","45.5331","-92.0226","378.0","2007","506",,"       96",,"        20","0","-22","0,0206, ","19"," ,0,0303, ","10.0"," ,0,0302, ","2.08"," ,0,0723, ","92","0,0709,+","8191","6","31.65"," ,0","63.0"," ,0","43.1","0","53.0","0","33.3","0"
"USC00477464","ST. CROIX FALLS, WI US","45.4117","-92.6466","228.6","2007","739",,"       92",,"        13","0","-29","0,0206, ","14"," ,0,0303,+","8.0"," ,0,0302, ","2.45"," ,0,0919, ","96","0,0727, ","7234","9","31.24"," ,0","34.6"," ,0","45.5","0","55.9","0","35.1","0"
"USW00094994","BOSCOBEL AIRPORT, WI US","43.15611","-90.6775","204.8","2007","809",,,,,,"-23","W,0205, ",,,,,"3.69"," ,W,0819, ","95","W,0708, ","6687","1","45.69"," ,W",,,"48.4","W","59.8","W","37.0","W"
"USC00471249","BUTTERNUT 3 SW, WI US","45.9808","-90.5416","478.5","2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,
