"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00461324","CACAPON ST PARK NUMBER 2, WV US","39.50932","-78.29739","292.0","2007",,,,,"         4","0",,,,,"7.5"," ,0,0214, ",,,,,,,,,"19.1"," ,0",,,,,,
"USC00461723","CLENDENIN, WV US","38.49333","-81.34833","213.4","2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00461282","BURNSVILLE LAKE, WV US","38.84575","-80.62006","249.6","2007",,,,,,,,,,,,,"2.07"," ,0,0415, ",,,,,"47.90"," ,0",,,,,,,,
"USC00466212","MORGANTOWN LOCK AND DAM, WV US","39.6203","-79.9698","251.5","2007","835",,,,"         0","0","-1","0,0206, ",,,"0.0"," ,0,1231,+","2.68"," ,0,0821, ","93","0,0825, ","4992","3","49.57"," ,0","0.0"," ,0","52.7","0","63.9","0","41.4","0"
"USC00467785","ROWLESBURG 1, WV US","39.3419","-79.6697","433.7","2007","686",,"       53",,"        21","0","-10","0,0206, ","13"," ,0,0219, ","8.5"," ,0,1206, ","2.48"," ,0,0706, ","93","0,0825, ","5483","4","58.09"," ,0","74.1"," ,0","51.6","0","62.9","0","40.3","0"
"USC00465002","LAKE LYNN, WV US","39.7204","-79.8561","274.3","2007",,,,,,,,,,,,,"2.39"," ,0,1214, ",,,,,"51.01"," ,0",,,,,,,,
"USC00465365","LONDON LOCKS, WV US","38.19345","-81.37007","192.6","2007","1356",,"        2",,"         0","0","2","0,0207, ","1"," ,0,1206,+","0.0"," ,0,1231,+","2.46"," ,0,0720, ","101","0,0817, ","4306","2","37.70"," ,0","0.0"," ,0","57.2","0","68.3","0","46.1","0"
"USC00469323","WAYNE 2, WV US","38.226","-82.4431","182.9","2007",,,,,,,,,,,,,,,,,,,,,"12.5"," ,0",,,,,,
"USC00460633","BELINGTON, WV US","39.023","-79.933","539.2","2007",,,"       51",,"        19","0",,,"8"," ,0,0219,+","5.1"," ,0,0207, ",,,,,,,"47.04"," ,0","61.5"," ,0",,,,,,
"USC00463464","GLADY 1 N, WV US","38.8072","-79.7172","865.6","2007","219",,"       81",,"        33","0","-14","0,0212,+","15"," ,0,0219, ","6.3"," ,0,0407, ","2.63"," ,0,0415, ","87","0,0825, ","6907","4","64.47"," ,0","109.6"," ,0","46.7","0","58.9","0","34.4","0"
"USC00467029","PINEVILLE, WV US","37.5741","-81.5355","402.3","2007","1084",,"        7",,"         3","0","2","0,0208,+","4"," ,0,0207, ","4.0"," ,0,0207, ","2.22"," ,0,0415, ","96","0,0825,+","4908","8","37.96"," ,0","9.0"," ,0","54.9","0","66.1","0","43.6","0"
"USC00469333","WEBSTER SPRINGS, WV US","38.4738","-80.4086","461.5","2007",,,"       14",,"        14","0",,,"4"," ,0,0218,+","4.5"," ,0,0218, ",,,,,,,,,"34.8"," ,0",,,,,,
"USC00461290","BURTON, WV US","39.6466","-80.4066","378.0","2007","594",,,,,,"-15","0,0206,+",,,,,,,"93","0,0822,+","5825","9",,,,,"50.6","0","63.3","0","38.0","0"
"USC00461215","BUCKEYE, WV US","38.18731","-80.13359","647.1","2007","583",,"       35",,"        10","0","-5","0,0212,+","5"," ,0,1206,+","5.0"," ,0,0207, ","2.36"," ,0,1025, ","95","0,0817, ","5956","0","43.11"," ,0","29.1"," ,0","50.4","0","62.6","0","38.1","0"
"USC00461579","CHARLESTON WEATHER FORECAST OFFICE, WV US","38.31332","-81.71857","279.8","2007","1244",,"       12",,"         9","0","-5","0,0207,+","4"," ,0,0207, ","4.1"," ,0,0207, ","2.30"," ,0,0415, ","102","0,0817, ","4751","4","46.31"," ,0","19.8"," ,0","55.4","0","67.9","0","42.9","0"
"USC00466989","PICKENS 2 N, WV US","38.67889","-80.19583","877.8","2007",,,,,"        40","0",,,,,"8.0"," ,0,1206,+",,,,,,,,,"116.8"," ,0",,,,,,
"USC00460527","BAYARD, WV US","39.2728","-79.3684","735.2","2007","227",,"       81",,"        35","0","-9","0,0205, ","23"," ,0,0218, ","9.0"," ,0,1205, ","2.85"," ,0,0705, ","88","0,0530, ","7280","4","52.85"," ,0","152.2"," ,0","45.3","0","56.4","0","34.2","0"
"USC00466982","PHILIPPI, WV US","39.1461","-80.0411","396.2","2007",,,"       29",,"        13","0",,,"7"," ,0,0219,+","5.5"," ,0,0207, ","1.63"," ,0,0706, ",,,,,"53.41"," ,0","42.7"," ,0",,,,,,
"USC00469458","WEST UNION 2, WV US","39.29056","-80.76871","245.7","2007","903",,"       36",,"        14","0","-11","0,0207, ","6"," ,0,0207, ","4.9"," ,0,1206, ","2.38"," ,0,1214,+","98","0,0904, ","5296","4","47.15"," ,0","28.2"," ,0","53.1","0","65.8","0","40.4","0"
