"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00484442","HECLA 1 E, WY US","41.15","-105.1667","2039.1","2008","216",,,,"        17","0","-17","0,1215, ",,,"6.2"," ,0,0214, ","1.76"," ,0,0815, ","94","0,0802,+","7702","9","11.80"," ,0","42.8"," ,0","44.0","0","57.5","0","30.5","0"
"USC00485770","LOVELL, WY US","44.83772","-108.404","1172.6","2008","337",,,,"         4","0","-29","0,0122, ",,,"3.5"," ,0,0119, ","1.32"," ,0,0902, ","99","0,0802, ","7751","1","6.39"," ,0","8.0"," ,0","43.5","0","56.7","0","30.3","0"
"USW00094088","SUNDANCE 8 NNW, WY US","44.5169","-104.4363","1765.4","2008","111",,,,,,"-27","R,1215,+",,,,,,,"86","R,0830, ",,,,,,,"39.0","R","48.0","R","30.0","R"
"USC00488124","SHELL, WY US","44.53514","-107.7774","1293.0","2008","479",,"       58",,"        20","0","-27","0,1215,+","12"," ,0,1227, ","6.3"," ,0,1223, ","0.92"," ,0,0902, ","100","0,0802, ","7883","5","12.41"," ,0","50.8"," ,0","43.8","0","58.2","0","29.5","0"
"USS0010F30S","GRAND TARGHEE, WY US","43.78","-110.93","2822.4","2008","4",,"      283",,,,"-12","T,1220, ","144"," ,T,0327, ",,,"1.30"," ,T,1112,+","75","T,0807, ","10540","5","52.19"," ,T",,,"35.9","T","43.8","T","28.1","T"
"USC00488808","SYBILLE RESEARCH UNI, WY US","41.76444","-105.375","1855.0","2008",,,,,"        14","0",,,,,"6.5"," ,0,1203, ","2.40"," ,0,0521, ",,,"7412","8","15.41"," ,0","36.8"," ,0",,,,,,
"USS0005G05S","WINDY PEAK, WY US","42.28","-105.58","2407.9","2008","64",,,,,,"-19","T,1214, ",,,,,"1.50"," ,T,0522, ","87","T,0801, ","9333","9","22.11"," ,T",,,"39.3","T","49.3","T","29.3","T"
"USC00480761","BITTER CREEK 4 NE, WY US","41.58959","-108.50939","2048.9","2008",,,,,"         0","0","-21","0,0122, ",,,"0.0","T,0,0106, ","0.60"," ,0,0902, ",,,,,"3.92"," ,0","0.0","T,0",,,,,"26.7","0"
"USC00481855","CODY 21 SW, WY US","44.3366","-109.3913","1780.0","2008","201",,"       35",,"        15","0","-13","0,1215, ","7"," ,0,1012,+","5.9"," ,0,1011, ","1.68"," ,0,0522, ","96","0,0801,+","7359","6","13.16"," ,0","50.7"," ,0","45.2","0","58.0","0","32.4","0"
"USC00487836","ROCK RIVER 13 NNW, WY US","41.9167","-106.0369","2026.3","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00481850","CODY 12 SE, WY US","44.4138","-108.90055","1599.6","2008",,,,,"         4","0",,,,,"3.0"," ,0,1225, ","1.36"," ,0,0521, ","101","0,0731, ",,,"8.56"," ,0","7.0"," ,0",,,"58.7","0",,
"USC00481730","CHUGWATER, WY US","41.7594","-104.8222","1616.7","2008","390",,"       37",,"        12","0","-18","0,1215, ","5"," ,0,0218,+","5.3"," ,0,0214, ","1.93"," ,0,0815, ","99","0,0802, ","7076","0","16.28"," ,0","39.1"," ,0","46.2","0","60.0","0","32.4","0"
"USS0007E39S","TIE CREEK, WY US","44.81","-107.41","2094.0","2008","37",,"      197",,,,"-28","T,1214, ","35"," ,T,0411, ",,,"1.30"," ,T,1011, ","88","T,0801, ","9507","8","30.23"," ,T",,,"38.6","T","49.5","T","27.6","T"
"USS0010G08S","SALT RIVER SUMMIT, WY US","42.51","-110.91","2365.2","2008","98",,,,,,"-6","T,0116, ",,,,,"0.80"," ,T,0920, ","87","T,0726, ","9183","8","25.91"," ,T",,,"40.2","T","50.7","T","29.7","T"
"USS0004E07S","COLE CANYON, WY US","44.49","-104.41","1801.4","2008","125",,"      204",,,,"-26","T,1214, ","32"," ,T,0502,+",,,"1.90"," ,T,0605, ","87","T,0801, ","8630","6","33.52"," ,T",,,"41.1","T","49.9","T","32.3","T"
"USS0005G04S","LAPRELE CREEK, WY US","42.44","-105.86","2552.7","2008",,,,,,,,,,,,,"1.80"," ,T,0522, ",,,,,"23.02"," ,T",,,,,,,,
"USC00486195","MIDWEST, WY US","43.41316","-106.27727","1481.3","2008","373",,"       63",,"        17","0","-22","0,1221, ","8"," ,0,1013,+","5.0"," ,0,1012, ","1.35"," ,0,0524, ","100","0,0727, ","7614","1","15.39"," ,0","45.9"," ,0","44.4","0","58.5","0","30.2","0"
"USS0006H19S","SOUTH BRUSH CREEK, WY US","41.33","-106.5","2572.5","2008","3",,,,,,"-16","T,0116, ",,,,,"0.70"," ,T,1130, ","84","T,0801, ","10060","7","26.49"," ,T",,,"37.0","T","49.2","T","24.8","T"
