"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00441955","CONCORD 4 SSW, VA US","37.2819","-78.9591","248.4","2007",,,"        0",,"         0","0",,,"0","T,0,0214,+","0.3"," ,0,0202,+","2.62"," ,0,1025, ",,,,,"35.33"," ,0","0.8"," ,0",,,,,,
"US1VASH0002","STRASBURG 3.7 N, VA US","39.04222","-78.3506","226.2","2007",,,,,"         8","N",,,,,"8.0"," ,N,0226, ","1.52"," ,N,0214, ",,,,,"30.41"," ,N","28.1"," ,N",,,,,,
"USR0000VASH","LIME KILN VIRGINIA, VA US","37.9864","-79.7594","786.4","2007","1131",,,,,,"2","U,0206, ",,,,,,,"98","U,0816, ",,,,,,,"55.3","U","65.7","U","45.0","U"
"USC00442009","CORBIN, VA US","38.2022","-77.3747","67.1","2007",,,"        5",,"         3","0",,,"2"," ,0,0407,+","1.6"," ,0,0226,+","3.13"," ,0,1027, ",,,,,"32.90"," ,0","6.2"," ,0",,,,,,
"USC00442245","DANVILLE 2 SE, VA US","36.56269","-79.36331","119.5","2007","1773",,"        0",,"         0","0","15","0,0218,+","0"," ,0,1231,+","0.0"," ,0,1231,+","3.56"," ,0,1025, ","104","0,0810, ","3623","8","36.95"," ,0","0.0"," ,0","59.9","0","72.0","0","47.7","0"
"USC00443213","FREE UNION, VA US","38.09079","-78.58937","179.8","2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00445117","LYNCHBURG NUMBER 2, VA US","37.3818","-79.233","224.3","2007","1062",,,,"         1","0","4","0,0207,+",,,"2.9"," ,0,0207, ","3.89"," ,0,1025, ","98","0,0810, ","4471","1","36.99"," ,0","3.7"," ,0","56.0","0","68.1","0","43.8","0"
"USC00444148","HUDDLESTON 4 SW, VA US","37.12587","-79.5251","273.4","2007",,,"        0",,"         0","0",,,"0"," ,0,1231,+","0.0"," ,0,1231,+","2.63"," ,0,1027, ",,,,,"32.06"," ,0","0.0"," ,0",,,,,,
"USC00441159","BUENA VISTA, VA US","37.7268","-79.3629","256.0","2007",,,"        7",,"         1","0",,,"5"," ,0,0207, ","5.0"," ,0,0207, ","3.53"," ,0,0901, ",,,,,"34.55"," ,0","5.5"," ,0",,,,,,
"USC00440982","BREAKS INTERSTATE PARK, VA US","37.2889","-82.2928","577.0","2007","956",,,,"        12","0","2","0,0207,+",,,"5.0"," ,0,0110, ",,,"96","0,0824,+","4606","9","35.31"," ,0","25.9"," ,0","55.0","0","67.0","0","42.9","0"
